Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,GEO Accession
SRR6128380,124755766,12600332366,101,4126,SRX3240935,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564133,SAMN07734662,simple,10090,Mus musculus,GSM2802536,GEO,SRA616513,11,2019,Bonhoure,Liver,KO1_RPFL,Liver,C57BL/6,Maf1 KO,GSM2802536
SRR6128381,89583755,9047959255,101,2812,SRX3240936,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564134,SAMN07734661,simple,10090,Mus musculus,GSM2802537,GEO,SRA616513,11,2019,Bonhoure,Liver,KO1_TOTL,Liver,C57BL/6,Maf1 KO,GSM2802537
SRR6128382,131661431,13297804531,101,4556,SRX3240937,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564135,SAMN07734670,simple,10090,Mus musculus,GSM2802538,GEO,SRA616513,11,2019,Bonhoure,Liver,KO2_RPFL,Liver,C57BL/6,Maf1 KO,GSM2802538
SRR6128383,118219143,11940133443,101,3918,SRX3240938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564136,SAMN07734669,simple,10090,Mus musculus,GSM2802539,GEO,SRA616513,11,2019,Bonhoure,Liver,KO2_TOTL,Liver,C57BL/6,Maf1 KO,GSM2802539
SRR6128384,153749621,15528711721,101,5160,SRX3240939,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564137,SAMN07734668,simple,10090,Mus musculus,GSM2802540,GEO,SRA616513,11,2019,Bonhoure,Liver,KO4_RPFL,Liver,C57BL/6,Maf1 KO,GSM2802540
SRR6128385,166090907,16775181607,101,5569,SRX3240940,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564138,SAMN07734667,simple,10090,Mus musculus,GSM2802541,GEO,SRA616513,11,2019,Bonhoure,Liver,KO4_TOTL,Liver,C57BL/6,Maf1 KO,GSM2802541
SRR6128386,119044734,12023518134,101,4013,SRX3240941,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564139,SAMN07734660,simple,10090,Mus musculus,GSM2802542,GEO,SRA616513,11,2019,Bonhoure,Liver,WT1_RPFL,Liver,C57BL/6,wild-type,GSM2802542
SRR6128387,93226051,9415831151,101,2880,SRX3240942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564140,SAMN07734659,simple,10090,Mus musculus,GSM2802543,GEO,SRA616513,11,2019,Bonhoure,Liver,WT1_TOTL,Liver,C57BL/6,wild-type,GSM2802543
SRR6128388,150431385,15193569885,101,5241,SRX3240943,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564141,SAMN07734672,simple,10090,Mus musculus,GSM2802544,GEO,SRA616513,11,2019,Bonhoure,Liver,WT2_RPFL,Liver,C57BL/6,wild-type,GSM2802544
SRR6128389,159981437,16158125137,101,5304,SRX3240944,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564142,SAMN07734671,simple,10090,Mus musculus,GSM2802545,GEO,SRA616513,11,2019,Bonhoure,Liver,WT2_TOTL,Liver,C57BL/6,wild-type,GSM2802545
SRR6128390,107288123,10836100423,101,3674,SRX3240945,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564143,SAMN07734666,simple,10090,Mus musculus,GSM2802546,GEO,SRA616513,11,2019,Bonhoure,Liver,WT3_RPFL,Liver,C57BL/6,wild-type,GSM2802546
SRR6128391,132458713,13378330013,101,4152,SRX3240946,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP119310,PRJNA412979,32686713,"",SRS2564144,SAMN07734665,simple,10090,Mus musculus,GSM2802547,GEO,SRA616513,11,2019,Bonhoure,Liver,WT3_TOTL,Liver,C57BL/6,wild-type,GSM2802547
