Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,GEO Accession
SRR7107294,42724831,3248787738,66,1443,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"eGFP 300,000 member 5'' UTR library",HEK293T,GSM3130435
SRR7107295,34231806,2603086330,66,1162,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"eGFP 300,000 member 5'' UTR library",HEK293T,GSM3130436
SRR7107296,32735432,2489266202,66,1111,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"eGFP 300,000 member 5'' UTR library",HEK293T,GSM3130437
SRR7107297,42960766,3266736877,66,1457,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"eGFP 300,000 member 5'' UTR library",HEK293T,GSM3130438
SRR7107298,29870851,2271404595,66,1013,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"eGFP 300,000 member 5'' UTR library",HEK293T,GSM3130439
SRR7107299,14106323,1072702832,66,479,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"eGFP 300,000 member 5'' UTR library",HEK293T,GSM3130440
SRR7107300,19277976,1465889160,66,656,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"mCherry 200,000 member 5'' UTR library",HEK293T,GSM3130441
SRR7107301,36103819,2745392129,66,1223,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"mCherry 200,000 member 5'' UTR library",HEK293T,GSM3130442
SRR7107302,46074779,3503784450,66,1561,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,"eGFP 100,000 member designed 5'' UTR library",HEK293T,GSM3130443
SRR7107303,38651897,2939259395,66,1311,SRX4035634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP144485,PRJNA454863,31267113,"",SRS3253918,SAMN09045428,simple,9606,Homo sapiens,GSM3130435,GEO,SRA699422,05,2018,Sample,"eGFP 300,000 member 5'' UTR library",egfp_unmod_1,eGFP Variable Length 5' UTRs,HEK293T,GSM4084997
