Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/background,genotype/variation,tissue,strain,genotype,extract_protocol,rnase concentration,GEO Accession
SRR7421911,16057193,577441437,35,222,SRX4292737,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3455862,SAMN09479929,simple,10090,Mus musculus,GSM3214384,GEO,SRA728057,03,2019,Liu,Hippocampus,rnase1,Hippocampus,C57BL/6,wild-type,Hippocampus,,,,,GSM3214384
SRR7421912,46428771,2205308741,47,816,SRX4292738,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3455863,SAMN09479928,simple,10090,Mus musculus,GSM3214385,GEO,SRA728057,03,2019,Liu,Hippocampus,rnase2,Hippocampus,C57BL/6,wild-type,Hippocampus,,,,,GSM3214385
SRR7421913,20716348,815505001,39,314,SRX4292739,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3455864,SAMN09479927,simple,10090,Mus musculus,GSM3214386,GEO,SRA728057,03,2019,Liu,Hippocampus,rnase3,Hippocampus,C57BL/6,wild-type,Hippocampus,,,,,GSM3214386
SRR7421914,21838496,809545303,37,309,SRX4292740,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3455865,SAMN09479926,simple,10090,Mus musculus,GSM3214387,GEO,SRA728057,03,2019,Liu,Hippocampus,rnase4,Hippocampus,C57BL/6,wild-type,Hippocampus,,,,,GSM3214387
SRR7421915,22589218,836617675,37,322,SRX4292741,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3455866,SAMN09479925,simple,10090,Mus musculus,GSM3214388,GEO,SRA728057,03,2019,Liu,Hippocampus,rnase5,Hippocampus,C57BL/6,wild-type,Hippocampus,,,,,GSM3214388
SRR7883717,1000000,33968562,33,13,SRX4721948,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807033,SAMN10097119,simple,10090,Mus musculus,GSM3396959,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rpf_batch1_rep1,Hippocampus,,,,C57BL/6,wild-type,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396959
SRR7883718,1000000,33943545,33,13,SRX4721949,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807032,SAMN10097118,simple,10090,Mus musculus,GSM3396960,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rpf_batch1_rep2,Hippocampus,,,,C57BL/6,wild-type,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396960
SRR7883719,1000000,33491064,33,13,SRX4721950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807035,SAMN10097117,simple,10090,Mus musculus,GSM3396961,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rpf_batch2_rep1,Hippocampus,,,,C57BL/6,wild-type,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396961
SRR7883720,1000000,34909269,34,13,SRX4721951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807036,SAMN10097116,simple,10090,Mus musculus,GSM3396962,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rpf_batch2_rep2,Hippocampus,,,,C57BL/6,wild-type,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396962
SRR7883721,1000000,34316652,34,13,SRX4721952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807037,SAMN10097115,simple,10090,Mus musculus,GSM3396963,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rpf_batch3_rep1,Hippocampus,,,,C57BL/6,wild-type,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396963
SRR7883722,1000000,33977337,33,13,SRX4721953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807038,SAMN10097114,simple,10090,Mus musculus,GSM3396964,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rpf_batch3_rep2,Hippocampus,,,,C57BL/6,wild-type,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396964
SRR7883723,1000000,33505585,33,12,SRX4721954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807039,SAMN10097113,simple,10090,Mus musculus,GSM3396965,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rpf_batch4_rep1,Hippocampus,,,,C57BL/6,wild-type,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396965
SRR7883724,1000000,33119419,33,12,SRX4721955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807040,SAMN10097112,simple,10090,Mus musculus,GSM3396966,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rpf_batch4_rep2,Hippocampus,,,,C57BL/6,wild-type,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396966
SRR7883725,1000000,33588424,33,13,SRX4721956,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807041,SAMN10097111,simple,10090,Mus musculus,GSM3396967,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rpf_batch1_rep1,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396967
SRR7883726,1000000,33677153,33,13,SRX4721957,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807042,SAMN10097110,simple,10090,Mus musculus,GSM3396968,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rpf_batch1_rep2,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396968
SRR7883727,1000000,33873652,33,13,SRX4721958,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807043,SAMN10097109,simple,10090,Mus musculus,GSM3396969,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rpf_batch2_rep1,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396969
SRR7883728,1000000,33909562,33,13,SRX4721959,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807044,SAMN10097108,simple,10090,Mus musculus,GSM3396970,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rpf_batch3_rep1,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396970
SRR7883729,1000000,33532023,33,12,SRX4721960,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807045,SAMN10097107,simple,10090,Mus musculus,GSM3396971,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rpf_batch3_rep2,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396971
SRR7883730,1000000,33519310,33,12,SRX4721961,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807046,SAMN10097106,simple,10090,Mus musculus,GSM3396972,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rpf_batch4_rep1,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396972
SRR7883731,1000000,33493457,33,12,SRX4721962,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807048,SAMN10097105,simple,10090,Mus musculus,GSM3396973,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_ko_rpf_batch4_rep2,Hippocampus,,,,C57BL/6,Fmr1 -/y,Ribosome profiling,100ng RNaseA + 60U RNase T1/A260,GSM3396973
SRR7883732,1000000,74389918,74,28,SRX4721963,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807049,SAMN10097104,simple,10090,Mus musculus,GSM3396974,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rna_batch1_rep1,Hippocampus,,,,C57BL/6,wild-type,RNA-seq,N/A,GSM3396974
SRR7883733,1000000,74276634,74,28,SRX4721964,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807047,SAMN10097103,simple,10090,Mus musculus,GSM3396975,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rna_batch1_rep2,Hippocampus,,,,C57BL/6,wild-type,RNA-seq,N/A,GSM3396975
SRR7883734,1000000,74421002,74,28,SRX4721965,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807050,SAMN10097102,simple,10090,Mus musculus,GSM3396976,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rna_batch2_rep1,Hippocampus,,,,C57BL/6,wild-type,RNA-seq,N/A,GSM3396976
SRR7883735,1000000,74346125,74,28,SRX4721966,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP151279,PRJNA477831,30590705,"",SRS3807052,SAMN10097101,simple,10090,Mus musculus,GSM3396977,GEO,SRA728057,03,2019,Liu,Hippocampus,qc_sample_wt_rna_batch2_rep2,Hippocampus,,,,C57BL/6,wild-type,RNA-seq,N/A,GSM3396977
