Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,GEO Accession
SRR2064424,19254252,981966852,51,587,SRX1059892,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962187,SAMN03776741,simple,9606,Homo sapiens,GSM1712825,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney normal tissue 1 RNAseq,Kidney tissue,kidney,GSM1712825
SRR2064425,15506913,790852563,51,482,SRX1059893,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962186,SAMN03776742,simple,9606,Homo sapiens,GSM1712826,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney normal tissue 2 RNAseq,Kidney tissue,kidney,GSM1712826
SRR2064426,31392714,1601028414,51,936,SRX1059894,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962183,SAMN03776743,simple,9606,Homo sapiens,GSM1712827,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue 1 RNAseq,Kidney tissue,kidney,GSM1712827
SRR2064427,27246329,1389562779,51,818,SRX1059895,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962182,SAMN03776744,simple,9606,Homo sapiens,GSM1712828,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue 2 RNAseq,Kidney tissue,kidney,GSM1712828
SRR2064428,18512001,944112051,51,560,SRX1059896,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962185,SAMN03776745,simple,9606,Homo sapiens,GSM1712829,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue 3 RNAseq,Kidney tissue,kidney,GSM1712829
SRR2064429,25087358,1279455258,51,754,SRX1059897,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962180,SAMN03776746,simple,9606,Homo sapiens,GSM1712830,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue 4 RNAseq,Kidney tissue,kidney,GSM1712830
SRR2064430,12635964,644434164,51,423,SRX1059898,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962181,SAMN03776747,simple,9606,Homo sapiens,GSM1712831,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney normal tissue 1 tumor 2 RP,Kidney tissue,kidney,GSM1712831
SRR2064431,35014453,1785737103,51,1122,SRX1059899,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962179,SAMN03776748,simple,9606,Homo sapiens,GSM1712832,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney normal tissue 2 tumor 2 RP,Kidney tissue,kidney,GSM1712832
SRR2064432,14291628,728873028,51,502,SRX1059900,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962178,SAMN03776749,simple,9606,Homo sapiens,GSM1712833,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue 1 tumor 2 RP,Kidney tissue,kidney,GSM1712833
SRR2064433,16290484,830814684,51,565,SRX1059901,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044937,PRJNA256316,26878238,"",SRS962177,SAMN03776750,simple,9606,Homo sapiens,GSM1712834,GEO,SRA176910,02,2016,Loayza-Puch,Kidney tissue,Kidney tumor tissue 2 tumor 2 RP,Kidney tissue,kidney,GSM1712834
