Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,extracted molecule,library construction,library strategy,GEO Accession
SRR1873514,25148051,1257402550,50,762,SRX915205,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870252,SAMN03396565,simple,10116,Rattus norvegicus,GSM1630458,GEO,SRA246114,09,2015,Ori,brain,061B_mRNA,brain,brain,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630458
SRR1873515,22803266,1140163300,50,658,SRX915205,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870252,SAMN03396565,simple,10116,Rattus norvegicus,GSM1630458,GEO,SRA246114,09,2015,Ori,brain,061B_mRNA,brain,brain,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630459
SRR1873516,24900652,1245032600,50,753,SRX915206,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870251,SAMN03396560,simple,10116,Rattus norvegicus,GSM1630459,GEO,SRA246114,09,2015,Ori,brain,062B_mRNA,brain,brain,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630460
SRR1873517,24784926,1239246300,50,714,SRX915206,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870251,SAMN03396560,simple,10116,Rattus norvegicus,GSM1630459,GEO,SRA246114,09,2015,Ori,brain,062B_mRNA,brain,brain,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630461
SRR1873518,25624673,1281233650,50,776,SRX915207,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870249,SAMN03396561,simple,10116,Rattus norvegicus,GSM1630460,GEO,SRA246114,09,2015,Ori,brain,063B_mRNA,brain,brain,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630462
SRR1873519,24620748,1231037400,50,710,SRX915207,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870249,SAMN03396561,simple,10116,Rattus norvegicus,GSM1630460,GEO,SRA246114,09,2015,Ori,brain,063B_mRNA,brain,brain,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630463
SRR1873520,28244670,1412233500,50,856,SRX915208,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870248,SAMN03396567,simple,10116,Rattus norvegicus,GSM1630461,GEO,SRA246114,09,2015,Ori,brain,241B_mRNA,liver,liver,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630464
SRR1873521,25869587,1293479350,50,747,SRX915208,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870248,SAMN03396567,simple,10116,Rattus norvegicus,GSM1630461,GEO,SRA246114,09,2015,Ori,brain,241B_mRNA,liver,liver,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630465
SRR1873522,29550806,1477540300,50,894,SRX915209,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870247,SAMN03396566,simple,10116,Rattus norvegicus,GSM1630462,GEO,SRA246114,09,2015,Ori,brain,242B_mRNA,liver,liver,6 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630466
SRR1873523,23289775,1164488750,50,671,SRX915209,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP056012,PRJNA277771,27135913,"",SRS870247,SAMN03396566,simple,10116,Rattus norvegicus,GSM1630462,GEO,SRA246114,09,2015,Ori,brain,242B_mRNA,liver,liver,24 months,total RNA,Illumina TruSeq Stranded kit,RNA-Seq,GSM1630467
