Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,GEO Accession
SRR6452745,36636872,1831843600,50,1149,SRX3543639,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP128535,PRJNA429210,30146315,"",SRS2816994,SAMN08331137,simple,4932,Saccharomyces cerevisiae,GSM2916306,GEO,SRA645315,08,2018,Young,Whole cells,tma64∆/tma20∆ 68F,Whole cells,tma64-delta/tma20-delta,GSM2916306
SRR6452746,33510378,1675518900,50,1052,SRX3543640,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP128535,PRJNA429210,30146315,"",SRS2816995,SAMN08331136,simple,4932,Saccharomyces cerevisiae,GSM2916307,GEO,SRA645315,08,2018,Young,Whole cells,tma64∆/tma20∆ 69F,Whole cells,tma64-delta/tma20-delta,GSM2916307
SRR6452747,26931826,1346591300,50,852,SRX3543641,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP128535,PRJNA429210,30146315,"",SRS2816996,SAMN08331135,simple,4932,Saccharomyces cerevisiae,GSM2916308,GEO,SRA645315,08,2018,Young,Whole cells,tma64∆/tma22∆ 70F,Whole cells,tma64-delta/tma22-delta,GSM2916308
SRR6452748,38482459,1924122950,50,1209,SRX3543642,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP128535,PRJNA429210,30146315,"",SRS2816998,SAMN08331134,simple,4932,Saccharomyces cerevisiae,GSM2916309,GEO,SRA645315,08,2018,Young,Whole cells,tma64∆/tma22∆ 71F,Whole cells,tma64-delta/tma22-delta,GSM2916309
SRR6452749,60107501,3005375050,50,942,SRX3543643,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128535,PRJNA429210,30146315,"",SRS2816997,SAMN08331133,simple,4932,Saccharomyces cerevisiae,GSM2916310,GEO,SRA645315,08,2018,Young,Whole cells,SUI1 DJY07_1,Whole cells,SUI1,GSM2916310
SRR6452750,71680806,3584040300,50,1154,SRX3543644,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128535,PRJNA429210,30146315,"",SRS2816999,SAMN08331138,simple,4932,Saccharomyces cerevisiae,GSM2916311,GEO,SRA645315,08,2018,Young,Whole cells,SUI1 DJY08_1,Whole cells,SUI1,GSM2916311
SRR6452751,59579296,2978964800,,932,SRX3543645,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128535,PRJNA429210,30146315,"",SRS2817000,SAMN08331146,simple,4932,Saccharomyces cerevisiae,GSM2916312,GEO,SRA645315,08,2018,Young,Whole cells,sui1-L96P DJY07_2,Whole cells,sui1-L96P,GSM2916312
SRR6452752,60398669,3019933450,50,973,SRX3543646,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128535,PRJNA429210,30146315,"",SRS2817001,SAMN08331145,simple,4932,Saccharomyces cerevisiae,GSM2916313,GEO,SRA645315,08,2018,Young,Whole cells,sui1-L96P DJY08_2,Whole cells,sui1-L96P,GSM2916313
SRR6452753,63910825,3195541250,50,1002,SRX3543647,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128535,PRJNA429210,30146315,"",SRS2817002,SAMN08331144,simple,4932,Saccharomyces cerevisiae,GSM2916314,GEO,SRA645315,08,2018,Young,Whole cells,tma64∆/tma22∆/SUI1 DJY07_3,Whole cells,tma64-delta/tma22-delta/SUI1,GSM2916314
SRR6452754,63046141,3152307050,50,1021,SRX3543648,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP128535,PRJNA429210,30146315,"",SRS2817003,SAMN08331143,simple,4932,Saccharomyces cerevisiae,GSM2916315,GEO,SRA645315,08,2018,Young,Whole cells,tma64∆/tma22∆/SUI1 DJY08_3,Whole cells,tma64-delta/tma22-delta/SUI1,GSM2916315
