Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,Sex,gender,molecule subtype,GEO Accession
SRR1660326,13174256,988069200,75,614,SRX765940,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750217,SAMN03216851,simple,9606,Homo sapiens,GSM1552806,GEO,SRA204209,04,2015,Grow,NCCIT hECC,HERV-K Rec iCLIP-seq,NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552806
SRR1660327,9058695,679402125,75,439,SRX765940,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750217,SAMN03216851,simple,9606,Homo sapiens,GSM1552806,GEO,SRA204209,04,2015,Grow,NCCIT hECC,HERV-K Rec iCLIP-seq,Rec-OE-NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552807
SRR1660328,30964025,2322301875,75,1308,SRX765941,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750218,SAMN03216854,simple,9606,Homo sapiens,GSM1552807,GEO,SRA204209,04,2015,Grow,Rec-OE-NCCIT hECC,Rec-OE NCCIT Ribosome profiling (RPF),NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552808
SRR1660329,39632893,2972466975,75,1601,SRX765941,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750218,SAMN03216854,simple,9606,Homo sapiens,GSM1552807,GEO,SRA204209,04,2015,Grow,Rec-OE-NCCIT hECC,Rec-OE NCCIT Ribosome profiling (RPF),NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552809
SRR1660330,43632403,3272430225,75,1765,SRX765941,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750218,SAMN03216854,simple,9606,Homo sapiens,GSM1552807,GEO,SRA204209,04,2015,Grow,Rec-OE-NCCIT hECC,Rec-OE NCCIT Ribosome profiling (RPF),NCCIT hECC,"NCCIT cells, hECC",male,,,GSM1552810
SRR1660331,38175907,2863193025,75,1538,SRX765941,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750218,SAMN03216854,simple,9606,Homo sapiens,GSM1552807,GEO,SRA204209,04,2015,Grow,Rec-OE-NCCIT hECC,Rec-OE NCCIT Ribosome profiling (RPF),ELF1 hESC,naive hESC,female,,,GSM1552811
SRR1660332,61772582,4632943650,75,2879,SRX765942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750219,SAMN03216852,simple,9606,Homo sapiens,GSM1552808,GEO,SRA204209,04,2015,Grow,NCCIT hECC,WT control NCCIT Ribosome profiling (RPF),ELF1 hESC,primed hESC,female,,,GSM1552812
SRR1660333,21771791,661735742,30,202,SRX765942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750219,SAMN03216852,simple,9606,Homo sapiens,GSM1552808,GEO,SRA204209,04,2015,Grow,NCCIT hECC,WT control NCCIT Ribosome profiling (RPF),Rec-OE-NCCIT hECC,"NCCIT cells, hECC",,male,total RNA (rRNA depleted),GSM1592570
SRR1660334,30106441,2257983075,75,1263,SRX765942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750219,SAMN03216852,simple,9606,Homo sapiens,GSM1552808,GEO,SRA204209,04,2015,Grow,NCCIT hECC,WT control NCCIT Ribosome profiling (RPF),Rec-OE-NCCIT hECC,"NCCIT cells, hECC",,male,total RNA (rRNA depleted),GSM1592571
SRR1660335,44297155,3322286625,75,1830,SRX765942,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP050147,PRJNA268222,25896322,"",SRS750219,SAMN03216852,simple,9606,Homo sapiens,GSM1552808,GEO,SRA204209,04,2015,Grow,NCCIT hECC,WT control NCCIT Ribosome profiling (RPF),NCCIT hECC,"NCCIT cells, hECC",,male,total RNA (rRNA depleted),GSM1592572
