Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,sample name
ERR3949721,15222324,1535177762,100,691,ERX3957527,Streptomyces avermitilis MA-4680 RNA-seq E1 trimmed read,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349682,SAMEA6585380,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585380,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 RNA-seq trimmed read,2020-02-24,2020-02-24,SAMEA6585380,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 RNA-seq trimmed read,Streptomyces avermitilis MA-4680 RNA-seq trimmed read
ERR3949722,15539540,1566864913,100,709,ERX3957528,Streptomyces avermitilis MA-4680 RNA-seq E2 trimmed read,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349682,SAMEA6585380,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585380,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 RNA-seq trimmed read,2020-02-24,2020-02-24,SAMEA6585380,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 RNA-seq trimmed read,Streptomyces avermitilis MA-4680 RNA-seq trimmed read
ERR3949723,18961958,1912253663,100,878,ERX3957529,Streptomyces avermitilis MA-4680 RNA-seq T1 trimmed read,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349682,SAMEA6585380,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585380,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 RNA-seq trimmed read,2020-02-24,2020-02-24,SAMEA6585380,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 RNA-seq trimmed read,Streptomyces avermitilis MA-4680 RNA-seq trimmed read
ERR3949724,18054302,1821318001,100,822,ERX3957530,Streptomyces avermitilis MA-4680 RNA-seq T2 trimmed read,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349682,SAMEA6585380,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585380,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 RNA-seq trimmed read,2020-02-24,2020-02-24,SAMEA6585380,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 RNA-seq trimmed read,Streptomyces avermitilis MA-4680 RNA-seq trimmed read
ERR3949725,13903462,1402488580,100,637,ERX3957531,Streptomyces avermitilis MA-4680 RNA-seq L1 trimmed read,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349682,SAMEA6585380,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585380,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 RNA-seq trimmed read,2020-02-24,2020-02-24,SAMEA6585380,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 RNA-seq trimmed read,Streptomyces avermitilis MA-4680 RNA-seq trimmed read
ERR3949726,16813651,1695206128,100,769,ERX3957532,Streptomyces avermitilis MA-4680 RNA-seq L2 trimmed read,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349682,SAMEA6585380,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585380,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 RNA-seq trimmed read,2020-02-24,2020-02-24,SAMEA6585380,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 RNA-seq trimmed read,Streptomyces avermitilis MA-4680 RNA-seq trimmed read
ERR3949727,16661924,1680715431,100,760,ERX3957533,Streptomyces avermitilis MA-4680 RNA-seq S1 trimmed read,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349682,SAMEA6585380,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585380,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 RNA-seq trimmed read,2020-02-24,2020-02-24,SAMEA6585380,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 RNA-seq trimmed read,Streptomyces avermitilis MA-4680 RNA-seq trimmed read
ERR3949728,16278123,1642208558,100,743,ERX3957534,Streptomyces avermitilis MA-4680 RNA-seq S2 trimmed read,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349682,SAMEA6585380,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585380,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 RNA-seq trimmed read,2020-02-24,2020-02-24,SAMEA6585380,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 RNA-seq trimmed read,Streptomyces avermitilis MA-4680 RNA-seq trimmed read
ERR3949729,209920058,6151224942,29,3273,ERX3957535,Streptomyces avermitilis MA-4680 ribosome profiling E1 trimmed read,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349683,SAMEA6585381,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585381,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 ribosome profiling trimmed read,2020-02-24,2020-02-24,SAMEA6585381,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 ribosome profiling trimmed read,Streptomyces avermitilis MA-4680 ribosome profiling trimmed read
ERR3949730,150989307,4857824975,32,2954,ERX3957536,Streptomyces avermitilis MA-4680 ribosome profiling E2 trimmed read,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP120150,PRJEB36893,1,"",ERS4349683,SAMEA6585381,simple,227882,Streptomyces avermitilis MA-4680 = NBRC 14893,SAMEA6585381,KAIST,ERA2388628,02,2020,Makar,"",Streptomyces avermitilis MA-4680 ribosome profiling trimmed read,2020-02-24,2020-02-24,SAMEA6585381,KAIST,KAIST,2020-02-24T08:10:21Z,2020-02-24T01:51:30Z,public,Streptomyces avermitilis MA-4680 ribosome profiling trimmed read,Streptomyces avermitilis MA-4680 ribosome profiling trimmed read
