Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,sample type,mtdna genotype,GEO Accession
SRR935448,141076594,7194906294,51,4819,SRX323404,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027514,PRJNA212323,24301020,"",SRS459811,SAMN02252762,simple,9606,Homo sapiens,GSM1187134,GEO,SRA093551,10,2013,Rooijers,Foreskin fibroblast,BJ_RP_rep1,Foreskin fibroblast,Foreskin fibroblast,BJ,other,,GSM1187134
SRR935449,184234986,9395984286,51,6427,SRX323405,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027514,PRJNA212323,24301020,"",SRS459812,SAMN02252761,simple,9606,Homo sapiens,GSM1187135,GEO,SRA093551,10,2013,Rooijers,Foreskin fibroblast,BJ_RP_rep2,Foreskin fibroblast,Foreskin fibroblast,BJ,other,,GSM1187135
SRR935450,40500828,2065542228,51,1423,SRX323406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027514,PRJNA212323,24301020,"",SRS459813,SAMN02252764,simple,9606,Homo sapiens,GSM1187136,GEO,SRA093551,10,2013,Rooijers,Foreskin fibroblast,BJ_RNAseq_rep1,Foreskin fibroblast,Foreskin fibroblast,BJ,polyA RNA,,GSM1187136
SRR935451,49887612,2544268212,51,1807,SRX323407,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027514,PRJNA212323,24301020,"",SRS459814,SAMN02252766,simple,9606,Homo sapiens,GSM1187137,GEO,SRA093551,10,2013,Rooijers,Foreskin fibroblast,BJ_RNAseq_rep2,Foreskin fibroblast,Foreskin fibroblast,BJ,polyA RNA,,GSM1187137
SRR935452,183299160,9348257160,51,6535,SRX323408,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027514,PRJNA212323,24301020,"",SRS459815,SAMN02252763,simple,9606,Homo sapiens,GSM1187138,GEO,SRA093551,10,2013,Rooijers,Osteosarcoma,Cybrid_control_RP_rep1,Osteosarcoma,Cybrid,,other,control,GSM1187138
SRR935453,7742414,394863114,51,199,SRX323409,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP027514,PRJNA212323,24301020,"",SRS459816,SAMN02252765,simple,9606,Homo sapiens,GSM1187139,GEO,SRA093551,10,2013,Rooijers,Osteosarcoma,Cybrid_control_RP_rep2,Osteosarcoma,Cybrid,,other,control,GSM1187139
SRR935454,197293289,10061957739,51,6935,SRX323410,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027514,PRJNA212323,24301020,"",SRS459817,SAMN02252768,simple,9606,Homo sapiens,GSM1187140,GEO,SRA093551,10,2013,Rooijers,Osteosarcoma,Cybrid_tRNA_Trp_5556GA_RP_rep1,Osteosarcoma,Cybrid,,other,5556GA,GSM1187140
SRR935455,5976543,304803693,51,162,SRX323411,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP027514,PRJNA212323,24301020,"",SRS459818,SAMN02252769,simple,9606,Homo sapiens,GSM1187141,GEO,SRA093551,10,2013,Rooijers,Osteosarcoma,Cybrid_tRNA_Trp_5556GA_RP_rep2,Osteosarcoma,Cybrid,,other,5556GA,GSM1187141
SRR935456,25117953,1281015603,51,806,SRX323412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027514,PRJNA212323,24301020,"",SRS459819,SAMN02252767,simple,9606,Homo sapiens,GSM1187142,GEO,SRA093551,10,2013,Rooijers,Osteosarcoma,Cybrid_control_RNAseq_rep1,Osteosarcoma,Cybrid,,polyA RNA,control,GSM1187142
SRR935457,23503190,1198662690,51,755,SRX323413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP027514,PRJNA212323,24301020,"",SRS459820,SAMN02252770,simple,9606,Homo sapiens,GSM1187143,GEO,SRA093551,10,2013,Rooijers,Osteosarcoma,Cybrid_tRNA_Trp_5556GA_RNAseq_rep1,Osteosarcoma,Cybrid,,polyA RNA,5556GA,GSM1187143
