Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,GEO Accession
SRR1039719,21793416,871736640,40,551,SRX384528,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508733,SAMN02423129,simple,7227,Drosophila melanogaster,GSM1276347,GEO,SRA114375,07,2015,Kronja,mature oocytes,input_(unfractionated lysate)_mature_oocyte_replicate_1,mature oocytes,ovary,Oregon R,GSM1276347
SRR1039720,24805115,992204600,40,629,SRX384529,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508734,SAMN02423145,simple,7227,Drosophila melanogaster,GSM1276348,GEO,SRA114375,07,2015,Kronja,mature oocytes,RNPs_fraction_mature_oocyte_replicate_1,mature oocytes,ovary,Oregon R,GSM1276348
SRR1039721,28975137,1159005480,40,728,SRX384530,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508736,SAMN02423135,simple,7227,Drosophila melanogaster,GSM1276349,GEO,SRA114375,07,2015,Kronja,mature oocytes,40S_fraction_mature_oocyte_replicate_1,mature oocytes,ovary,Oregon R,GSM1276349
SRR1039722,26337437,1053497480,40,654,SRX384531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508735,SAMN02423147,simple,7227,Drosophila melanogaster,GSM1276350,GEO,SRA114375,07,2015,Kronja,mature oocytes,60S+80S_fraction_mature_oocyte_replicate_1,mature oocytes,ovary,Oregon R,GSM1276350
SRR1039723,26597719,1063908760,40,668,SRX384532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508738,SAMN02423131,simple,7227,Drosophila melanogaster,GSM1276351,GEO,SRA114375,07,2015,Kronja,mature oocytes,low_polysomes_fraction_mature_oocyte_replicate_1,mature oocytes,ovary,Oregon R,GSM1276351
SRR1039728,30941332,1175770616,38,831,SRX384533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508737,SAMN02423156,simple,7227,Drosophila melanogaster,GSM1276356,GEO,SRA114375,07,2015,Kronja,mature oocytes,40S_fraction_mature_oocyte_replicate_2,mature oocytes,ovary,Oregon R,GSM1276356
SRR1039724,23512628,940505120,40,592,SRX384534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508739,SAMN02423138,simple,7227,Drosophila melanogaster,GSM1276352,GEO,SRA114375,07,2015,Kronja,mature oocytes,medium_polysomes_fraction_mature_oocyte_replicate_1,mature oocytes,ovary,Oregon R,GSM1276352
SRR1039725,27299602,1091984080,40,691,SRX384535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508740,SAMN02423134,simple,7227,Drosophila melanogaster,GSM1276353,GEO,SRA114375,07,2015,Kronja,mature oocytes,heavy_polysomes_fraction_mature_oocyte_replicate_1,mature oocytes,ovary,Oregon R,GSM1276353
SRR1039726,25395559,965031242,38,685,SRX384536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508742,SAMN02423148,simple,7227,Drosophila melanogaster,GSM1276354,GEO,SRA114375,07,2015,Kronja,mature oocytes,input_(unfractionated lysate)_mature_oocyte_replicate_2,mature oocytes,ovary,Oregon R,GSM1276354
SRR1039727,27215317,1034182046,38,732,SRX384537,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033366,PRJNA230057,24882012,"",SRS508741,SAMN02423136,simple,7227,Drosophila melanogaster,GSM1276355,GEO,SRA114375,07,2015,Kronja,mature oocytes,RNPs_fraction_mature_oocyte_replicate_2,mature oocytes,ovary,Oregon R,GSM1276355
