Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,age,drug treatment,tissue,molecule subtype,treatment,tissue,rip antibody,GEO Accession
SRR12343757,27846655,2059359741,73,757,SRX8843447,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS7106505,SAMN15667088,simple,10090,Mus musculus,GSM4699675,GEO,SRA1105239,07,2021,Sun,mouse.testis.4EGI.adult,Riboseq.mouse.testis.4EGI.adult.rep1,mouse.testis.4EGI.adult,C57B6,wt,adult,4EGI,whole testis,Ribosome footprints,,,,GSM4699675
SRR12343758,27680325,2021993487,73,753,SRX8843448,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS7106506,SAMN15667087,simple,10090,Mus musculus,GSM4699676,GEO,SRA1105239,07,2021,Sun,mouse.testis.4EGIControl.adult,Riboseq.mouse.testis.4EGIControl.adult.rep1,mouse.testis.4EGIControl.adult,C57B6,wt,adult,,whole testis,Ribosome footprints,,,,GSM4699676
SRR12343759,23237868,6971360400,150,2718,SRX8843449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS7106507,SAMN15667086,simple,10090,Mus musculus,GSM4699677,GEO,SRA1105239,07,2021,Sun,mouse.testis.CBP80IP.adult,RNAseq.mouse.testis.CBP80IP.adult,mouse.testis.CBP80IP.adult,C57B6,wt,adult,,whole testis,rRNA depleted RNA,,,,GSM4699677
SRR16492699,45292034,3241640422,71,1140,SRX12695699,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645717,SAMN22416877,simple,10090,Mus musculus,GSM5640048,GEO,SRA1105239,04,2023,Sun,testis,Degradome.mouse.testis.Mov10l1CKOControl.adult.rep1,testis,C57B6,Mov10l1CKOControl,adult,,whole testis,RNA degradation products,NA,whole testis,,GSM5640048
SRR16492700,62586939,4482151734,71,1567,SRX12695700,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645718,SAMN22416878,simple,10090,Mus musculus,GSM5640049,GEO,SRA1105239,04,2023,Sun,testis,Degradome.mouse.testis.Mov10l1CKOTg.adult.rep1,testis,C57B6,Mov10l1CKOTg,adult,,whole testis,RNA degradation products,NA,whole testis,,GSM5640049
SRR16492701,22674498,1585089862,69,1086,SRX12695701,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645719,SAMN22416879,simple,10090,Mus musculus,GSM5640050,GEO,SRA1105239,04,2023,Sun,testis,Degradome.mouse.testis.wt.Ribozero.adult.rep1,testis,C57B6,wt,adult,,whole testis,RNA degradation products,Ribozero,whole testis,,GSM5640050
SRR16492702,39141510,3883926660,99,1437,SRX12695702,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645720,SAMN22416880,simple,10090,Mus musculus,GSM5640051,GEO,SRA1105239,04,2023,Sun,testis,Riboseq.mouse.testis.Neurog3-cre.Ribotag.HAIP_Ligated.adult.rep1,testis,C57B6,Neurog3-cre.Ribotag,adult,,whole testis,Ribosome footprints,RIP_Ligated,whole testis,anti-HA mouse antibody (Covance; MMS-101P),GSM5640051
SRR16492703,58444102,5830175102,99,2002,SRX12695703,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645721,SAMN22416881,simple,10090,Mus musculus,GSM5640052,GEO,SRA1105239,04,2023,Sun,testis,Riboseq.mouse.testis.Neurog3-cre.Ribotag.HAIP_Unligated.adult.rep1,testis,C57B6,Neurog3-cre.Ribotag,adult,,whole testis,Ribosome footprints,RIP_Unligated,whole testis,anti-HA mouse antibody (Covance; MMS-101P),GSM5640052
SRR16492704,19877989,6003152678,151,2249,SRX12695704,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645722,SAMN22416882,simple,10090,Mus musculus,GSM5640053,GEO,SRA1105239,04,2023,Sun,testis,RNAseq.mouse.testis.Mov10l1CKOTg.CBP80IP.adult.rep1,testis,C57B6,Mov10l1CKOTg,adult,,whole testis,rRNA depleted RNA,RIP,whole testis,"anti-CBP80 rabbit antibody (Bethyl laboratories, A301-794A)",GSM5640053
SRR16492705,19671307,5940734714,151,2237,SRX12695705,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP274105,PRJNA649449,34645830,"",SRS10645723,SAMN22416883,simple,10090,Mus musculus,GSM5640054,GEO,SRA1105239,04,2023,Sun,testis,RNAseq.mouse.testis.Mov10l1CKOTg.Eif4EIP.adult.rep1,testis,C57B6,Mov10l1CKOTg,adult,,whole testis,rRNA depleted RNA,RIP,whole testis,"anti-eIF4E rabbit antibody (Bethyl laboratories, A301-153A)",GSM5640054
