Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell line,molecule subtype,GEO Accession
SRR8383336,16940130,5082039000,150,1980,SRX5193253,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199260,SAMN10679999,simple,9606,Homo sapiens,GSM3536524,GEO,SRA828491,11,2019,Song,HEK293T,WT_rRNA(-)_nuclear_RNA_seq_Rep1,HEK293T,WT,HEK293T,,GSM3536524
SRR8383337,26490785,7947235500,150,3094,SRX5193253,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199260,SAMN10679999,simple,9606,Homo sapiens,GSM3536524,GEO,SRA828491,11,2019,Song,HEK293T,WT_rRNA(-)_nuclear_RNA_seq_Rep1,HEK293T,WT,HEK293T,,GSM3536525
SRR8383338,16181366,4854409800,150,1900,SRX5193254,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199261,SAMN10680020,simple,9606,Homo sapiens,GSM3536525,GEO,SRA828491,11,2019,Song,HEK293T,WT_rRNA(-)_nuclear_RNA_seq_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536526
SRR8383339,25608465,7682539500,150,2983,SRX5193254,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199261,SAMN10680020,simple,9606,Homo sapiens,GSM3536525,GEO,SRA828491,11,2019,Song,HEK293T,WT_rRNA(-)_nuclear_RNA_seq_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536527
SRR8383340,15130386,4539115800,150,1846,SRX5193255,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199262,SAMN10680019,simple,9606,Homo sapiens,GSM3536526,GEO,SRA828491,11,2019,Song,HEK293T,KO_rRNA(-)_nuclear_RNA_seq_Rep1,HEK293T,WT,HEK293T,,GSM3536528
SRR8383341,15423075,4226821650,150,1644,SRX5193255,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199262,SAMN10680019,simple,9606,Homo sapiens,GSM3536526,GEO,SRA828491,11,2019,Song,HEK293T,KO_rRNA(-)_nuclear_RNA_seq_Rep1,HEK293T,WT,HEK293T,,GSM3536529
SRR8400968,28712531,8613759300,150,3414,SRX5193256,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199263,SAMN10680018,simple,9606,Homo sapiens,GSM3536527,GEO,SRA828491,11,2019,Song,HEK293T,KO_rRNA(-)_nuclear_RNA_seq_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536530
SRR8400969,29835526,8950657800,150,3533,SRX5193256,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199263,SAMN10680018,simple,9606,Homo sapiens,GSM3536527,GEO,SRA828491,11,2019,Song,HEK293T,KO_rRNA(-)_nuclear_RNA_seq_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536531
SRR8383344,26274508,7882352400,150,2908,SRX5193257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199264,SAMN10680017,simple,9606,Homo sapiens,GSM3536528,GEO,SRA828491,11,2019,Song,HEK293T,WT_polyA_RNA_seq_Rep1,HEK293T,FLAG-PUS10,HEK293T,,GSM3536532
SRR8383345,32890381,9867114300,150,3621,SRX5193258,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199265,SAMN10680016,simple,9606,Homo sapiens,GSM3536529,GEO,SRA828491,11,2019,Song,HEK293T,WT_polyA_RNA_seq_Rep2,HEK293T,FLAG-PUS10,HEK293T,,GSM3536533
SRR8383346,27545297,8263589100,150,3035,SRX5193259,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199266,SAMN10680015,simple,9606,Homo sapiens,GSM3536530,GEO,SRA828491,11,2019,Song,HEK293T,KO_polyA_RNA_seq_Rep1,HEK293T,WT,HEK293T,,GSM3536534
SRR8383347,30313923,9094176900,150,3328,SRX5193260,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199267,SAMN10680014,simple,9606,Homo sapiens,GSM3536531,GEO,SRA828491,11,2019,Song,HEK293T,KO_polyA_RNA_seq_Rep2,HEK293T,WT,HEK293T,,GSM3536535
SRR8383348,5174323,258716150,50,82,SRX5193261,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199268,SAMN10680013,simple,9606,Homo sapiens,GSM3536532,GEO,SRA828491,11,2019,Song,HEK293T,PUS10_PAR_CLIP_Rep1,HEK293T,WT,HEK293T,,GSM3536536
SRR8383349,9786090,489304500,50,121,SRX5193261,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199268,SAMN10680013,simple,9606,Homo sapiens,GSM3536532,GEO,SRA828491,11,2019,Song,HEK293T,PUS10_PAR_CLIP_Rep1,HEK293T,WT,HEK293T,,GSM3536537
SRR8383350,14214476,710723800,50,229,SRX5193261,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199268,SAMN10680013,simple,9606,Homo sapiens,GSM3536532,GEO,SRA828491,11,2019,Song,HEK293T,PUS10_PAR_CLIP_Rep1,HEK293T,WT,HEK293T,,GSM3536538
SRR8383351,20713962,1035698100,50,266,SRX5193261,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199268,SAMN10680013,simple,9606,Homo sapiens,GSM3536532,GEO,SRA828491,11,2019,Song,HEK293T,PUS10_PAR_CLIP_Rep1,HEK293T,WT,HEK293T,,GSM3536539
SRR8383352,6592041,329602050,50,105,SRX5193262,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199269,SAMN10680012,simple,9606,Homo sapiens,GSM3536533,GEO,SRA828491,11,2019,Song,HEK293T,PUS10_PAR_CLIP_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536540
SRR8383353,9880798,494039900,50,127,SRX5193262,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199269,SAMN10680012,simple,9606,Homo sapiens,GSM3536533,GEO,SRA828491,11,2019,Song,HEK293T,PUS10_PAR_CLIP_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536541
SRR8383354,13738259,686912950,50,222,SRX5193262,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199269,SAMN10680012,simple,9606,Homo sapiens,GSM3536533,GEO,SRA828491,11,2019,Song,HEK293T,PUS10_PAR_CLIP_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536542
SRR8383355,16153685,807684250,50,218,SRX5193262,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199269,SAMN10680012,simple,9606,Homo sapiens,GSM3536533,GEO,SRA828491,11,2019,Song,HEK293T,PUS10_PAR_CLIP_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536543
SRR8383356,10252041,1537806150,0,683,SRX5193263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199270,SAMN10680011,simple,9606,Homo sapiens,GSM3536534,GEO,SRA828491,11,2019,Song,HEK293T,WT_BEU_Rep1,HEK293T,PUS10 -/-,HEK293T,,GSM3536544
SRR8383357,12966335,1944950250,0,855,SRX5193264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199271,SAMN10680010,simple,9606,Homo sapiens,GSM3536535,GEO,SRA828491,11,2019,Song,HEK293T,WT_BEU_Rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536545
SRR8383358,12350280,1852542000,0,805,SRX5193265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199272,SAMN10680009,simple,9606,Homo sapiens,GSM3536536,GEO,SRA828491,11,2019,Song,HEK293T,WT_BEU_Rep3,HEK293T,WT,HEK293T,total RNA input,GSM3984242
SRR8383359,13702786,2055417900,0,904,SRX5193266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199273,SAMN10680008,simple,9606,Homo sapiens,GSM3536537,GEO,SRA828491,11,2019,Song,HEK293T,WT_CMC_Rep1,HEK293T,WT,HEK293T,Ribosome protected RNA,GSM3984243
SRR8383360,13011966,1951794900,0,868,SRX5193267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199274,SAMN10680007,simple,9606,Homo sapiens,GSM3536538,GEO,SRA828491,11,2019,Song,HEK293T,WT_CMC_Rep2,HEK293T,WT,HEK293T,total RNA input,GSM3984244
SRR8383361,12813381,1922007150,0,838,SRX5193268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199275,SAMN10680006,simple,9606,Homo sapiens,GSM3536539,GEO,SRA828491,11,2019,Song,HEK293T,WT_CMC_Rep3,HEK293T,WT,HEK293T,Ribosome protected RNA,GSM3984245
SRR8383362,10018528,1502779200,0,666,SRX5193269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP175017,PRJNA512491,31819270,"",SRS4199276,SAMN10680005,simple,9606,Homo sapiens,GSM3536540,GEO,SRA828491,11,2019,Song,HEK293T,KO_BEU_Rep1,HEK293T,WT,HEK293T,total RNA input,GSM3984246
SRR8383363,12206142,1830921300,0,811,SRX5193270,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199277,SAMN10680004,simple,9606,Homo sapiens,GSM3536541,GEO,SRA828491,11,2019,Song,HEK293T,KO_BEU_Rep2,HEK293T,WT,HEK293T,Ribosome protected RNA,GSM3984247
SRR8383364,9027861,1354179150,0,601,SRX5193271,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199278,SAMN10680003,simple,9606,Homo sapiens,GSM3536542,GEO,SRA828491,11,2019,Song,HEK293T,KO_BEU_Rep3,HEK293T,WT,HEK293T,total RNA input,GSM3984248
SRR8383365,12652609,1897891350,0,818,SRX5193272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199279,SAMN10680002,simple,9606,Homo sapiens,GSM3536543,GEO,SRA828491,11,2019,Song,HEK293T,KO_CMC_Rep1,HEK293T,WT,HEK293T,Ribosome protected RNA,GSM3984249
SRR8383366,12069079,1810361850,0,813,SRX5193273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199280,SAMN10680001,simple,9606,Homo sapiens,GSM3536544,GEO,SRA828491,11,2019,Song,HEK293T,KO_CMC_Rep2,HEK293T,PUS10 -/-,HEK293T,total RNA input,GSM3984250
SRR8383367,11012526,1651878900,0,722,SRX5193274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS4199281,SAMN10680000,simple,9606,Homo sapiens,GSM3536545,GEO,SRA828491,11,2019,Song,HEK293T,KO_CMC_Rep3,HEK293T,PUS10 -/-,HEK293T,Ribosome protected RNA,GSM3984251
SRR9855601,56959090,17087727000,150,6886,SRX6609617,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173851,SAMN12391245,simple,9606,Homo sapiens,GSM3984242,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_Input_rep1,HEK293T,PUS10 -/-,HEK293T,total RNA input,GSM3984252
SRR9855602,38603456,11581036800,150,4717,SRX6609617,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173851,SAMN12391245,simple,9606,Homo sapiens,GSM3984242,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_Input_rep1,HEK293T,PUS10 -/-,HEK293T,Ribosome protected RNA,GSM3984253
SRR9855603,33248225,9974467500,150,4708,SRX6609617,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173851,SAMN12391245,simple,9606,Homo sapiens,GSM3984242,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_Input_rep1,HEK293T,PUS10 -/-,HEK293T,total RNA input,GSM3984254
SRR9855604,265420654,79626196200,150,33421,SRX6609618,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173852,SAMN12391244,simple,9606,Homo sapiens,GSM3984243,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_rep1,HEK293T,PUS10 -/-,HEK293T,Ribosome protected RNA,GSM3984255
SRR9855605,41446577,12433973100,150,5210,SRX6609618,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173852,SAMN12391244,simple,9606,Homo sapiens,GSM3984243,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_rep1,HEK293T,PUS10 -/-,HEK293T,total RNA input,GSM3984256
SRR9855606,56594254,16978276200,150,6938,SRX6609619,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173853,SAMN12391243,simple,9606,Homo sapiens,GSM3984244,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_Input_rep2,HEK293T,PUS10 -/-,HEK293T,Ribosome protected RNA,GSM3984257
SRR9855607,25432546,7629763800,150,3160,SRX6609619,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173853,SAMN12391243,simple,9606,Homo sapiens,GSM3984244,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_Input_rep2,HEK293T,WT,HEK293T,,GSM3536524
SRR9855608,27637744,8291323200,150,3524,SRX6609619,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173853,SAMN12391243,simple,9606,Homo sapiens,GSM3984244,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_Input_rep2,HEK293T,WT,HEK293T,,GSM3536525
SRR9855609,166073448,49822034400,150,20852,SRX6609620,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173854,SAMN12391242,simple,9606,Homo sapiens,GSM3984245,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536526
SRR9855610,33469827,10040948100,150,4194,SRX6609620,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173854,SAMN12391242,simple,9606,Homo sapiens,GSM3984245,GEO,SRA828491,11,2019,Song,HEK293T,WT_MNase_Riboseq_rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536527
SRR9855611,49296421,14788926300,150,5998,SRX6609621,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173855,SAMN12391241,simple,9606,Homo sapiens,GSM3984246,GEO,SRA828491,11,2019,Song,HEK293T,WT_RNase_Riboseq_Input_rep1,HEK293T,WT,HEK293T,,GSM3536528
SRR9855612,77166579,23149973700,150,9596,SRX6609622,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173856,SAMN12391240,simple,9606,Homo sapiens,GSM3984247,GEO,SRA828491,11,2019,Song,HEK293T,WT_RNase_Riboseq_rep1,HEK293T,WT,HEK293T,,GSM3536529
SRR9855613,44529197,13358759100,150,5447,SRX6609623,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP175017,PRJNA512491,31819270,"",SRS5173857,SAMN12391239,simple,9606,Homo sapiens,GSM3984248,GEO,SRA828491,11,2019,Song,HEK293T,WT_RNase_Riboseq_Input_rep2,HEK293T,PUS10 -/-,HEK293T,,GSM3536530
