Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,common name,growth condition,protocol,sample name,Experimental Factor: Ribo-Seq,Experimental Factor: encephalomyocarditis virus (wild type),Experimental Factor: 2,Experimental Factor: encephalomyocarditis virus (SS mutant),Experimental Factor: 8,Experimental Factor: encephalomyocarditis virus (WT-SL mutant),Experimental Factor: encephalomyocarditis virus (SS-SL mutant),Experimental Factor: encephalomyocarditis virus (LV-WT mutant),Experimental Factor: encephalomyocarditis virus (LV-SS-SL mutant),Experimental Factor: RNA-Seq,Experimental Factor: 4,Experimental Factor: 6
ERR1719518,41599973,1375854749,33,887,ERX1789731,Sample 1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP019506,PRJEB17636,1,"",ERS1433225,SAMEA4534046,simple,10090,Mus musculus,SAMEA4534046,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 1,2017-06-02,2016-11-03,SAMEA4534046,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 1,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 1,protocol,infect,time,,,,,,,,,
ERR1719519,23069695,740677911,32,357,ERX1789732,Sample 10_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433226,SAMEA4534047,simple,10090,Mus musculus,SAMEA4534047,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 10,2017-06-02,2016-11-03,SAMEA4534047,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 10,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 10,protocol,,,infect,time,,,,,,,
ERR1719520,29010875,922672397,31,447,ERX1789733,Sample 11_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433227,SAMEA4534048,simple,10090,Mus musculus,SAMEA4534048,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 11,2017-06-02,2016-11-03,SAMEA4534048,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 11,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 11,protocol,,,,time,infect,,,,,,
ERR1719521,30202884,976358769,32,470,ERX1789734,Sample 12_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433228,SAMEA4534049,simple,10090,Mus musculus,SAMEA4534049,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 12,2017-06-02,2016-11-03,SAMEA4534049,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 12,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 12,protocol,,,,time,,infect,,,,,
ERR1719522,19815295,629646715,31,311,ERX1789735,Sample 13_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433229,SAMEA4534050,simple,10090,Mus musculus,SAMEA4534050,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 13,2017-06-02,2016-11-03,SAMEA4534050,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 13,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 13,protocol,,,,time,,,infect,,,,
ERR1719523,37199064,1177627544,31,564,ERX1789736,Sample 14_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433230,SAMEA4534051,simple,10090,Mus musculus,SAMEA4534051,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 14,2017-06-02,2016-11-03,SAMEA4534051,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 14,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,Ribo-Seq,E-MTAB-5206:Sample 14,protocol,,,,time,,,,infect,,,
ERR1719524,26965806,866250047,32,430,ERX1789737,Sample 15_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433231,SAMEA4534052,simple,10090,Mus musculus,SAMEA4534052,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 15,2017-06-02,2016-11-03,SAMEA4534052,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 15,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,RNA-Seq,E-MTAB-5206:Sample 15,,infect,,,time,,,,,protocol,,
ERR1719525,31150940,974286119,31,488,ERX1789738,Sample 16_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433232,SAMEA4534053,simple,10090,Mus musculus,SAMEA4534053,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 16,2017-06-02,2016-11-03,SAMEA4534053,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 16,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,RNA-Seq,E-MTAB-5206:Sample 16,,,,infect,time,,,,,protocol,,
ERR1719526,31786494,975436074,30,500,ERX1789739,Sample 17_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433233,SAMEA4534054,simple,10090,Mus musculus,SAMEA4534054,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 17,2017-06-02,2016-11-03,SAMEA4534054,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 17,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,RNA-Seq,E-MTAB-5206:Sample 17,,,,,time,infect,,,,protocol,,
ERR1719527,31291402,1004598571,32,517,ERX1789740,Sample 18_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP019506,PRJEB17636,1,"",ERS1433234,SAMEA4534055,simple,10090,Mus musculus,SAMEA4534055,"Department of Pathology, University of Cambridge",ERA745198,06,2017,Makar,"",Sample 18,2017-06-02,2016-11-03,SAMEA4534055,"Department of Pathology, University of Cambridge","Department of Pathology, University of Cambridge",2017-06-02T17:02:10Z,2016-11-03T11:12:21Z,public,E-MTAB-5206:Sample 18,ArrayExpress,L929,fibroblast,house mouse,cycloheximide,RNA-Seq,E-MTAB-5206:Sample 18,,,,,time,,infect,,,protocol,,
