Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,growth phase,treatment,GEO Accession
SRR13150104,15090343,1192137097,79,458,SRX9590350,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794848,SAMN16926555,simple,580240,Saccharomyces cerevisiae W303,GSM4946300,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV1 mRNA-Seq WT replicate 1,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946300
SRR13150105,13803893,1090507547,79,420,SRX9590351,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794849,SAMN16926554,simple,580240,Saccharomyces cerevisiae W303,GSM4946301,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV1 mRNA-Seq WT replicate 2,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946301
SRR13150106,11186297,883717463,79,347,SRX9590352,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794851,SAMN16926553,simple,580240,Saccharomyces cerevisiae W303,GSM4946302,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV1 mRNA-Seq WT replicate 3,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946302
SRR13150107,14775834,1167290886,79,449,SRX9590353,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794850,SAMN16926552,simple,580240,Saccharomyces cerevisiae W303,GSM4946303,GEO,SRA1164140,11,2020,Liu,"W303-1A, cor1D, polyA RNA",EV1 mRNA-Seq cor1D replicate 1,"W303-1A, cor1D, polyA RNA",W303-1A,cor1,mid-log phase,None,GSM4946303
SRR13150108,15222010,1202538790,79,462,SRX9590354,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794852,SAMN16926551,simple,580240,Saccharomyces cerevisiae W303,GSM4946304,GEO,SRA1164140,11,2020,Liu,"W303-1A, cor1D, polyA RNA",EV1 mRNA-Seq cor1D replicate 2,"W303-1A, cor1D, polyA RNA",W303-1A,cor1,mid-log phase,None,GSM4946304
SRR13150109,13967635,1103443165,79,425,SRX9590355,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794854,SAMN16926550,simple,580240,Saccharomyces cerevisiae W303,GSM4946305,GEO,SRA1164140,11,2020,Liu,"W303-1A, cor1D, polyA RNA",EV1 mRNA-Seq cor1D replicate 3,"W303-1A, cor1D, polyA RNA",W303-1A,cor1,mid-log phase,None,GSM4946305
SRR13150110,13141688,1038193352,79,399,SRX9590356,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794853,SAMN16926549,simple,580240,Saccharomyces cerevisiae W303,GSM4946306,GEO,SRA1164140,11,2020,Liu,"W303-1A, cox9D, polyA RNA",EV1 mRNA-Seq cox9D replicate 1,"W303-1A, cox9D, polyA RNA",W303-1A,cox9,mid-log phase,None,GSM4946306
SRR13150111,16100044,1271903476,79,488,SRX9590357,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794855,SAMN16926548,simple,580240,Saccharomyces cerevisiae W303,GSM4946307,GEO,SRA1164140,11,2020,Liu,"W303-1A, cox9D, polyA RNA",EV1 mRNA-Seq cox9D replicate 2,"W303-1A, cox9D, polyA RNA",W303-1A,cox9,mid-log phase,None,GSM4946307
SRR13150112,12125309,957899411,79,368,SRX9590358,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794859,SAMN16926547,simple,580240,Saccharomyces cerevisiae W303,GSM4946308,GEO,SRA1164140,11,2020,Liu,"W303-1A, cox9D, polyA RNA",EV1 mRNA-Seq cox9D replicate 3,"W303-1A, cox9D, polyA RNA",W303-1A,cox9,mid-log phase,None,GSM4946308
SRR13150113,12278401,969993679,79,373,SRX9590359,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794857,SAMN16926546,simple,580240,Saccharomyces cerevisiae W303,GSM4946309,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D, polyA RNA",EV1 mRNA-Seq atp7D replicate 1,"W303-1A, atp7D, polyA RNA",W303-1A,atp7,mid-log phase,None,GSM4946309
SRR13150114,12602558,995602082,79,384,SRX9590360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794856,SAMN16926545,simple,580240,Saccharomyces cerevisiae W303,GSM4946310,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D, polyA RNA",EV1 mRNA-Seq atp7D replicate 2,"W303-1A, atp7D, polyA RNA",W303-1A,atp7,mid-log phase,None,GSM4946310
SRR13150115,12373146,977478534,79,375,SRX9590361,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794858,SAMN16926544,simple,580240,Saccharomyces cerevisiae W303,GSM4946311,GEO,SRA1164140,11,2020,Liu,"W303-1A, atp7D, polyA RNA",EV1 mRNA-Seq atp7D replicate 3,"W303-1A, atp7D, polyA RNA",W303-1A,atp7,mid-log phase,None,GSM4946311
SRR13150116,14003563,1106281477,79,415,SRX9590362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794860,SAMN16926543,simple,580240,Saccharomyces cerevisiae W303,GSM4946312,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV1 mRNA-Seq WT replicate 4,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946312
SRR13150117,14269500,1127290500,79,424,SRX9590363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794862,SAMN16926542,simple,580240,Saccharomyces cerevisiae W303,GSM4946313,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV1 mRNA-Seq WT replicate 5,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946313
SRR13150118,12724264,1005216856,79,385,SRX9590364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794861,SAMN16926541,simple,580240,Saccharomyces cerevisiae W303,GSM4946314,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV1 mRNA-Seq WT replicate 6,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946314
SRR13150119,12585455,994250945,79,374,SRX9590365,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794863,SAMN16926540,simple,580240,Saccharomyces cerevisiae W303,GSM4946315,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV1 mRNA-Seq r0 replicate 1,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946315
SRR13150120,13706029,1082776291,79,406,SRX9590366,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794864,SAMN16926539,simple,580240,Saccharomyces cerevisiae W303,GSM4946316,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV1 mRNA-Seq r0 replicate 2,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946316
SRR13150121,11693158,923759482,79,348,SRX9590367,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794865,SAMN16926538,simple,580240,Saccharomyces cerevisiae W303,GSM4946317,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, polyA RNA",EV1 mRNA-Seq r0 replicate 3,"W303-1A, r0, polyA RNA",W303-1A,rho0,mid-log phase,None,GSM4946317
SRR13150122,14149647,1117822113,79,392,SRX9590368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794866,SAMN16926537,simple,580240,Saccharomyces cerevisiae W303,GSM4946318,GEO,SRA1164140,11,2020,Liu,"W303-1A, Ribosome protected mRNA",EV3 Ribo-Seq replicate 1,"W303-1A, Ribosome protected mRNA",W303-1A,WT,mid-log phase,None,GSM4946318
SRR13150123,13604357,1074744203,79,373,SRX9590369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794867,SAMN16926536,simple,580240,Saccharomyces cerevisiae W303,GSM4946319,GEO,SRA1164140,11,2020,Liu,"W303-1A, Ribosome protected mRNA",EV3 Ribo-Seq replicate 2,"W303-1A, Ribosome protected mRNA",W303-1A,WT,mid-log phase,None,GSM4946319
SRR13150124,16092191,1271283089,79,461,SRX9590370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794868,SAMN16926535,simple,580240,Saccharomyces cerevisiae W303,GSM4946320,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, Ribosome protected mRNA",EV3 Ribo-Seq r0 replicate 1,"W303-1A, r0, Ribosome protected mRNA",W303-1A,rho0,mid-log phase,None,GSM4946320
SRR13150125,15544648,1228027192,79,425,SRX9590371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794869,SAMN16926534,simple,580240,Saccharomyces cerevisiae W303,GSM4946321,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0, Ribosome protected mRNA",EV3 Ribo-Seq r0 replicate 2,"W303-1A, r0, Ribosome protected mRNA",W303-1A,rho0,mid-log phase,None,GSM4946321
SRR13150126,13939401,1101212679,79,391,SRX9590372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794872,SAMN16926532,simple,580240,Saccharomyces cerevisiae W303,GSM4946322,GEO,SRA1164140,11,2020,Liu,"W303-1A, puf3D, Ribosome protected mRNA",EV3 Ribo-Seq puf3D replicate 1,"W303-1A, puf3D, Ribosome protected mRNA",W303-1A,puf3,mid-log phase,None,GSM4946322
SRR13150127,14571690,1151163510,79,402,SRX9590373,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794871,SAMN16926572,simple,580240,Saccharomyces cerevisiae W303,GSM4946323,GEO,SRA1164140,11,2020,Liu,"W303-1A, puf3D, Ribosome protected mRNA",EV3 Ribo-Seq puf3D replicate 2,"W303-1A, puf3D, Ribosome protected mRNA",W303-1A,puf3,mid-log phase,None,GSM4946323
SRR13150128,12628945,997686655,79,343,SRX9590374,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794870,SAMN16926571,simple,580240,Saccharomyces cerevisiae W303,GSM4946324,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 puf3D, Ribosome protected mRNA",EV3 Ribo-Seq r0 puf3D replicate 1,"W303-1A, r0 puf3D, Ribosome protected mRNA",W303-1A,puf3 rho0,mid-log phase,None,GSM4946324
SRR13150129,12759409,1007993311,79,343,SRX9590375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794873,SAMN16926570,simple,580240,Saccharomyces cerevisiae W303,GSM4946325,GEO,SRA1164140,11,2020,Liu,"W303-1A, r0 puf3D, Ribosome protected mRNA",EV3 Ribo-Seq r0 puf3D replicate 2,"W303-1A, r0 puf3D, Ribosome protected mRNA",W303-1A,puf3 rho0,mid-log phase,None,GSM4946325
SRR13150130,13828073,1092417767,79,432,SRX9590376,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP294317,PRJNA680923,33655635,"",SRS7794874,SAMN16926569,simple,580240,Saccharomyces cerevisiae W303,GSM4946326,GEO,SRA1164140,11,2020,Liu,"W303-1A, polyA RNA",EV4 mRNA-Seq WT replicate 1,"W303-1A, polyA RNA",W303-1A,WT,mid-log phase,None,GSM4946326
