Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,genetic background,cell line,GEO Accession
SRR11542141,15502621,471029710,30,190,SRX8112239,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477326,SAMN14596023,simple,9606,Homo sapiens,GSM4475936,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",1650_DMSO1,"Rnase I footprinting, ribosome pelleting, RNA extraction",DMSO,WT,NCI-H1650,GSM4475936
SRR11542142,15381811,466106709,30,188,SRX8112240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477325,SAMN14596022,simple,9606,Homo sapiens,GSM4475937,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",1650_DMSO2,"Rnase I footprinting, ribosome pelleting, RNA extraction",DMSO,WT,NCI-H1650,GSM4475937
SRR11542143,7449817,214698164,28,88,SRX8112241,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477327,SAMN14596021,simple,9606,Homo sapiens,GSM4475938,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",520_DMSO1,"Rnase I footprinting, ribosome pelleting, RNA extraction",DMSO,WT,NCI-H520,GSM4475938
SRR11542144,8908364,257902274,28,106,SRX8112242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477328,SAMN14596020,simple,9606,Homo sapiens,GSM4475939,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",520_DMSO2,"Rnase I footprinting, ribosome pelleting, RNA extraction",DMSO,WT,NCI-H521,GSM4475939
SRR11542145,25593307,764781828,29,313,SRX8112243,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477330,SAMN14596019,simple,9606,Homo sapiens,GSM4475940,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",936_DMSO1,"Rnase I footprinting, ribosome pelleting, RNA extraction",DMSO,WT,Hs 936.T,GSM4475940
SRR11542146,22331689,662732043,29,274,SRX8112244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477329,SAMN14596018,simple,9606,Homo sapiens,GSM4475941,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",936_DMSO2,"Rnase I footprinting, ribosome pelleting, RNA extraction",DMSO,WT,Hs 936.T,GSM4475941
SRR11542147,26373971,778562097,29,318,SRX8112245,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477331,SAMN14596017,simple,9606,Homo sapiens,GSM4475942,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",375_DMSO1,"Rnase I footprinting, ribosome pelleting, RNA extraction",DMSO,WT,A375,GSM4475942
SRR11542148,37616718,1104613269,29,456,SRX8112246,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477332,SAMN14596016,simple,9606,Homo sapiens,GSM4475943,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",375_DMSO2,"Rnase I footprinting, ribosome pelleting, RNA extraction",DMSO,WT,A375,GSM4475943
SRR11542149,27168702,830551702,30,332,SRX8112247,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477334,SAMN14596015,simple,9606,Homo sapiens,GSM4475944,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",1650_RocA0.3um,"Rnase I footprinting, ribosome pelleting, RNA extraction",RocA 0.3 microM,WT,NCI-H1650,GSM4475944
SRR11542150,11265069,345262306,30,138,SRX8112248,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477335,SAMN14596014,simple,9606,Homo sapiens,GSM4475945,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",1650_RocA3um,"Rnase I footprinting, ribosome pelleting, RNA extraction",RocA 3 microM,WT,NCI-H1650,GSM4475945
SRR11542151,20766275,618052161,29,242,SRX8112249,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477333,SAMN14596013,simple,9606,Homo sapiens,GSM4475946,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",520_RocA0.3um,"Rnase I footprinting, ribosome pelleting, RNA extraction",RocA 0.3 microM,WT,NCI-H520,GSM4475946
SRR11542152,25690476,750313341,29,307,SRX8112250,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477336,SAMN14596012,simple,9606,Homo sapiens,GSM4475947,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",520_RocA3um,"Rnase I footprinting, ribosome pelleting, RNA extraction",RocA 3 microM,WT,NCI-H521,GSM4475947
SRR11542153,29446384,870409232,29,353,SRX8112251,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477337,SAMN14596011,simple,9606,Homo sapiens,GSM4475948,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",936_RocA0.3uM,"Rnase I footprinting, ribosome pelleting, RNA extraction",RocA 0.3 microM,WT,Hs 936.T,GSM4475948
SRR11542154,31963391,960204750,30,400,SRX8112252,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477339,SAMN14596010,simple,9606,Homo sapiens,GSM4475949,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",936_RocA3uM,"Rnase I footprinting, ribosome pelleting, RNA extraction",RocA 3 microM,WT,Hs 936.T,GSM4475949
SRR11542155,22954542,678851254,29,276,SRX8112253,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP256332,PRJNA625261,33296667,"",SRS6477338,SAMN14596009,simple,9606,Homo sapiens,GSM4475950,GEO,SRA1065150,12,2020,Chen,"Rnase I footprinting, ribosome pelleting, RNA extraction",375_RocA0.3uM,"Rnase I footprinting, ribosome pelleting, RNA extraction",RocA 0.3 microM,WT,A375,GSM4475950
