Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,tissue,genotype,GEO Accession
SRR3710279,31207869,1248314760,40,764,SRX1870189,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520717,SAMN05282089,simple,7227,Drosophila melanogaster,GSM2210966,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_14_wt_No_chx_RNA_1,oocytes,Oregon R,Stage 14 oocyte,oocytes,wt,GSM2210966
SRR3710280,33492139,1339685560,40,822,SRX1870190,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520718,SAMN05282090,simple,7227,Drosophila melanogaster,GSM2210967,GEO,SRA435075,08,2016,Eichhorn,activated eggs,Activated_egg_wt_No_chx_RNA_2,activated eggs,Oregon R,Activated egg,activated eggs,wt,GSM2210967
SRR3710281,38845122,1553804880,40,955,SRX1870191,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520719,SAMN05282091,simple,7227,Drosophila melanogaster,GSM2210968,GEO,SRA435075,08,2016,Eichhorn,activated eggs,Activated_egg_png_Chx_RNA_6,activated eggs,Oregon R,Activated egg,activated eggs,png,GSM2210968
SRR3710282,101812510,4072500400,40,2528,SRX1870192,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520720,SAMN05282092,simple,7227,Drosophila melanogaster,GSM2210969,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_14_wt_No_chx_RPF_7,oocytes,Oregon R,Stage 14 oocyte,oocytes,wt,GSM2210969
SRR3710283,53138803,2125552120,40,1333,SRX1870193,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520721,SAMN05282093,simple,7227,Drosophila melanogaster,GSM2210970,GEO,SRA435075,08,2016,Eichhorn,activated eggs,Activated_egg_wt_No_chx_RPF_8,activated eggs,Oregon R,Activated egg,activated eggs,wt,GSM2210970
SRR3710284,61115326,2444613040,40,1452,SRX1870194,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520722,SAMN05282094,simple,7227,Drosophila melanogaster,GSM2210971,GEO,SRA435075,08,2016,Eichhorn,activated eggs,Activated_egg_png_Chx_RPF_12,activated eggs,Oregon R,Activated egg,activated eggs,png,GSM2210971
SRR3710285,19678003,787120120,40,440,SRX1870195,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520723,SAMN05282095,simple,7227,Drosophila melanogaster,GSM2210972,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_12_wt_Chx_RNA_13,oocytes,Oregon R,Stage 12 oocyte,oocytes,wt,GSM2210972
SRR3710286,19055318,762212720,40,427,SRX1870196,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520724,SAMN05282096,simple,7227,Drosophila melanogaster,GSM2210973,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_13_wt_Chx_RNA_14,oocytes,Oregon R,Stage 13 oocyte,oocytes,wt,GSM2210973
SRR3710287,28118849,1124753960,40,627,SRX1870197,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520725,SAMN05282097,simple,7227,Drosophila melanogaster,GSM2210974,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_14_png_Chx_RNA_15,oocytes,Oregon R,Stage 14 oocyte,oocytes,png,GSM2210974
SRR3710288,37013937,1480557480,40,921,SRX1870198,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076919,PRJNA326506,27474798,"",SRS1520726,SAMN05282098,simple,7227,Drosophila melanogaster,GSM2210975,GEO,SRA435075,08,2016,Eichhorn,oocytes,Stage_12_wt_Chx_RPF_16,oocytes,Oregon R,Stage 12 oocyte,oocytes,wt,GSM2210975
