Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,time,feeding,rna treatment,GEO Accession
SRR8557303,5250206,682526780,130,341,SRX5359020,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349662,SAMN10910478,simple,10090,Mus musculus,GSM3597527,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_AL_1_NaCl,Liver,C57BL/6,Liver,ZT04,Ad Libitum,NaCl,GSM3597527
SRR8557304,5109734,664265420,130,330,SRX5359020,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349662,SAMN10910478,simple,10090,Mus musculus,GSM3597527,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_AL_1_NaCl,Liver,C57BL/6,Liver,ZT12,Ad Libitum,NaCl,GSM3597528
SRR8557305,6128227,796669510,130,398,SRX5359021,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349663,SAMN10910476,simple,10090,Mus musculus,GSM3597528,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_AL_1_NaCl,Liver,C57BL/6,Liver,ZT18,Ad Libitum,NaCl,GSM3597529
SRR8557306,5950607,773578910,130,384,SRX5359021,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349663,SAMN10910476,simple,10090,Mus musculus,GSM3597528,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_AL_1_NaCl,Liver,C57BL/6,Liver,ZT04,Fasted,NaCl,GSM3597530
SRR8557307,5786416,752234080,130,377,SRX5359022,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349664,SAMN10910475,simple,10090,Mus musculus,GSM3597529,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_AL_1_NaCl,Liver,C57BL/6,Liver,ZT12,Fasted,NaCl,GSM3597531
SRR8557308,5657262,735444060,130,366,SRX5359022,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349664,SAMN10910475,simple,10090,Mus musculus,GSM3597529,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_AL_1_NaCl,Liver,C57BL/6,Liver,ZT18,Fasted,NaCl,GSM3597532
SRR8557309,5649278,734406140,130,365,SRX5359023,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349665,SAMN10910474,simple,10090,Mus musculus,GSM3597530,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_ST_1_NaCl,Liver,C57BL/6,Liver,ZT04,Ad Libitum,NaIO4,GSM3597533
SRR8557310,5487161,713330930,130,353,SRX5359023,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349665,SAMN10910474,simple,10090,Mus musculus,GSM3597530,GEO,SRA848172,03,2020,Gobet,Liver,ZT04_ST_1_NaCl,Liver,C57BL/6,Liver,ZT12,Ad Libitum,NaIO4,GSM3597534
SRR8557311,5904696,767610480,130,379,SRX5359024,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349666,SAMN10910473,simple,10090,Mus musculus,GSM3597531,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_ST_1_NaCl,Liver,C57BL/6,Liver,ZT18,Ad Libitum,NaIO4,GSM3597535
SRR8557312,5736802,745784260,130,366,SRX5359024,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349666,SAMN10910473,simple,10090,Mus musculus,GSM3597531,GEO,SRA848172,03,2020,Gobet,Liver,ZT12_ST_1_NaCl,Liver,C57BL/6,Liver,ZT04,Fasted,NaIO4,GSM3597536
SRR8557313,6562380,853109400,130,426,SRX5359025,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP185476,PRJNA521743,32295881,"",SRS4349667,SAMN10910472,simple,10090,Mus musculus,GSM3597532,GEO,SRA848172,03,2020,Gobet,Liver,ZT18_ST_1_NaCl,Liver,C57BL/6,Liver,ZT12,Fasted,NaIO4,GSM3597537
