Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,strain,GEO Accession
SRR7299555,171715742,16828142716,98,6972,SRX4201989,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412218,SAMN09404866,simple,10116,Rattus norvegicus,GSM3188343,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Day_1 [OriginalRef],Pineal Gland,Day,Sprague-Dawley,GSM3188343
SRR7299556,171715742,16828142716,98,6972,SRX4201990,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412219,SAMN09404865,simple,10116,Rattus norvegicus,GSM3188344,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Day_1 [ExtendedRef],Pineal Gland,Day,Sprague-Dawley,GSM3188344
SRR7299557,180298815,17669283870,98,7296,SRX4201991,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412220,SAMN09404864,simple,10116,Rattus norvegicus,GSM3188345,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Day_2 [OriginalRef],Pineal Gland,Day,Sprague-Dawley,GSM3188345
SRR7299558,180298815,17669283870,98,7296,SRX4201992,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412221,SAMN09404863,simple,10116,Rattus norvegicus,GSM3188346,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Day_2 [ExtendedRef],Pineal Gland,Day,Sprague-Dawley,GSM3188346
SRR7299559,181754183,17811909934,98,7342,SRX4201993,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412222,SAMN09404862,simple,10116,Rattus norvegicus,GSM3188347,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Night_1 [OriginalRef],Pineal Gland,Night,Sprague-Dawley,GSM3188347
SRR7299560,181754183,17811909934,98,7342,SRX4201994,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412223,SAMN09404861,simple,10116,Rattus norvegicus,GSM3188348,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Night_1 [ExtendedRef],Pineal Gland,Night,Sprague-Dawley,GSM3188348
SRR7299561,162744551,15948965998,98,6495,SRX4201995,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412224,SAMN09404860,simple,10116,Rattus norvegicus,GSM3188349,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Night_2 [OriginalRef],Pineal Gland,Night,Sprague-Dawley,GSM3188349
SRR7299562,162744551,15948965998,98,6495,SRX4201996,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412225,SAMN09404859,simple,10116,Rattus norvegicus,GSM3188350,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Night_2 [ExtendedRef],Pineal Gland,Night,Sprague-Dawley,GSM3188350
SRR7299563,112176350,10993282300,98,4375,SRX4201997,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412226,SAMN09404858,simple,10116,Rattus norvegicus,GSM3188351,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Vehicle_Control,Pineal Gland,Vehicle Control,Sprague-Dawley,GSM3188351
SRR7299564,125821733,12330529834,98,4896,SRX4201998,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150402,PRJNA475870,30347410,"",SRS3412227,SAMN09404857,simple,10116,Rattus norvegicus,GSM3188352,GEO,SRA721033,10,2018,Mays,Pineal Gland,Pineal_Gland_Isoproterenol,Pineal Gland,Isoproterenol,Sprague-Dawley,GSM3188352
