Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell type,drug pre-treatment,infection duration,GEO Accession
SRR592954,23192119,927684760,40,561,SRX195689,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP016143,PRJNA177721,23180859,"",SRS369468,SAMN01766540,simple,10359,Human betaherpesvirus 5,GSM1020235,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, cycloheximide, 24hr","Footprints from cells infected with HCMV for 24hr, pretreated with cycloheximide","Human fibroblasts infected with HCMV, cycloheximide, 24hr",Merlin,HCMV-infected human foreskin fibroblasts,cycloheximide,24hr,GSM1020235
SRR592955,26395689,1055827560,40,637,SRX195690,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP016143,PRJNA177721,23180859,"",SRS369469,SAMN01766541,simple,10359,Human betaherpesvirus 5,GSM1020236,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, cycloheximide, 72hr","Footprints from cells infected with HCMV for 72hr, pretreated with cycloheximide","Human fibroblasts infected with HCMV, cycloheximide, 72hr",Merlin,HCMV-infected human foreskin fibroblasts,cycloheximide,72hr,GSM1020236
SRR592956,31785837,1589291850,50,1073,SRX195691,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016143,PRJNA177721,23180859,"",SRS369470,SAMN01766542,simple,10359,Human betaherpesvirus 5,GSM1020237,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, cycloheximide, 72hr","Footprints from cells infected with HCMV for 72hr, pretreated with cycloheximide, replicate","Human fibroblasts infected with HCMV, cycloheximide, 72hr",Merlin,HCMV-infected human foreskin fibroblasts,cycloheximide,72hr,GSM1020237
SRR592957,25038467,1001538680,40,652,SRX195692,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP016143,PRJNA177721,23180859,"",SRS369471,SAMN01766543,simple,10359,Human betaherpesvirus 5,GSM1020238,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, Harringtonine, 5hr","Footprints from cells infected with HCMV for 5hr, pretreated with Harringtonine","Human fibroblasts infected with HCMV, Harringtonine, 5hr",Merlin,HCMV-infected human foreskin fibroblasts,Harringtonine,5hr,GSM1020238
SRR592958,26145020,1045800800,40,674,SRX195693,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP016143,PRJNA177721,23180859,"",SRS369472,SAMN01766544,simple,10359,Human betaherpesvirus 5,GSM1020239,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, Harringtonine, 72hr","Footprints from cells infected with HCMV for 72hr, pretreated with Harringtonine","Human fibroblasts infected with HCMV, Harringtonine, 72hr",Merlin,HCMV-infected human foreskin fibroblasts,Harringtonine,72hr,GSM1020239
SRR592959,55983543,2799177150,50,1772,SRX195694,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016143,PRJNA177721,23180859,"",SRS369473,SAMN01766545,simple,10359,Human betaherpesvirus 5,GSM1020240,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, LTM, 5hr","Footprints from cells infected with HCMV for 5hr, pretreated with LTM","Human fibroblasts infected with HCMV, LTM, 5hr",Merlin,HCMV-infected human foreskin fibroblasts,lactimidomycin (LTM),5hr,GSM1020240
SRR592960,46160824,2308041200,50,1530,SRX195695,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP016143,PRJNA177721,23180859,"",SRS369474,SAMN01766546,simple,10359,Human betaherpesvirus 5,GSM1020241,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, LTM, 72hr","Footprints from cells infected with HCMV for 72hr, pretreated with LTM","Human fibroblasts infected with HCMV, LTM, 72hr",Merlin,HCMV-infected human foreskin fibroblasts,lactimidomycin (LTM),72hr,GSM1020241
SRR592961,21624068,864962720,40,586,SRX195696,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP016143,PRJNA177721,23180859,"",SRS369475,SAMN01766547,simple,10359,Human betaherpesvirus 5,GSM1020242,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, none, 5hr","Footprints from cells infected with HCMV for 5hr, no drug pretreatment","Human fibroblasts infected with HCMV, none, 5hr",Merlin,HCMV-infected human foreskin fibroblasts,none,5hr,GSM1020242
SRR592962,20673613,826944520,40,546,SRX195697,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP016143,PRJNA177721,23180859,"",SRS369476,SAMN01766548,simple,10359,Human betaherpesvirus 5,GSM1020243,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, none, 72hr","Footprints from cells infected with HCMV for 72hr, no drug pretreatment","Human fibroblasts infected with HCMV, none, 72hr",Merlin,HCMV-infected human foreskin fibroblasts,none,72hr,GSM1020243
SRR592963,25171983,2013758640,80,1308,SRX195698,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP016143,PRJNA177721,23180859,"",SRS369477,SAMN01766549,simple,10359,Human betaherpesvirus 5,GSM1020244,GEO,SRA059587,07,2015,Stern-Ginossar,"Human fibroblasts infected with HCMV, 5hr",mRNA-seq from cells infected with HCMV for 5hr,"Human fibroblasts infected with HCMV, 5hr",Merlin,HCMV-infected human foreskin fibroblasts,,5hr,GSM1020244
