Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,developmental stage,Sex,treatment
SRR20096806,25549933,5109986600,100,3392,SRX16132126,GSM6330063,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794148,SAMN29658537,simple,10090,Mus musculus,GSM6330063,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-1st batch [33],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
SRR20096805,25517371,5103474200,100,3417,SRX16132127,GSM6330064,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794149,SAMN29658536,simple,10090,Mus musculus,GSM6330064,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-1st batch [34],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
SRR20096804,25491781,5098356200,100,3391,SRX16132128,GSM6330065,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794150,SAMN29658535,simple,10090,Mus musculus,GSM6330065,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-1st batch [35],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
SRR20096803,24501361,4900272200,100,3228,SRX16132129,GSM6330066,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794151,SAMN29658534,simple,10090,Mus musculus,GSM6330066,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-1st batch [36],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
SRR20096802,25488812,5097762400,100,3394,SRX16132130,GSM6330067,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794152,SAMN29658533,simple,10090,Mus musculus,GSM6330067,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-1st batch [37],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096801,25544894,5108978800,100,3380,SRX16132131,GSM6330068,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794153,SAMN29658532,simple,10090,Mus musculus,GSM6330068,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-1st batch [38],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096800,25456598,5091319600,100,3365,SRX16132132,GSM6330069,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794155,SAMN29658531,simple,10090,Mus musculus,GSM6330069,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Chronic alcohol drinking-1st batch [39],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Every-other-day access to 20% alcohol for a month
SRR20096799,24285943,4857188600,100,3225,SRX16132133,GSM6330070,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794154,SAMN29658530,simple,10090,Mus musculus,GSM6330070,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-1st batch [40],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096798,23421355,4684271000,100,3129,SRX16132134,GSM6330071,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794156,SAMN29658529,simple,10090,Mus musculus,GSM6330071,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-1st batch [41],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096797,25340758,5068151600,100,3388,SRX16132135,GSM6330072,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794157,SAMN29658528,simple,10090,Mus musculus,GSM6330072,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-1st batch [42],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096796,24777199,4955439800,100,3310,SRX16132136,GSM6330073,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794158,SAMN29658527,simple,10090,Mus musculus,GSM6330073,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Water drinking-1st batch [43],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,No access to alcohol
SRR20096795,22361350,4472270000,100,2939,SRX16132137,GSM6330074,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794159,SAMN29658526,simple,10090,Mus musculus,GSM6330074,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-2nd batch [Acute1],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
SRR20096794,22389706,4477941200,100,2928,SRX16132138,GSM6330075,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794160,SAMN29658525,simple,10090,Mus musculus,GSM6330075,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-2nd batch [Acute2],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
SRR20096793,22393958,4478791600,100,2957,SRX16132139,GSM6330076,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794161,SAMN29658524,simple,10090,Mus musculus,GSM6330076,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-2nd batch [Acute3],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
SRR20096792,22303062,4460612400,100,2966,SRX16132140,GSM6330077,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP386046,PRJNA858018,36371333,"",SRS13794162,SAMN29658523,simple,10090,Mus musculus,GSM6330077,McLean Hospital,SRA1453730,11,2022,Narendra,"Brain, Amygdala",Acute alcohol drinking-2nd batch [Acute4],"Brain, Amygdala",C57BL6/J,"Brain, Amygdala",Adult,female,Single access to 20% alcohol
