Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,GEO Accession
SRR14891943,210729343,16015430068,76,6294,SRX10031267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198943,SAMN17799944,simple,9606,Homo sapiens,GSM5066043,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,Control_FP3,human neuroblastoma,SH-SY5Y,Control (DMSO),GSM5066043
SRR14891944,172613271,13118608596,76,5023,SRX10031268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198944,SAMN17799943,simple,9606,Homo sapiens,GSM5066044,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,Control_FP4,human neuroblastoma,SH-SY5Y,Control (DMSO),GSM5066044
SRR14891945,123263935,9368059060,76,3505,SRX10031269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198945,SAMN17799942,simple,9606,Homo sapiens,GSM5066045,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,Control_FP5,human neuroblastoma,SH-SY5Y,Control (DMSO),GSM5066045
SRR14891946,75815765,5761998140,76,2284,SRX10031270,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198946,SAMN17799941,simple,9606,Homo sapiens,GSM5066046,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,Control_Polysome3,human neuroblastoma,SH-SY5Y,Control (DMSO),GSM5066046
SRR14891947,19016711,1445270036,76,520,SRX10031271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198947,SAMN17799940,simple,9606,Homo sapiens,GSM5066047,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,Control_Polysome4,human neuroblastoma,SH-SY5Y,Control (DMSO),GSM5066047
SRR14891948,74521025,5663597900,76,2137,SRX10031272,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198948,SAMN17799939,simple,9606,Homo sapiens,GSM5066048,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,Control_Polysome5,human neuroblastoma,SH-SY5Y,Control (DMSO),GSM5066048
SRR14891949,180333341,13705333916,76,5470,SRX10031273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198949,SAMN17799938,simple,9606,Homo sapiens,GSM5066049,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,RA_FP3,human neuroblastoma,SH-SY5Y,Retinoic acid (final conc. 30μM),GSM5066049
SRR14891950,206766558,15714258408,76,6111,SRX10031274,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198950,SAMN17799934,simple,9606,Homo sapiens,GSM5066050,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,RA_FP4,human neuroblastoma,SH-SY5Y,Retinoic acid (final conc. 30μM),GSM5066050
SRR14891951,189414183,14395477908,76,5497,SRX10031275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198951,SAMN17799937,simple,9606,Homo sapiens,GSM5066051,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,RA_FP5,human neuroblastoma,SH-SY5Y,Retinoic acid (final conc. 30μM),GSM5066051
SRR14891952,64468224,4899585024,76,1958,SRX10031276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP304780,PRJNA699598,34193551,"",SRS8198952,SAMN17799936,simple,9606,Homo sapiens,GSM5066052,GEO,SRA1192152,08,2021,Douka,human neuroblastoma,RA_Polysome3,human neuroblastoma,SH-SY5Y,Retinoic acid (final conc. 30μM),GSM5066052
