Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,strain,rna type,GEO Accession
SRR4000288,19720631,986031550,50,673,SRX2000624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601256,SAMN05512980,simple,4932,Saccharomyces cerevisiae,GSM2260106,GEO,SRA448464,02,2017,Beaupere,Whole cells,"wild-type ribo-seq, replicate 1",Whole cells,wild-type,BY4741,ribosome protected fragment,GSM2260106
SRR4000289,13802519,690125950,50,446,SRX2000625,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601257,SAMN05512979,simple,4932,Saccharomyces cerevisiae,GSM2260107,GEO,SRA448464,02,2017,Beaupere,Whole cells,"wild-type ribo-seq, replicate 2",Whole cells,wild-type,BY4741,ribosome protected fragment,GSM2260107
SRR4000290,8738289,436914450,50,285,SRX2000626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601258,SAMN05512991,simple,4932,Saccharomyces cerevisiae,GSM2260108,GEO,SRA448464,02,2017,Beaupere,Whole cells,"wild-type ribo-seq, replicate 3",Whole cells,wild-type,BY4741,ribosome protected fragment,GSM2260108
SRR4000291,18630257,931512850,50,636,SRX2000627,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601259,SAMN05512992,simple,4932,Saccharomyces cerevisiae,GSM2260109,GEO,SRA448464,02,2017,Beaupere,Whole cells,"can1Δ ribo-seq, replicate 1",Whole cells,can1<delta>,BY4741,ribosome protected fragment,GSM2260109
SRR4000292,19082985,954149250,50,622,SRX2000628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601260,SAMN05512994,simple,4932,Saccharomyces cerevisiae,GSM2260110,GEO,SRA448464,02,2017,Beaupere,Whole cells,"can1Δ ribo-seq, replicate 2",Whole cells,can1<delta>,BY4741,ribosome protected fragment,GSM2260110
SRR4000293,11377689,568884450,50,370,SRX2000629,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601266,SAMN05512993,simple,4932,Saccharomyces cerevisiae,GSM2260111,GEO,SRA448464,02,2017,Beaupere,Whole cells,"can1Δ ribo-seq, replicate 3",Whole cells,can1<delta>,BY4741,ribosome protected fragment,GSM2260111
SRR4000294,11959888,597994400,50,410,SRX2000630,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601261,SAMN05512986,simple,4932,Saccharomyces cerevisiae,GSM2260112,GEO,SRA448464,02,2017,Beaupere,Whole cells,"wild-type RNA-seq, replicate 1",Whole cells,wild-type,BY4741,intact mRNA,GSM2260112
SRR4000295,30421712,1521085600,50,991,SRX2000631,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601262,SAMN05512990,simple,4932,Saccharomyces cerevisiae,GSM2260113,GEO,SRA448464,02,2017,Beaupere,Whole cells,"wild-type RNA-seq, replicate 2",Whole cells,wild-type,BY4741,intact mRNA,GSM2260113
SRR4000296,13712303,685615150,50,448,SRX2000632,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601263,SAMN05512989,simple,4932,Saccharomyces cerevisiae,GSM2260114,GEO,SRA448464,02,2017,Beaupere,Whole cells,"can1Δ RNA-seq, replicate 1",Whole cells,can1<delta>,BY4741,intact mRNA,GSM2260114
SRR4000297,14979389,748969450,50,488,SRX2000633,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601264,SAMN05512988,simple,4932,Saccharomyces cerevisiae,GSM2260115,GEO,SRA448464,02,2017,Beaupere,Whole cells,"can1Δ RNA-seq, replicate 2",Whole cells,can1<delta>,BY4741,intact mRNA,GSM2260115
SRR4000298,23235797,1161789850,50,761,SRX2000634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601265,SAMN05512987,simple,4932,Saccharomyces cerevisiae,GSM2260116,GEO,SRA448464,02,2017,Beaupere,Whole cells,"rpl22aΔ ribo-seq, replicate 1",Whole cells,rpl22a<delta>,BY4741,ribosome protected fragment,GSM2260116
SRR4000299,19330171,966508550,50,634,SRX2000635,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601267,SAMN05512985,simple,4932,Saccharomyces cerevisiae,GSM2260117,GEO,SRA448464,02,2017,Beaupere,Whole cells,"rpl22aΔ ribo-seq, replicate 2",Whole cells,rpl22a<delta>,BY4741,ribosome protected fragment,GSM2260117
SRR4000300,10079207,503960350,50,346,SRX2000636,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP080941,PRJNA336542,28228255,"",SRS1601268,SAMN05512984,simple,4932,Saccharomyces cerevisiae,GSM2260118,GEO,SRA448464,02,2017,Beaupere,Whole cells,"tor1Δ ribo-seq, replicate 1",Whole cells,tor1<delta>,BY4741,ribosome protected fragment,GSM2260118
