Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cultivar,treatment,tissue,GEO Accession
SRR16039918,98442499,8466054914,86,3682,SRX12326640,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299073,SAMN21593485,simple,4558,Sorghum bicolor,GSM5596408,GEO,SRA1299749,11,2022,Sotta,Ribo_Ctrl_whole shoot,Ribo_Ctrl_rep1 [S500_rep1],Ribo_Ctrl_whole shoot,BTx623,control,whole shoot,GSM5596408
SRR16039919,139626926,12007915636,86,5042,SRX12326641,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299074,SAMN21593486,simple,4558,Sorghum bicolor,GSM5596409,GEO,SRA1299749,11,2022,Sotta,Ribo_Ctrl_whole shoot,Ribo_Ctrl_rep2 [S500_rep2],Ribo_Ctrl_whole shoot,BTx623,control,whole shoot,GSM5596409
SRR16039920,100753194,8664774684,86,3764,SRX12326642,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299072,SAMN21593487,simple,4558,Sorghum bicolor,GSM5596410,GEO,SRA1299749,11,2022,Sotta,Ribo_Ctrl_whole shoot,Ribo_Ctrl_rep3 [S500_rep3],Ribo_Ctrl_whole shoot,BTx623,control,whole shoot,GSM5596410
SRR16039921,132925821,11431620606,86,4881,SRX12326643,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299075,SAMN21593488,simple,4558,Sorghum bicolor,GSM5596411,GEO,SRA1299749,11,2022,Sotta,Ribo_Sminus_whole shoot,Ribo_Sminus_rep1 [S10_rep1],Ribo_Sminus_whole shoot,BTx623,sulfur deficiency,whole shoot,GSM5596411
SRR16039922,158719850,13649907100,86,5754,SRX12326644,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299076,SAMN21593489,simple,4558,Sorghum bicolor,GSM5596412,GEO,SRA1299749,11,2022,Sotta,Ribo_Sminus_whole shoot,Ribo_Sminus_rep2 [S10_rep2],Ribo_Sminus_whole shoot,BTx623,sulfur deficiency,whole shoot,GSM5596412
SRR16039923,95319182,8197449652,86,3573,SRX12326645,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299078,SAMN21593490,simple,4558,Sorghum bicolor,GSM5596413,GEO,SRA1299749,11,2022,Sotta,Ribo_Sminus_whole shoot,Ribo_Sminus_rep3 [S10_rep3],Ribo_Sminus_whole shoot,BTx623,sulfur deficiency,whole shoot,GSM5596413
SRR16039924,21456707,1845276802,86,806,SRX12326646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299077,SAMN21593491,simple,4558,Sorghum bicolor,GSM5596414,GEO,SRA1299749,11,2022,Sotta,RNA_Ctrl_whole shoot,RNA_Ctrl_rep1 [S500_rep1],RNA_Ctrl_whole shoot,BTx623,control,whole shoot,GSM5596414
SRR16039925,21906994,1884001484,86,793,SRX12326647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299079,SAMN21593492,simple,4558,Sorghum bicolor,GSM5596415,GEO,SRA1299749,11,2022,Sotta,RNA_Ctrl_whole shoot,RNA_Ctrl_rep2 [S500_rep2],RNA_Ctrl_whole shoot,BTx623,control,whole shoot,GSM5596415
SRR16039926,24386716,2097257576,86,913,SRX12326648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299081,SAMN21593493,simple,4558,Sorghum bicolor,GSM5596416,GEO,SRA1299749,11,2022,Sotta,RNA_Ctrl_whole shoot,RNA_Ctrl_rep3 [S500_rep3],RNA_Ctrl_whole shoot,BTx623,control,whole shoot,GSM5596416
SRR16039927,23812867,2047906562,86,897,SRX12326649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP338570,PRJNA765951,35166349,"",SRS10299080,SAMN21593494,simple,4558,Sorghum bicolor,GSM5596417,GEO,SRA1299749,11,2022,Sotta,RNA_Sminus_whole shoot,RNA_Sminus_rep1 [S10_rep1],RNA_Sminus_whole shoot,BTx623,sulfur deficiency,whole shoot,GSM5596417
