Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,plasmid,growth temperature,induction,treatment temperature,heat shock time,replicate,strain,substrain,GEO Accession
SRR5036057,6746224,674622400,100,356,SRX2360340,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808827,SAMN06040729,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396709,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBAD_30C_m_1,E. coli cultures,pBAD,30C,0.2% arabinose,30C,None,1,K-12,MG1655,GSM2396709
SRR5036058,10339263,1033926300,100,562,SRX2360341,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808828,SAMN06040728,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396710,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBAD_30C_f_1,E. coli cultures,pBAD,30C,0.2% arabinose,30C,None,1,K-12,MG1655,GSM2396710
SRR5036059,7923658,792365800,100,420,SRX2360342,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808829,SAMN06040727,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396711,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32wt_30C_m_1,E. coli cultures,pBADsigma32wt,30C,0.2% arabinose,30C,None,1,K-12,MG1655,GSM2396711
SRR5036060,8007249,800724900,100,437,SRX2360343,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808830,SAMN06040726,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396712,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32wt_30C_f_1,E. coli cultures,pBADsigma32wt,30C,0.2% arabinose,30C,None,1,K-12,MG1655,GSM2396712
SRR5036061,13051145,1305114500,100,691,SRX2360344,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808831,SAMN06040725,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396713,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBAD_30C_m_2,E. coli cultures,pBAD,30C,0.2% arabinose,30C,None,2,K-12,MG1655,GSM2396713
SRR5036062,22821688,2282168800,100,1233,SRX2360345,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808832,SAMN06040724,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396714,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBad_30C_f_2,E. coli cultures,pBAD,30C,0.2% arabinose,30C,None,2,K-12,MG1655,GSM2396714
SRR5036063,20289591,2028959100,100,1084,SRX2360346,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808833,SAMN06040723,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396715,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32wt_30C_m_2,E. coli cultures,pBADsigma32wt,30C,0.2% arabinose,30C,None,2,K-12,MG1655,GSM2396715
SRR5036064,15966962,1596696200,100,864,SRX2360347,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808834,SAMN06040722,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396716,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32wt_30C_f_2,E. coli cultures,pBADsigma32wt,30C,0.2% arabinose,30C,None,2,K-12,MG1655,GSM2396716
SRR5036065,14727452,1472745200,100,798,SRX2360348,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808835,SAMN06040721,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396717,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBAD_30C_m_3,E. coli cultures,pBAD,30C,0.2% arabinose,30C,None,3,K-12,MG1655,GSM2396717
SRR5036066,16699789,1669978900,100,902,SRX2360349,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808836,SAMN06040720,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396718,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBAD_30C_f_3,E. coli cultures,pBAD,30C,0.2% arabinose,30C,None,3,K-12,MG1655,GSM2396718
SRR5036067,16647983,1664798300,100,892,SRX2360350,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP093644,PRJNA354388,29183994,"",SRS1808837,SAMN06040719,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM2396719,GEO,SRA496372,11,2016,Morgan,E. coli cultures,ecoli_k12_pBADsigma32wt_30C_m_3,E. coli cultures,pBADsigma32wt,30C,0.2% arabinose,30C,None,3,K-12,MG1655,GSM2396719
