Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,GEO Accession
SRR14794271,63147842,1978407892,31,2212,SRX11127350,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190818,SAMN19679332,simple,10090,Mus musculus,GSM5375175,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375175 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375175
SRR14794272,50866464,1609140076,31,1664,SRX11127351,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190819,SAMN19679331,simple,10090,Mus musculus,GSM5375176,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375176 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375176
SRR14794273,54587106,1701485884,31,1888,SRX11127352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190820,SAMN19679330,simple,10090,Mus musculus,GSM5375177,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375177 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375177
SRR14794274,55851877,2094659279,37,2116,SRX11127353,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190821,SAMN19679329,simple,10090,Mus musculus,GSM5375178,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375178 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375178
SRR14794275,56868304,2184360825,38,2170,SRX11127354,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190822,SAMN19679335,simple,10090,Mus musculus,GSM5375179,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375179 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375179
SRR14794276,47054702,1831995867,38,1726,SRX11127355,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190823,SAMN19679334,simple,10090,Mus musculus,GSM5375180,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375180 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375180
SRR14794277,43446902,1351848101,31,1418,SRX11127356,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190824,SAMN19679333,simple,10090,Mus musculus,GSM5375181,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375181 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375181
SRR14794278,61571469,1911992951,31,2132,SRX11127357,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190825,SAMN19679328,simple,10090,Mus musculus,GSM5375182,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375182 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375182
SRR14794279,58948878,1862159200,31,1995,SRX11127358,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190826,SAMN19679327,simple,10090,Mus musculus,GSM5375183,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375183 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375183
SRR14794280,60636416,2281314887,37,2294,SRX11127359,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190827,SAMN19679326,simple,10090,Mus musculus,GSM5375184,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375184 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375184
SRR14794281,46678822,1798338399,38,1749,SRX11127360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190828,SAMN19679325,simple,10090,Mus musculus,GSM5375185,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375185 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375185
SRR14794282,43296587,1504524654,34,1533,SRX11127361,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP323825,PRJNA737119,36123354,"",SRS9190829,SAMN19679324,simple,10090,Mus musculus,GSM5375186,GEO,SRA1244227,11,2022,Genuth,"","GEO accession GSM5375186 is currently private and is scheduled to be released on Dec 31, 2022.",GSM5375186
