Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,sgrna received,tissue
SRR9165309,90825848,6902764448,76,2657,SRX5938084,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851045,SAMN11897686,simple,9606,Homo sapiens,GSM3834396,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._EIF5A_g1,HCT116 colon cancer cell line,EIF5A-/-,EIF5A sgRNA #1,HCT116 colon cancer cell line
SRR9165310,302466802,22987476952,76,8715,SRX5938084,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851045,SAMN11897686,simple,9606,Homo sapiens,GSM3834396,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._EIF5A_g1,HCT116 colon cancer cell line,EIF5A-/-,EIF5A sgRNA #2,HCT116 colon cancer cell line
SRR9165311,57976757,4406233532,76,1719,SRX5938085,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851046,SAMN11897685,simple,9606,Homo sapiens,GSM3834397,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._EIF5A_g2,HCT116 colon cancer cell line,DOHH-/-,DOHH sgRNA #1,HCT116 colon cancer cell line
SRR9165312,24791014,1884117064,76,726,SRX5938085,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851046,SAMN11897685,simple,9606,Homo sapiens,GSM3834397,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._EIF5A_g2,HCT116 colon cancer cell line,DOHH-/-,DOHH sgRNA #2,HCT116 colon cancer cell line
SRR9165313,69777308,5303075408,76,2063,SRX5938086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851047,SAMN11897684,simple,9606,Homo sapiens,GSM3834398,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._DOHH_g1,HCT116 colon cancer cell line,+/+,NT sgRNA #1,HCT116 colon cancer cell line
SRR9165314,13481792,1024616192,76,391,SRX5938086,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851047,SAMN11897684,simple,9606,Homo sapiens,GSM3834398,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._DOHH_g1,HCT116 colon cancer cell line,+/+,NT sgRNA #2,HCT116 colon cancer cell line
SRR9165315,71034685,5398636060,76,2104,SRX5938087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851048,SAMN11897682,simple,9606,Homo sapiens,GSM3834399,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._DOHH_g2,HCT116 colon cancer cell line,EIF5A-/-,EIF5A sgRNA #1,HCT116 colon cancer cell line
SRR9165316,228893,17395868,76,6,SRX5938087,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851048,SAMN11897682,simple,9606,Homo sapiens,GSM3834399,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._DOHH_g2,HCT116 colon cancer cell line,EIF5A-/-,EIF5A sgRNA #2,HCT116 colon cancer cell line
SRR9165317,65750280,4997021280,76,1949,SRX5938088,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851049,SAMN11897681,simple,9606,Homo sapiens,GSM3834400,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._NT_g1,HCT116 colon cancer cell line,DOHH-/-,DOHH sgRNA #1,HCT116 colon cancer cell line
SRR9165318,70246011,5338696836,76,2046,SRX5938088,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP199985,PRJNA545625,31801078,"",SRS4851049,SAMN11897681,simple,9606,Homo sapiens,GSM3834400,GEO,SRA892566,12,2019,Manjunath,HCT116 colon cancer cell line,Ribo.prof._NT_g1,HCT116 colon cancer cell line,DOHH-/-,DOHH sgRNA #2,HCT116 colon cancer cell line
