Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,dev_stage,geo_loc_name,tissue,biomaterial_provider,growth_protocol,treatment,stress_protocol,Replicate,BioSampleModel
SRR5724626,18105278,923369178,51,646,SRX2940519,BJP_317_3.1_EL60_sRNAseq,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301660,SAMN07260153,simple,3701,Arabidopsis,BJP_317_3.1_EL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint III - excess-light 60 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint III - excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",1,Plant
SRR5724625,19569506,998044806,51,690,SRX2940520,BJP_317_2.3_EL30_sRNAseq,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301661,SAMN07260152,simple,3701,Arabidopsis,BJP_317_2.3_EL30,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint II - excess-light 30 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint II - excess-light 30 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",3,Plant
SRR5724624,21125412,1077396012,51,745,SRX2940521,BJP_317_1.1_C_sRNAseq,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301662,SAMN07260147,simple,3701,Arabidopsis,BJP_317_1.1_C,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint I - control light,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint I - control light,Control,1,Plant
SRR5724623,11309718,2284563036,101,1392,SRX2940522,BJP_317_11.3_EL60r24hrEL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301663,SAMN07260179,simple,3701,Arabidopsis,BJP_317_11.3_EL60r24hrEL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint XI - recovery 24 hr + excess-light 60 min,Col-0,24 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint XI - recovery 24 hr + excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",3,Plant
SRR5724622,12243372,2473161144,101,1514,SRX2940523,BJP_317_11.2_EL60r24hrEL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301664,SAMN07260178,simple,3701,Arabidopsis,BJP_317_11.2_EL60r24hrEL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint XI - recovery 24 hr + excess-light 60 min,Col-0,24 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint XI - recovery 24 hr + excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",2,Plant
SRR5724621,16446799,3322253398,101,2106,SRX2940524,BJP_317_11.1_EL60r24hrEL60_mRNAseq,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301665,SAMN07260177,simple,3701,Arabidopsis,BJP_317_11.1_EL60r24hrEL60,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint XI - recovery 24 hr + excess-light 60 min,Col-0,24 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint XI - recovery 24 hr + excess-light 60 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",1,Plant
SRR5724620,15499939,790496889,51,548,SRX2940525,BJP_317_2.2_EL30_sRNAseq,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301666,SAMN07260151,simple,3701,Arabidopsis,BJP_317_2.2_EL30,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint II - excess-light 30 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint II - excess-light 30 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",2,Plant
SRR5724619,18140745,925177995,51,642,SRX2940526,BJP_317_2.1_EL30_sRNAseq,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301667,SAMN07260150,simple,3701,Arabidopsis,BJP_317_2.1_EL30,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint II - excess-light 30 min,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint II - excess-light 30 min,"10 x growth irradiance PAR was applied for the specified time period, approximately 1000 _ mol photons m_2 s_1 using a temperature controlled Conviron chamber (21¡C, 55% humidity) fitted with 4 x 250W metal halide lamps and 4 x 250W high pressure sodium lamps.",1,Plant
SRR5724618,18341394,935411094,51,647,SRX2940527,BJP_317_1.3_C_sRNAseq,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301668,SAMN07260149,simple,3701,Arabidopsis,BJP_317_1.3_C,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint I - control light,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint I - control light,Control,3,Plant
SRR5724617,14980582,764009682,51,530,SRX2940528,BJP_317_1.2_C_sRNAseq,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP109986,PRJNA391262,28705956,"",SRS2301669,SAMN07260148,simple,3701,Arabidopsis,BJP_317_1.2_C,Australian National University,SRA578416,08,2017,Crisp,"",RRGD Timepoint I - control light,Col-0,23 days,1.09,Australia,rosette,"Pogson Lab, ARC Centre of Excellence in Plant Energy Biology, Australian National University, Canberra, Australia.","Col-0 plants were cultivated in soil under a 12-hour photoperiod, 100 (±25) _ mol photons m_2 s_1 photosynthetically active radiation [PAR] and 23/22¡C (±2¡C) day/night temperatures",Timepoint I - control light,Control,2,Plant
