Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,Stage,separation,GEO Accession
SRR1062197,4000000,3.04e+08,76,198,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,5hpf,column,GSM1299080
SRR1062198,2831746,215212696,76,146,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,5hpf,column,GSM1299081
SRR1062199,4000000,3.04e+08,76,204,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,5hpf,sucrose cushion,GSM1299082
SRR1062200,4000000,3.04e+08,76,202,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,5hpf,sucrose cushion,GSM1299083
SRR1062201,4000000,3.04e+08,76,200,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,5hpf,column,GSM1299084
SRR1062202,4000000,3.04e+08,76,202,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,5hpf,column,GSM1299085
SRR1062203,4000000,3.04e+08,76,198,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,5hpf,column,GSM1299086
SRR1062204,4000000,3.04e+08,76,201,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,2hpf,column,GSM1299087
SRR1062205,4000000,3.04e+08,76,203,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,12hpf,column,GSM1299088
SRR1062206,4000000,3.04e+08,76,198,SRX399799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP034750,PRJNA232649,24705786,"",SRS520090,SAMN02486852,simple,7955,Danio rerio,GSM1299080,GEO,SRA122405,04,2014,Bazzini,Whole embryos,5h RPFs column replicate 1 run 1,Whole embryos,TUAB,24hpf,column,GSM1299089
