Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,GEO Accession
SRR1528676,27236721,1389072771,51,874,SRX663287,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668160,SAMN02943058,simple,9606,Homo sapiens,GSM1446866,GEO,SRA176907,07,2017,Makar,U2OS control batch6 RP,U2OS control batch6 RP,U2OS control batch6 RP,U2OS,GSM1446866
SRR1528677,31020558,1582048458,51,1002,SRX663288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668163,SAMN02943059,simple,9606,Homo sapiens,GSM1446867,GEO,SRA176907,07,2017,Makar,U2OS myc batch6 RP,U2OS myc batch6 RP,U2OS myc batch6 RP,U2OS,GSM1446867
SRR1528678,97276356,4961094156,51,3202,SRX663289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668162,SAMN02943060,simple,9606,Homo sapiens,GSM1446868,GEO,SRA176907,07,2017,Makar,U2OS control batch6 RNAseq,U2OS control batch6 RNAseq,U2OS control batch6 RNAseq,U2OS,GSM1446868
SRR1528679,100091817,5104682667,51,3301,SRX663290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668161,SAMN02943061,simple,9606,Homo sapiens,GSM1446869,GEO,SRA176907,07,2017,Makar,U2OS myc batch6 RNAseq,U2OS myc batch6 RNAseq,U2OS myc batch6 RNAseq,U2OS,GSM1446869
SRR1528680,29215652,1489998252,51,1036,SRX663291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668164,SAMN02943062,simple,9606,Homo sapiens,GSM1446870,GEO,SRA176907,07,2017,Makar,U2OS control batch7 RP,U2OS control batch7 RP,U2OS control batch7 RP,U2OS,GSM1446870
SRR1528681,30753157,1568411007,51,1075,SRX663291,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668164,SAMN02943062,simple,9606,Homo sapiens,GSM1446870,GEO,SRA176907,07,2017,Makar,U2OS control batch7 RP,U2OS control batch7 RP,U2OS myc batch7 RP,U2OS,GSM1446871
SRR1528682,23582806,1202723106,51,816,SRX663292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668165,SAMN02943063,simple,9606,Homo sapiens,GSM1446871,GEO,SRA176907,07,2017,Makar,U2OS myc batch7 RP,U2OS myc batch7 RP,U2OS control batch7 RNAseq,U2OS,GSM1446872
SRR1528683,24940549,1271967999,51,849,SRX663292,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668165,SAMN02943063,simple,9606,Homo sapiens,GSM1446871,GEO,SRA176907,07,2017,Makar,U2OS myc batch7 RP,U2OS myc batch7 RP,U2OS myc batch7 RNAseq,U2OS,GSM1446873
SRR1528684,29102338,1484219238,51,937,SRX663293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668167,SAMN02943064,simple,9606,Homo sapiens,GSM1446872,GEO,SRA176907,07,2017,Makar,U2OS control batch7 RNAseq,U2OS control batch7 RNAseq,U2OS control batch6 RP,U2OS,GSM1446866
SRR1528685,30376027,1549177377,51,983,SRX663294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044936,PRJNA256317,1,"",SRS668166,SAMN02943065,simple,9606,Homo sapiens,GSM1446873,GEO,SRA176907,07,2017,Makar,U2OS myc batch7 RNAseq,U2OS myc batch7 RNAseq,U2OS myc batch6 RP,U2OS,GSM1446867
