Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,replicate,sirna treatment,GEO Accession
SRR1257177,33216644,3321664400,100,2011,SRX522409,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594764,SAMN02729970,simple,9606,Homo sapiens,GSM1371395,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT00_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371395
SRR1257178,34741769,3474176900,100,2136,SRX522410,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594765,SAMN02729976,simple,9606,Homo sapiens,GSM1371396,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT02_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371396
SRR1257179,31811581,3181158100,100,1922,SRX522411,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594766,SAMN02729968,simple,9606,Homo sapiens,GSM1371397,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT04_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371397
SRR1257180,34295689,3429568900,100,2113,SRX522412,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594767,SAMN02729971,simple,9606,Homo sapiens,GSM1371398,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT06_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371398
SRR1257181,31666044,3166604400,100,1915,SRX522413,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594768,SAMN02729975,simple,9606,Homo sapiens,GSM1371399,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT08_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371399
SRR1257182,31227335,3122733500,100,1918,SRX522414,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594769,SAMN02729969,simple,9606,Homo sapiens,GSM1371400,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT10_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371400
SRR1257183,28754100,2875410000,100,1736,SRX522415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594770,SAMN02729972,simple,9606,Homo sapiens,GSM1371401,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT12_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371401
SRR1257184,33505289,3350528900,100,2060,SRX522416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594771,SAMN02729974,simple,9606,Homo sapiens,GSM1371402,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT14_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371402
SRR1257185,28933283,2893328300,100,1751,SRX522417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594772,SAMN02729973,simple,9606,Homo sapiens,GSM1371403,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT16_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371403
SRR1257186,31882834,3188283400,100,1989,SRX522418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594773,SAMN02729977,simple,9606,Homo sapiens,GSM1371404,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT18_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371404
SRR1257187,32603330,3260333000,100,1988,SRX522419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041298,PRJNA244941,26338483,"",SRS594774,SAMN02729979,simple,9606,Homo sapiens,GSM1371405,GEO,SRA158793,08,2015,Jang,U2-OS Cells,WT_total_RNA_CT20_rep1,U2-OS Cells,osteosarcoma,U2-OS,1,None,GSM1371405
