Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,developmental stage,GEO Accession
SRR1272130,98760826,3555389736,36,2257,SRX533748,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602475,SAMN02746303,simple,5691,Trypanosoma brucei,GSM1379696,GEO,SRA161745,05,2014,Jensen,Tb927 PCF in SDM79 medium,PCF RiboProf replicate_1,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1379696
SRR1272131,86223360,3104040960,36,1906,SRX533749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602476,SAMN02746318,simple,5691,Trypanosoma brucei,GSM1379697,GEO,SRA161745,05,2014,Jensen,Tb927 PCF in SDM79 medium,PCF RiboProf replicate_2,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1379697
SRR1272132,64636189,2326902804,36,1382,SRX533750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602477,SAMN02746309,simple,5691,Trypanosoma brucei,GSM1379698,GEO,SRA161745,05,2014,Jensen,Tb927 PCF in SDM79 medium,PCF RiboProf replicate_3,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1379698
SRR1272133,68616219,2470183884,36,1464,SRX533751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602478,SAMN02746305,simple,5691,Trypanosoma brucei,GSM1379699,GEO,SRA161745,05,2014,Jensen,Tb927 BF grown in irradiated Wistar rat,slBF RiboProf replicate_1,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1379699
SRR1272134,45749193,1646970948,36,949,SRX533752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602479,SAMN02746316,simple,5691,Trypanosoma brucei,GSM1379700,GEO,SRA161745,05,2014,Jensen,Tb927 BF grown in irradiated Wistar rat,slBF RiboProf replicate_2,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1379700
SRR1272135,48551383,1747849788,36,1002,SRX533753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602480,SAMN02746307,simple,5691,Trypanosoma brucei,GSM1379701,GEO,SRA161745,05,2014,Jensen,Tb927 BF grown in irradiated Wistar rat,slBF RiboProf replicate_3,Tb927 BF grown in irradiated Wistar rat,927,Slender bloodstream Form,GSM1379701
SRR1272136,86171690,3102180840,36,1935,SRX533754,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602481,SAMN02746299,simple,5691,Trypanosoma brucei,GSM1379702,GEO,SRA161745,05,2014,Jensen,Tb427 grown in vitro in HMI-9 medium,cBF RiboProf replicate_1,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1379702
SRR1272137,38236277,1376505972,36,886,SRX533755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602482,SAMN02746315,simple,5691,Trypanosoma brucei,GSM1379703,GEO,SRA161745,05,2014,Jensen,Tb427 grown in vitro in HMI-9 medium,cBF RiboProf replicate_2,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1379703
SRR1272138,69724475,2510081100,36,1488,SRX533756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602484,SAMN02746311,simple,5691,Trypanosoma brucei,GSM1379704,GEO,SRA161745,05,2014,Jensen,Tb427 grown in vitro in HMI-9 medium,cBF RiboProf replicate_3,Tb427 grown in vitro in HMI-9 medium,427,cultrured bloodstream Form,GSM1379704
SRR1272139,99555799,3584008764,36,2329,SRX533757,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041705,PRJNA246300,25331479,"",SRS602483,SAMN02746302,simple,5691,Trypanosoma brucei,GSM1379705,GEO,SRA161745,05,2014,Jensen,Tb927 PCF in SDM79 medium,PCF mRNA replicate_1,Tb927 PCF in SDM79 medium,927,Procyclic Form,GSM1379705
