Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,GEO Accession
SRR3493886,71811727,3662398077,51,2282,SRX1753769,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074750,PRJNA321151,27641505,"",SRS1430642,SAMN04966282,simple,4932,Saccharomyces cerevisiae,GSM2147982,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Wild-Type Profiling,Whole Cells,Wild-Type (BY4741),GSM2147982
SRR3493887,35549589,1777479450,50,959,SRX1753770,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430644,SAMN04966283,simple,4932,Saccharomyces cerevisiae,GSM2147983,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Wild-Type Profiling (Replicate),Whole Cells,Wild-Type (BY4741),GSM2147983
SRR3493888,57167427,2858371350,50,1664,SRX1753771,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430643,SAMN04966284,simple,4932,Saccharomyces cerevisiae,GSM2147984,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Wild-Type mRNA-Seq,Whole Cells,Wild-Type (BY4741),GSM2147984
SRR3493889,30107711,1505385550,50,804,SRX1753772,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430645,SAMN04966285,simple,4932,Saccharomyces cerevisiae,GSM2147986,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Wild-Type mRNA-Seq (Replicate),Whole Cells,Wild-Type (BY4741),GSM2147986
SRR3493890,97090028,4951591428,51,2985,SRX1753773,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP074750,PRJNA321151,27641505,"",SRS1430646,SAMN04966286,simple,4932,Saccharomyces cerevisiae,GSM2147987,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Dhh1KO Profiling,Whole Cells,Dhh1KO (BY4741),GSM2147987
SRR3493891,82101890,4105094500,50,2169,SRX1753774,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430647,SAMN04966287,simple,4932,Saccharomyces cerevisiae,GSM2147988,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Dhh1KO Profiling (Replicate),Whole Cells,Dhh1KO (BY4741),GSM2147988
SRR3493892,80517200,4025860000,50,2557,SRX1753775,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430648,SAMN04966288,simple,4932,Saccharomyces cerevisiae,GSM2147990,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Dhh1KO mRNA-Seq,Whole Cells,Dhh1KO (BY4741),GSM2147990
SRR3493893,44798368,2239918400,50,1196,SRX1753776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430649,SAMN04966289,simple,4932,Saccharomyces cerevisiae,GSM2147991,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Dhh1KO mRNA-Seq (Replicate),Whole Cells,Dhh1KO (BY4741),GSM2147991
SRR3493894,102473023,5226124173,51,3294,SRX1753777,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430651,SAMN04966290,simple,4932,Saccharomyces cerevisiae,GSM2147993,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Dhh1-OE Profiling,Whole Cells,Wild-Type (BY4741),GSM2147993
SRR3493895,59203393,2960169650,50,1581,SRX1753778,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430650,SAMN04966291,simple,4932,Saccharomyces cerevisiae,GSM2147995,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Dhh1-OE Profiling (Replicate),Whole Cells,Wild-Type (BY4741),GSM2147995
SRR3493896,68701533,3435076650,50,2172,SRX1753779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP074750,PRJNA321151,27641505,"",SRS1430652,SAMN04966292,simple,4932,Saccharomyces cerevisiae,GSM2147996,GEO,SRA424577,05,2016,Radhakrishnan,Whole Cells,Dhh1-OE mRNA-Seq,Whole Cells,Wild-Type (BY4741),GSM2147996
