Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name
ERR7439246,12269067,1864898184,76,571,ERX7008958,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969482,SAMEA11324644,simple,9606,Homo sapiens,SAMEA11324644,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",131SBRPF,2021-11-29,2021-11-29,SAMEA11324644,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,131SBRPF,human,131SBRPF
ERR7439247,14490671,2202581992,76,680,ERX7008959,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969483,SAMEA11324645,simple,9606,Homo sapiens,SAMEA11324645,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",131SBTOTAL,2021-11-29,2021-11-29,SAMEA11324645,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,131SBTOTAL,human,131SBTOTAL
ERR7439248,52207983,7935613416,76,2790,ERX7008960,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969484,SAMEA11324646,simple,9606,Homo sapiens,SAMEA11324646,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",131SRPF,2021-11-29,2021-11-29,SAMEA11324646,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,131SRPF,human,131SRPF
ERR7439249,31232456,4747333312,76,1588,ERX7008961,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969485,SAMEA11324647,simple,9606,Homo sapiens,SAMEA11324647,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",131STOTAL,2021-11-29,2021-11-29,SAMEA11324647,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,131STOTAL,human,131STOTAL
ERR7439250,47461661,7214172472,76,2559,ERX7008962,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969486,SAMEA11324648,simple,9606,Homo sapiens,SAMEA11324648,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",163_83RPF,2021-11-29,2021-11-29,SAMEA11324648,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,163_83RPF,human,163_83RPF
ERR7439251,56444488,8579562176,76,3067,ERX7008963,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969487,SAMEA11324649,simple,9606,Homo sapiens,SAMEA11324649,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",163_83TOTAL,2021-11-29,2021-11-29,SAMEA11324649,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,163_83TOTAL,human,163_83TOTAL
ERR7439252,52760009,8019521368,76,2841,ERX7008964,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969488,SAMEA11324650,simple,9606,Homo sapiens,SAMEA11324650,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",192_93RPF,2021-11-29,2021-11-29,SAMEA11324650,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,192_93RPF,human,192_93RPF
ERR7439253,19122847,2906672744,76,1046,ERX7008965,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969489,SAMEA11324651,simple,9606,Homo sapiens,SAMEA11324651,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",192_93TOTAL,2021-11-29,2021-11-29,SAMEA11324651,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,192_93TOTAL,human,192_93TOTAL
ERR7439254,64977274,9876545648,76,3507,ERX7008966,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969490,SAMEA11324652,simple,9606,Homo sapiens,SAMEA11324652,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",540_99RPF,2021-11-29,2021-11-29,SAMEA11324652,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,540_99RPF,human,540_99RPF
ERR7439255,27177019,4130906888,76,1422,ERX7008967,not provided,OTHER,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,ERP133347,PRJEB48907,1,"",ERS8969491,SAMEA11324653,simple,9606,Homo sapiens,SAMEA11324653,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,ERA7492202,11,2021,Makar,"",540_99TOTAL,2021-11-29,2021-11-29,SAMEA11324653,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,INSTITUTE OF APPLIED BIOSCIENCES - CERTH,2021-11-29T16:26:07Z,2021-11-29T16:26:07Z,public,540_99TOTAL,human,540_99TOTAL
