Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,biomaterial_provider,tissue,cell_line,BioSampleModel
SRR18910286,16875372,2109421500,125,674,SRX14988195,S10_1R_CAGATC_L003_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910285,12175888,1521986000,125,485,SRX14988196,S10_1T_ATCACG_L003_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910284,14005950,1750743750,125,564,SRX14988197,S10_6R_CTTGTA_L003_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910283,15604839,1950604875,125,630,SRX14988198,S10_6T_GCCAAT_L003_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910282,21317840,1065892000,50,565,SRX14988199,S6_1R_S7_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910281,17050735,852536750,50,459,SRX14988200,S6_1T_S1_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910280,19427242,971362100,50,514,SRX14988201,S6_2R_S8_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910279,21416455,1070822750,50,569,SRX14988202,S6_2T_S2_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910278,32179531,1608976550,50,902,SRX14988203,S6_3R_S9_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
SRR18910277,27165483,1358274150,50,723,SRX14988204,S6_3T_S3_R1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP372081,PRJNA831775,1,"",SRS12737525,SAMN27761612,simple,9606,Homo sapiens,HEK,Food and Drug Administration,SRA1409267,04,2022,Makar,"","",Kimchi-Sarfaty,HEK293,HEK293,Human
