Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,treatment,experiment,GEO Accession
SRR12758942,37576830,2800190007,74,1077,SRX9229731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463188,SAMN16330655,simple,10090,Mus musculus,GSM4813839,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rna rep1,mouse hippocampal slice,wild-type,vehicle,RNA-seq,GSM4813839
SRR12758943,48541381,3614397831,74,1418,SRX9229732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463190,SAMN16330654,simple,10090,Mus musculus,GSM4813840,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rna rep2,mouse hippocampal slice,wild-type,vehicle,RNA-seq,GSM4813840
SRR12758944,77131047,5745623812,74,2161,SRX9229733,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463192,SAMN16330653,simple,10090,Mus musculus,GSM4813841,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rna rep3,mouse hippocampal slice,wild-type,vehicle,RNA-seq,GSM4813841
SRR12758945,46112959,3436924040,74,1315,SRX9229734,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463191,SAMN16330648,simple,10090,Mus musculus,GSM4813842,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rna rep4,mouse hippocampal slice,wild-type,vehicle,RNA-seq,GSM4813842
SRR12758946,46672212,3477855297,74,1343,SRX9229735,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463189,SAMN16330647,simple,10090,Mus musculus,GSM4813843,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt dhpg rna rep1,mouse hippocampal slice,wild-type,DHPG,RNA-seq,GSM4813843
SRR12758947,53917258,4009421678,74,1572,SRX9229736,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463193,SAMN16330646,simple,10090,Mus musculus,GSM4813844,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt dhpg rna rep2,mouse hippocampal slice,wild-type,DHPG,RNA-seq,GSM4813844
SRR12758948,68815500,5121008984,74,1938,SRX9229737,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463194,SAMN16330645,simple,10090,Mus musculus,GSM4813845,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt dhpg rna rep3,mouse hippocampal slice,wild-type,DHPG,RNA-seq,GSM4813845
SRR12758949,41198454,3070054098,74,1181,SRX9229738,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463195,SAMN16330649,simple,10090,Mus musculus,GSM4813846,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt dhpg rna rep4,mouse hippocampal slice,wild-type,DHPG,RNA-seq,GSM4813846
SRR12758950,53058217,3955191643,74,1521,SRX9229739,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463196,SAMN16330652,simple,10090,Mus musculus,GSM4813847,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt dhpg rna rep5,mouse hippocampal slice,wild-type,DHPG,RNA-seq,GSM4813847
SRR12758951,23917619,763892435,31,284,SRX9229740,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463197,SAMN16330651,simple,10090,Mus musculus,GSM4813848,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rpf rep1,mouse hippocampal slice,wild-type,vehicle,ribosome profiling,GSM4813848
SRR12758952,95222633,2979743446,31,1167,SRX9229741,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463198,SAMN16330650,simple,10090,Mus musculus,GSM4813849,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rpf rep2,mouse hippocampal slice,wild-type,vehicle,ribosome profiling,GSM4813849
SRR12758953,70315497,2206199005,31,1267,SRX9229742,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463199,SAMN16330683,simple,10090,Mus musculus,GSM4813850,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rpf rep3,mouse hippocampal slice,wild-type,vehicle,ribosome profiling,GSM4813850
SRR12758954,32803611,1053846419,32,412,SRX9229743,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463200,SAMN16330682,simple,10090,Mus musculus,GSM4813851,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rpf rep4,mouse hippocampal slice,wild-type,vehicle,ribosome profiling,GSM4813851
SRR12758955,40650035,1268509451,31,491,SRX9229744,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463201,SAMN16330736,simple,10090,Mus musculus,GSM4813852,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt bas rpf rep5,mouse hippocampal slice,wild-type,vehicle,ribosome profiling,GSM4813852
SRR12758956,22720115,718864617,31,267,SRX9229745,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463202,SAMN16330735,simple,10090,Mus musculus,GSM4813853,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt dhpg rpf rep1,mouse hippocampal slice,wild-type,DHPG,ribosome profiling,GSM4813853
SRR12758957,103596157,3228903157,31,1269,SRX9229746,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP286016,PRJNA666888,33054857,"",SRS7463203,SAMN16330734,simple,10090,Mus musculus,GSM4813854,GEO,SRA1136629,10,2020,Hien,mouse hippocampal slice,wt dhpg rpf rep2,mouse hippocampal slice,wild-type,DHPG,ribosome profiling,GSM4813854
