Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,genotype simplified,replicate
SRR9952647,58330290,1860403871,31,2294,SRX6701011,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256013,SAMN12561558,simple,10090,Mus musculus,GSM4026922,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep1_Ribo_Cre_S6,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53+/+,Rps6 het; Trp53 WT,Replicate 1
SRR9952648,63349537,2005170930,31,2479,SRX6701012,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256014,SAMN12561557,simple,10090,Mus musculus,GSM4026923,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep1_Ribo_Cre_S6_P53,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53-/-,Rps6 het; Trp53 null,Replicate 1
SRR9952649,67750023,2140269145,31,2653,SRX6701013,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256015,SAMN12561555,simple,10090,Mus musculus,GSM4026924,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep1_Ribo_S6,E10.5 mouse forelimbs,Rps6lox/+;Trp53+/+,Rps6 WT; Trp53 WT,Replicate 1
SRR9952650,62498888,1983447889,31,2448,SRX6701014,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256016,SAMN12561554,simple,10090,Mus musculus,GSM4026925,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep1_Ribo_S6_P53,E10.5 mouse forelimbs,Rps6lox/+;Trp53-/-,Rps6 WT; Trp53 null,Replicate 1
SRR9952651,58457448,2372541374,40,2492,SRX6701015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256017,SAMN12561553,simple,10090,Mus musculus,GSM4026926,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep1_RNA_Cre_S6,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53+/+,Rps6 het; Trp53 WT,Replicate 1
SRR9952652,59754535,2411173425,40,2531,SRX6701016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256018,SAMN12561552,simple,10090,Mus musculus,GSM4026927,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep1_RNA_Cre_S6_P53,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53-/-,Rps6 het; Trp53 null,Replicate 1
SRR9952653,44359799,1802633951,40,1887,SRX6701017,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256019,SAMN12561551,simple,10090,Mus musculus,GSM4026928,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep1_RNA_S6,E10.5 mouse forelimbs,Rps6lox/+;Trp53+/+,Rps6 WT; Trp53 WT,Replicate 1
SRR9952654,60173740,2423474974,40,2552,SRX6701018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256020,SAMN12561550,simple,10090,Mus musculus,GSM4026929,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep1_RNA_S6_P53,E10.5 mouse forelimbs,Rps6lox/+;Trp53-/-,Rps6 WT; Trp53 null,Replicate 1
SRR9952655,47435810,1528224773,32,1865,SRX6701019,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256021,SAMN12561549,simple,10090,Mus musculus,GSM4026930,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep2_Ribo_Cre_S6,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53+/+,Rps6 het; Trp53 WT,Replicate 2
SRR9952656,62256531,2014431261,32,2448,SRX6701020,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256022,SAMN12561548,simple,10090,Mus musculus,GSM4026931,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep2_Ribo_Cre_S6_P53,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53-/-,Rps6 het; Trp53 null,Replicate 2
SRR9952657,50311960,1618498801,32,1977,SRX6701021,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256023,SAMN12561547,simple,10090,Mus musculus,GSM4026932,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep2_Ribo_S6,E10.5 mouse forelimbs,Rps6lox/+;Trp53+/+,Rps6 WT; Trp53 WT,Replicate 2
SRR9952658,68233941,2185604457,32,2684,SRX6701022,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256024,SAMN12561546,simple,10090,Mus musculus,GSM4026933,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep2_Ribo_S6_P53,E10.5 mouse forelimbs,Rps6lox/+;Trp53-/-,Rps6 WT; Trp53 null,Replicate 2
SRR9952659,43904511,1776937211,40,1870,SRX6701023,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256025,SAMN12561545,simple,10090,Mus musculus,GSM4026934,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep2_RNA_Cre_S6,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53+/+,Rps6 het; Trp53 WT,Replicate 2
SRR9952660,56119806,2276039088,40,2394,SRX6701024,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP218125,PRJNA559859,34242585,"",SRS5256026,SAMN12561544,simple,10090,Mus musculus,GSM4026935,GEO,SRA938600,01,2020,Tiu,E10.5 mouse forelimbs,Rep2_RNA_Cre_S6_P53,E10.5 mouse forelimbs,Prx1Cre;Rps6lox/+;Trp53-/-,Rps6 het; Trp53 null,Replicate 2
