Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,dms,hippuristanol treatment
SRR9834211,96158317,10021272459,104,4080,SRX6590315,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157057,SAMN12363669,simple,9606,Homo sapiens,GSM3974237,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Control / DMS(-) replicate 1,Adherent breast cancer cell line,MCF7,no,no
SRR9834212,85439549,9109942717,106,3706,SRX6590316,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157058,SAMN12363668,simple,9606,Homo sapiens,GSM3974238,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Control / DMS(-) replicate 2,Adherent breast cancer cell line,MCF7,no,no
SRR9834213,108345483,10038561234,92,4023,SRX6590317,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157059,SAMN12363667,simple,9606,Homo sapiens,GSM3974239,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Control / DMS(-) replicate 3,Adherent breast cancer cell line,MCF7,no,no
SRR9834214,117512851,10978639714,93,4403,SRX6590318,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157060,SAMN12363666,simple,9606,Homo sapiens,GSM3974240,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Control / DMS(+) replicate 1,Adherent breast cancer cell line,MCF7,yes,no
SRR9834215,99831596,9734405539,97,3934,SRX6590319,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157061,SAMN12363665,simple,9606,Homo sapiens,GSM3974241,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Control / DMS(+) replicate 2,Adherent breast cancer cell line,MCF7,yes,no
SRR9834216,102791097,11225939697,109,4584,SRX6590320,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157062,SAMN12363664,simple,9606,Homo sapiens,GSM3974242,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Control / DMS(+) replicate 3,Adherent breast cancer cell line,MCF7,yes,no
SRR9834217,102024388,9849347775,96,4055,SRX6590321,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157063,SAMN12363663,simple,9606,Homo sapiens,GSM3974243,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Hippuristanol / DMS(-) replicate 1,Adherent breast cancer cell line,MCF7,no,yes
SRR9834218,111641364,11581258044,103,4721,SRX6590322,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157064,SAMN12363662,simple,9606,Homo sapiens,GSM3974244,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Hippuristanol / DMS(-) replicate 2,Adherent breast cancer cell line,MCF7,no,yes
SRR9834219,96577687,8775857033,90,3620,SRX6590323,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157065,SAMN12363661,simple,9606,Homo sapiens,GSM3974245,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Hippuristanol / DMS(-) replicate 3,Adherent breast cancer cell line,MCF7,no,yes
SRR9834220,115525885,9703561003,83,3899,SRX6590324,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157066,SAMN12363660,simple,9606,Homo sapiens,GSM3974246,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Hippuristanol / DMS(+) replicate 1,Adherent breast cancer cell line,MCF7,yes,yes
SRR9834221,141007668,11956487621,84,4830,SRX6590325,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157067,SAMN12363659,simple,9606,Homo sapiens,GSM3974247,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Hippuristanol / DMS(+) replicate 2,Adherent breast cancer cell line,MCF7,yes,yes
SRR9834222,91884549,7245046839,78,2904,SRX6590326,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP216397,PRJNA556678,31888698,"",SRS5157068,SAMN12363658,simple,9606,Homo sapiens,GSM3974248,GEO,SRA926837,11,2019,Waldron,Adherent breast cancer cell line,Hippuristanol / DMS(+) replicate 3,Adherent breast cancer cell line,MCF7,yes,yes
