Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR24510068,38297190,1227834865,32,606,SRX20294550,GSM7325140,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620703,SAMN35047669,simple,9606,Homo sapiens,GSM7325140,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"WT, 4h, RNA",U2OS,U2OS,Human bone osteosarcoma epithelial cells,WT,4 hours after synchronization with DXMS,missing,missing
SRR24510067,51723920,1647256260,31,813,SRX20294551,GSM7325141,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620706,SAMN35047668,simple,9606,Homo sapiens,GSM7325141,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"WT, 12h, RNA",U2OS,U2OS,Human bone osteosarcoma epithelial cells,WT,12 hours after synchronization with DXMS,missing,missing
SRR24510066,29339878,953550293,32,480,SRX20294552,GSM7325142,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620702,SAMN35047667,simple,9606,Homo sapiens,GSM7325142,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"Ataxin2 KO, 4h, RNA",U2OS,U2OS,Human bone osteosarcoma epithelial cells,Ataxin2 knockout,4 hours after synchronization with DXMS,missing,missing
SRR24510065,31843558,999106191,31,500,SRX20294553,GSM7325143,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620704,SAMN35047666,simple,9606,Homo sapiens,GSM7325143,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"Ataxin2 KO, 12h, RNA",U2OS,U2OS,Human bone osteosarcoma epithelial cells,Ataxin2 knockout,12 hours after synchronization with DXMS,missing,missing
SRR24510063,44913128,1464310535,32,723,SRX20294554,GSM7325144,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620705,SAMN35047665,simple,9606,Homo sapiens,GSM7325144,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"Ataxin2L KO, 4h, RNA",U2OS,U2OS,Human bone osteosarcoma epithelial cells,Ataxin2L knockout,4 hours after synchronization with DXMS,missing,missing
SRR24510062,29350047,897342618,30,446,SRX20294555,GSM7325145,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620708,SAMN35047664,simple,9606,Homo sapiens,GSM7325145,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"Ataxin2L KO, 12h, RNA",U2OS,U2OS,Human bone osteosarcoma epithelial cells,Ataxin2L knockout,12 hours after synchronization with DXMS,missing,missing
SRR24510061,29565105,948153403,32,465,SRX20294556,GSM7325146,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620707,SAMN35047663,simple,9606,Homo sapiens,GSM7325146,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"DKO, 4h, RNA",U2OS,U2OS,Human bone osteosarcoma epithelial cells,Ataxin2/2L double knockout,4 hours after synchronization with DXMS,missing,missing
SRR24510064,20820830,615564556,29,312,SRX20294557,GSM7325147,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620709,SAMN35047662,simple,9606,Homo sapiens,GSM7325147,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"DKO, 12h, RNA",U2OS,U2OS,Human bone osteosarcoma epithelial cells,Ataxin2/2L double knockout,12 hours after synchronization with DXMS,missing,missing
SRR24510060,19450954,607366504,31,281,SRX20294558,GSM7325148,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620712,SAMN35047661,simple,9606,Homo sapiens,GSM7325148,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"WT, 4h, RPF",U2OS,U2OS,Human bone osteosarcoma epithelial cells,WT,4 hours after synchronization with DXMS,missing,missing
SRR24510059,15247897,473898576,31,221,SRX20294559,GSM7325149,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP416592,PRJNA922087,1,"",SRS17620710,SAMN35047660,simple,9606,Homo sapiens,GSM7325149,"School of Life Sciences, Tsinghua University",SRA1636576,06,2023,Makar,U2OS,"WT, 12h, RPF",U2OS,U2OS,Human bone osteosarcoma epithelial cells,WT,12 hours after synchronization with DXMS,missing,missing
