Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,medium,GEO Accession
SRR9670814,58374756,2918737800,50,1956,SRX6431280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086184,SAMN12255601,simple,4932,Saccharomyces cerevisiae,GSM3938051,GEO,SRA919800,07,2020,Zou,SD,mRNA SD Sample 1,SD,BY4741,SD,GSM3938051
SRR9670815,58743177,2937158850,50,1960,SRX6431281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086185,SAMN12255600,simple,4932,Saccharomyces cerevisiae,GSM3938052,GEO,SRA919800,07,2020,Zou,GR,mRNA GR Sample 2,GR,BY4741,GR,GSM3938052
SRR9670816,30846629,1542331450,50,975,SRX6431282,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086187,SAMN12255599,simple,4932,Saccharomyces cerevisiae,GSM3938053,GEO,SRA919800,07,2020,Zou,SD,footprint SD Sample 3-1,SD,BY4741,SD,GSM3938053
SRR9670817,62703652,3135182600,50,2130,SRX6431283,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086186,SAMN12255598,simple,4932,Saccharomyces cerevisiae,GSM3938054,GEO,SRA919800,07,2020,Zou,SD,footprint SD Sample 3-2,SD,BY4741,SD,GSM3938054
SRR9670818,14324540,716227000,50,455,SRX6431284,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086188,SAMN12255597,simple,4932,Saccharomyces cerevisiae,GSM3938055,GEO,SRA919800,07,2020,Zou,GR,footprint GR Sample 4-1,GR,BY4741,GR,GSM3938055
SRR9670819,48148625,2407431250,50,1645,SRX6431285,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086189,SAMN12255596,simple,4932,Saccharomyces cerevisiae,GSM3938056,GEO,SRA919800,07,2020,Zou,GR,footprint GR Sample 4-2,GR,BY4741,GR,GSM3938056
SRR9670820,40918359,2086836309,51,1362,SRX6431286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086190,SAMN12255595,simple,4932,Saccharomyces cerevisiae,GSM3938057,GEO,SRA919800,07,2020,Zou,SD,mRNA SD Sample 5,SD,BY4741,SD,GSM3938057
SRR9670821,82517832,4208409432,51,2631,SRX6431287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086191,SAMN12255594,simple,4932,Saccharomyces cerevisiae,GSM3938058,GEO,SRA919800,07,2020,Zou,GR,mRNA GR Sample 6,GR,BY4741,GR,GSM3938058
SRR9670822,33976925,1732823175,51,1105,SRX6431288,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086192,SAMN12255593,simple,4932,Saccharomyces cerevisiae,GSM3938059,GEO,SRA919800,07,2020,Zou,SD,footprint SD Sample 7,SD,BY4741,SD,GSM3938059
SRR9670823,40272457,2053895307,51,1303,SRX6431289,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP214259,PRJNA554100,32821821,"",SRS5086193,SAMN12255592,simple,4932,Saccharomyces cerevisiae,GSM3938060,GEO,SRA919800,07,2020,Zou,GR,footprint GR Sample 8,GR,BY4741,GR,GSM3938060
