Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,knockdown,GEO Accession
SRR14624510,28508175,2119868558,74,825,SRX10965422,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043183,SAMN19310887,simple,6239,Caenorhabditis elegans,GSM5331567,GEO,SRA1235449,05,2022,Makar,young adult,Starved-4_RiboSeq,young adult,Starved,,GSM5331567
SRR14624511,33723006,2502273298,74,953,SRX10965423,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043184,SAMN19310884,simple,6239,Caenorhabditis elegans,GSM5331568,GEO,SRA1235449,05,2022,Makar,young adult,Starved-5_RiboSeq,young adult,Starved,,GSM5331568
SRR14624512,24345757,1813277673,74,694,SRX10965424,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043185,SAMN19310883,simple,6239,Caenorhabditis elegans,GSM5331569,GEO,SRA1235449,05,2022,Makar,young adult,Starved-6_RiboSeq,young adult,Starved,,GSM5331569
SRR14624513,30138160,2242074147,74,827,SRX10965425,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043186,SAMN19310975,simple,6239,Caenorhabditis elegans,GSM5331570,GEO,SRA1235449,05,2022,Makar,young adult,Empty_vector-1_RiboSeq,young adult,,Empty_vector,GSM5331570
SRR14624514,27956394,2079694617,74,748,SRX10965426,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043187,SAMN19310974,simple,6239,Caenorhabditis elegans,GSM5331571,GEO,SRA1235449,05,2022,Makar,young adult,Empty_vector-2_RiboSeq,young adult,,Empty_vector,GSM5331571
SRR14624515,32186015,2397334119,74,867,SRX10965427,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043188,SAMN19310973,simple,6239,Caenorhabditis elegans,GSM5331572,GEO,SRA1235449,05,2022,Makar,young adult,Empty_vector-3_RiboSeq,young adult,,Empty_vector,GSM5331572
SRR14624516,26253307,1953020625,74,721,SRX10965428,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043189,SAMN19310886,simple,6239,Caenorhabditis elegans,GSM5331573,GEO,SRA1235449,05,2022,Makar,young adult,Empty_vector-4_RiboSeq,young adult,,Empty_vector,GSM5331573
SRR14624517,26857034,1994068922,74,720,SRX10965429,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043190,SAMN19310885,simple,6239,Caenorhabditis elegans,GSM5331574,GEO,SRA1235449,05,2022,Makar,young adult,E02H1.1-1_RiboSeq,young adult,,E02H1.1,GSM5331574
SRR14624518,23104848,1719950303,74,620,SRX10965430,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043191,SAMN19310972,simple,6239,Caenorhabditis elegans,GSM5331575,GEO,SRA1235449,05,2022,Makar,young adult,E02H1.1-2_RiboSeq,young adult,,E02H1.1,GSM5331575
SRR14624519,26958283,2004671070,74,727,SRX10965431,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043192,SAMN19310971,simple,6239,Caenorhabditis elegans,GSM5331576,GEO,SRA1235449,05,2022,Makar,young adult,E02H1.1-3_RiboSeq,young adult,,E02H1.1,GSM5331576
SRR14624520,25396744,1892209038,74,684,SRX10965432,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043193,SAMN19310970,simple,6239,Caenorhabditis elegans,GSM5331577,GEO,SRA1235449,05,2022,Makar,young adult,E02H1.1-4_RiboSeq,young adult,,E02H1.1,GSM5331577
SRR14624521,30990433,2302482714,74,832,SRX10965433,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043194,SAMN19310969,simple,6239,Caenorhabditis elegans,GSM5331578,GEO,SRA1235449,05,2022,Makar,young adult,C27F2.4-1_RiboSeq,young adult,,C27F2.4,GSM5331578
SRR14624522,29240395,2177878960,74,785,SRX10965434,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043195,SAMN19310968,simple,6239,Caenorhabditis elegans,GSM5331579,GEO,SRA1235449,05,2022,Makar,young adult,C27F2.4-2_RiboSeq,young adult,,C27F2.4,GSM5331579
SRR14624523,29600748,2201694930,74,791,SRX10965435,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043196,SAMN19310967,simple,6239,Caenorhabditis elegans,GSM5331580,GEO,SRA1235449,05,2022,Makar,young adult,C27F2.4-3_RiboSeq,young adult,,C27F2.4,GSM5331580
SRR14624524,34202974,2535929383,74,907,SRX10965436,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043197,SAMN19310966,simple,6239,Caenorhabditis elegans,GSM5331581,GEO,SRA1235449,05,2022,Makar,young adult,C27F2.4-4_RiboSeq,young adult,,C27F2.4,GSM5331581
SRR14624481,23682426,7104727800,150,2123,SRX10965437,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043198,SAMN19310878,simple,6239,Caenorhabditis elegans,GSM5331538,GEO,SRA1235449,05,2022,Makar,young adult,Fed-5_mRNAseq,young adult,Fed,,GSM5331538
SRR14624482,25610214,7683064200,150,2322,SRX10965438,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043199,SAMN19310877,simple,6239,Caenorhabditis elegans,GSM5331539,GEO,SRA1235449,05,2022,Makar,young adult,Fed-6_mRNAseq,young adult,Fed,,GSM5331539
SRR14624483,23434785,7030435500,150,2079,SRX10965439,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043200,SAMN19310876,simple,6239,Caenorhabditis elegans,GSM5331540,GEO,SRA1235449,05,2022,Makar,young adult,Starved-1_mRNAseq,young adult,Starved,,GSM5331540
SRR14624484,22856454,6856936200,150,2055,SRX10965440,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043201,SAMN19310875,simple,6239,Caenorhabditis elegans,GSM5331541,GEO,SRA1235449,05,2022,Makar,young adult,Starved-2_mRNAseq,young adult,Starved,,GSM5331541
SRR14624485,22910560,6873168000,150,2036,SRX10965441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043202,SAMN19310874,simple,6239,Caenorhabditis elegans,GSM5331542,GEO,SRA1235449,05,2022,Makar,young adult,Starved-3_mRNAseq,young adult,Starved,,GSM5331542
SRR14624486,23552782,7065834600,150,2088,SRX10965442,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043203,SAMN19310873,simple,6239,Caenorhabditis elegans,GSM5331543,GEO,SRA1235449,05,2022,Makar,young adult,Starved-4_mRNAseq,young adult,Starved,,GSM5331543
SRR14624487,22747334,6824200200,150,2023,SRX10965443,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043204,SAMN19310872,simple,6239,Caenorhabditis elegans,GSM5331544,GEO,SRA1235449,05,2022,Makar,young adult,Starved-5_mRNAseq,young adult,Starved,,GSM5331544
SRR14624488,23061053,6918315900,150,2038,SRX10965444,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043205,SAMN19310871,simple,6239,Caenorhabditis elegans,GSM5331545,GEO,SRA1235449,05,2022,Makar,young adult,Starved-6_mRNAseq,young adult,Starved,,GSM5331545
SRR14624489,22895478,6868643400,150,1999,SRX10965445,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043206,SAMN19310870,simple,6239,Caenorhabditis elegans,GSM5331546,GEO,SRA1235449,05,2022,Makar,young adult,Empty_vector-1_mRNAseq,young adult,,Empty_vector,GSM5331546
SRR14624490,24553718,7366115400,150,2188,SRX10965446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043207,SAMN19310869,simple,6239,Caenorhabditis elegans,GSM5331547,GEO,SRA1235449,05,2022,Makar,young adult,Empty_vector-2_mRNAseq,young adult,,Empty_vector,GSM5331547
SRR14624491,23596179,7078853700,150,2074,SRX10965447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043208,SAMN19310868,simple,6239,Caenorhabditis elegans,GSM5331548,GEO,SRA1235449,05,2022,Makar,young adult,Empty_vector-3_mRNAseq,young adult,,Empty_vector,GSM5331548
SRR14624492,24292326,7287697800,150,2118,SRX10965448,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043209,SAMN19310867,simple,6239,Caenorhabditis elegans,GSM5331549,GEO,SRA1235449,05,2022,Makar,young adult,Empty_vector-4_mRNAseq,young adult,,Empty_vector,GSM5331549
SRR14624493,21500790,6450237000,150,1903,SRX10965449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043210,SAMN19310899,simple,6239,Caenorhabditis elegans,GSM5331550,GEO,SRA1235449,05,2022,Makar,young adult,E02H1.1-1_mRNAseq,young adult,,E02H1.1,GSM5331550
SRR14624494,21646531,6493959300,150,1891,SRX10965450,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP320955,PRJNA732080,1,"",SRS9043211,SAMN19310898,simple,6239,Caenorhabditis elegans,GSM5331551,GEO,SRA1235449,05,2022,Makar,young adult,E02H1.1-2_mRNAseq,young adult,,E02H1.1,GSM5331551
