Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,cell type,common name,developmental stage,disease,genotype,individual,organism part,phenotype,sample name,Experimental Factor: strain,Experimental Factor: library selection
ERR3403465,27588151,1406995701,51,654,ERX3427230,C1RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547448,SAMEA5744161,simple,9606,Homo sapiens,SAMEA5744161,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C1RPF,2019-11-29,2019-06-28,SAMEA5744161,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C1RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C1,lung,control cells naturally express no p53,E-MTAB-8100:C1RPF,p53-/-,size fractionation
ERR3403466,29148173,1486556823,51,710,ERX3427230,C1RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547448,SAMEA5744161,simple,9606,Homo sapiens,SAMEA5744161,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C1RPF,2019-11-29,2019-06-28,SAMEA5744162,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C1TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C1,lung,control cells naturally express no p53,E-MTAB-8100:C1TTr,p53-/-,random
ERR3403467,21789241,1111251291,51,536,ERX3427231,C1TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547449,SAMEA5744162,simple,9606,Homo sapiens,SAMEA5744162,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C1TTr,2019-11-29,2019-06-28,SAMEA5744163,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C2RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C2,lung,control cells naturally express no p53,E-MTAB-8100:C2RPF,p53-/-,size fractionation
ERR3403468,21993818,1121684718,51,544,ERX3427231,C1TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547449,SAMEA5744162,simple,9606,Homo sapiens,SAMEA5744162,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C1TTr,2019-11-29,2019-06-28,SAMEA5744164,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C2TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C2,lung,control cells naturally express no p53,E-MTAB-8100:C2TTr,p53-/-,random
ERR3403469,18628459,950051409,51,443,ERX3427232,C2RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547450,SAMEA5744163,simple,9606,Homo sapiens,SAMEA5744163,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C2RPF,2019-11-29,2019-06-28,SAMEA5744165,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C3RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C3,lung,control cells naturally express no p53,E-MTAB-8100:C3RPF,p53-/-,size fractionation
ERR3403470,19573404,998243604,51,478,ERX3427232,C2RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547450,SAMEA5744163,simple,9606,Homo sapiens,SAMEA5744163,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C2RPF,2019-11-29,2019-06-28,SAMEA5744166,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:C3TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53-/-,C3,lung,control cells naturally express no p53,E-MTAB-8100:C3TTr,p53-/-,random
ERR3403471,22702884,1157847084,51,559,ERX3427233,C2TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547451,SAMEA5744164,simple,9606,Homo sapiens,SAMEA5744164,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C2TTr,2019-11-29,2019-06-28,SAMEA5744167,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M1RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M1,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M1RPF,p53 R175H,size fractionation
ERR3403472,23030888,1174575288,51,570,ERX3427233,C2TTr_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547451,SAMEA5744164,simple,9606,Homo sapiens,SAMEA5744164,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C2TTr,2019-11-29,2019-06-28,SAMEA5744168,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M1TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M1,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M1TTr,p53 R175H,random
ERR3403473,11920376,607939176,51,284,ERX3427234,C3RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547452,SAMEA5744165,simple,9606,Homo sapiens,SAMEA5744165,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C3RPF,2019-11-29,2019-06-28,SAMEA5744169,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M2RPF,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M2,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M2RPF,p53 R175H,size fractionation
ERR3403474,12571901,641166951,51,307,ERX3427234,C3RPF_s,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP116020,PRJEB33244,1,"",ERS3547452,SAMEA5744165,simple,9606,Homo sapiens,SAMEA5744165,"MRC Toxicology Unit, University of Cambridge",ERA2022066,03,2021,Makar,"",C3RPF,2019-11-29,2019-06-28,SAMEA5744170,"MRC Toxicology Unit, University of Cambridge","MRC Toxicology Unit, University of Cambridge",2019-11-29T04:03:49Z,2019-06-28T12:18:10Z,public,E-MTAB-8100:M2TTr,ArrayExpress,H1299,lung cancer cell,human,adult,non-small cell lung carcinoma,p53 R175H,M2,lung,mutant cells over-express mutant (gain of function) p53,E-MTAB-8100:M2TTr,p53 R175H,random
