Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,biological_replicate,ecotype,genotype,sample_type
DRR255640,53029459,1837645023,34,792,DRX245358,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166426,SAMD00258761,simple,3702,Arabidopsis thaliana,SAMD00258761,KYOTO_SC,DRA011106,12,2020,Makar,"",Ribo-seq_WT_rep1,Ribo-seq_WT_rep1,1,Col-gl1,WT,Ribosome footprints
DRR255641,60864576,2145161510,35,874,DRX245359,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166427,SAMD00258762,simple,3702,Arabidopsis thaliana,SAMD00258762,KYOTO_SC,DRA011106,12,2020,Makar,"",Ribo-seq_WT_rep2,Ribo-seq_WT_rep2,2,Col-gl1,WT,Ribosome footprints
DRR255642,55434616,1923586815,34,828,DRX245360,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166428,SAMD00258763,simple,3702,Arabidopsis thaliana,SAMD00258763,KYOTO_SC,DRA011106,12,2020,Makar,"",Ribo-seq_pgr3-1_rep1,Ribo-seq_pgr3-1_rep1,1,Col-gl1,pgr3-1,Ribosome footprints
DRR255643,31495321,1111235861,35,458,DRX245361,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166429,SAMD00258764,simple,3702,Arabidopsis thaliana,SAMD00258764,KYOTO_SC,DRA011106,12,2020,Makar,"",Ribo-seq_pgr3-1_rep2,Ribo-seq_pgr3-1_rep2,2,Col-gl1,pgr3-1,Ribosome footprints
DRR255644,34281452,1176637978,34,509,DRX245362,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166430,SAMD00258765,simple,3702,Arabidopsis thaliana,SAMD00258765,KYOTO_SC,DRA011106,12,2020,Makar,"",Ribo-seq_pgr3-2_rep1,Ribo-seq_pgr3-2_rep1,1,Col-gl1,pgr3-2,Ribosome footprints
DRR255645,45575326,1602016181,35,657,DRX245363,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166431,SAMD00258766,simple,3702,Arabidopsis thaliana,SAMD00258766,KYOTO_SC,DRA011106,12,2020,Makar,"",Ribo-seq_pgr3-2_rep2,Ribo-seq_pgr3-2_rep2,2,Col-gl1,pgr3-2,Ribosome footprints
DRR255646,47051979,1624244245,34,703,DRX245364,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166432,SAMD00258767,simple,3702,Arabidopsis thaliana,SAMD00258767,KYOTO_SC,DRA011106,12,2020,Makar,"",Ribo-seq_pgr3-3_rep1,Ribo-seq_pgr3-3_rep1,1,Col-gl1,pgr3-3,Ribosome footprints
DRR255647,43686081,1518840054,34,628,DRX245365,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166433,SAMD00258768,simple,3702,Arabidopsis thaliana,SAMD00258768,KYOTO_SC,DRA011106,12,2020,Makar,"",Ribo-seq_pgr3-3_rep2,Ribo-seq_pgr3-3_rep2,2,Col-gl1,pgr3-3,Ribosome footprints
DRR255648,40190500,2009525000,50,677,DRX245366,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166434,SAMD00258769,simple,3702,Arabidopsis thaliana,SAMD00258769,KYOTO_SC,DRA011106,12,2020,Makar,"",RNA-seq_WT_rep1,RNA-seq_WT_rep1,1,Col-gl1,WT,Total RNA
DRR255649,40077903,2003895150,50,675,DRX245367,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,DRP006829,PRJDB10799,1,"",DRS166435,SAMD00258770,simple,3702,Arabidopsis thaliana,SAMD00258770,KYOTO_SC,DRA011106,12,2020,Makar,"",RNA-seq_WT_rep2,RNA-seq_WT_rep2,2,Col-gl1,WT,Total RNA
