Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age,genotype,tissue,GEO Accession
SRR15724816,28035068,2130665168,76,892,SRX12020175,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025052,SAMN21238214,simple,10090,Mus musculus,GSM5558058,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Wild-type Ribo-seq (run2_TC1_WT_Ribo_S1_L004)",neural tube,E11.5,C3HeB,neural tube,GSM5558058
SRR15724817,7957837,604795612,76,255,SRX12020176,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025053,SAMN21238215,simple,10090,Mus musculus,GSM5558059,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Wild-type Ribo-seq (run2_TC5_WT_Ribo_S2_L003)",neural tube,E11.5,C3HeB,neural tube,GSM5558059
SRR15724818,16036199,1218751124,76,524,SRX12020177,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025054,SAMN21238216,simple,10090,Mus musculus,GSM5558060,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Wild-type Ribo-seq (run2_TC6_WT_Ribo_S3_L002)",neural tube,E11.5,C3HeB,neural tube,GSM5558060
SRR15724819,13221935,1004867060,76,431,SRX12020178,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025055,SAMN21238217,simple,10090,Mus musculus,GSM5558061,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Mutant Ribo-seq (run2_TC1_mut_Ribo_S4_L002)",neural tube,E11.5,C3HeB/Eif3cXs-J/+,neural tube,GSM5558061
SRR15724820,7805562,593222712,76,261,SRX12020179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025056,SAMN21238218,simple,10090,Mus musculus,GSM5558062,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Mutant Ribo-seq (run1_TC5_mut_Ribo_S5_L002)",neural tube,E11.5,C3HeB/Eif3cXs-J/+,neural tube,GSM5558062
SRR15724821,8724887,663091412,76,293,SRX12020180,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025057,SAMN21238219,simple,10090,Mus musculus,GSM5558063,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Mutant Ribo-seq (run1_TC6_mut_Ribo_S6_L001)",neural tube,E11.5,C3HeB/Eif3cXs-J/+,neural tube,GSM5558063
SRR15724822,4397015,334173140,76,148,SRX12020181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025058,SAMN21238220,simple,10090,Mus musculus,GSM5558064,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Wild-type RNA-seq (run1_TC1_WT_RNA_S7_L001)",neural tube,E11.5,C3HeB,neural tube,GSM5558064
SRR15724823,6928500,526566000,76,225,SRX12020182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025059,SAMN21238221,simple,10090,Mus musculus,GSM5558065,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Wild-type RNA-seq (run2_TC5_WT_RNA_S8_L002)",neural tube,E11.5,C3HeB,neural tube,GSM5558065
SRR15724824,3750842,285063992,76,123,SRX12020183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025060,SAMN21238222,simple,10090,Mus musculus,GSM5558066,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Wild-type RNA-seq (run2_TC6_WT_RNA_S9_L001)",neural tube,E11.5,C3HeB,neural tube,GSM5558066
SRR15724825,6991712,531370112,76,224,SRX12020184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP335745,PRJNA760922,1,"",SRS10025061,SAMN21238223,simple,10090,Mus musculus,GSM5558067,GEO,SRA1289161,10,2021,Makar,neural tube,"neural tube, Mutant RNA-seq (run2_TC1_mut_RNA_S10_L003)",neural tube,E11.5,C3HeB/Eif3cXs-J/+,neural tube,GSM5558067
