Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,age,broker name,cell line,cell type,common name,developmental stage,environmental stress,genotype,growth condition,organism part,sample name,sex,strain,Experimental Factor: time,Experimental Factor: environmental stress,Experimental Factor: growth condition,Experimental Factor: cell line
ERR4579364,22626965,3416123870,75,1360,ERX4515021,Transcriptome_in vitro_hypoxia_siNCBP3_1_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055545,SAMEA7296980,simple,10116,Rattus norvegicus,SAMEA7296980,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_hypoxia_siNCBP3_1,2020-10-23,2020-09-09,SAMEA7296980,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_hypoxia_siNCBP3_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_hypoxia_siNCBP3_1,male,,24,severe hypoxia,in vitro,H9C2
ERR4579365,26620588,4019040269,75,1600,ERX4515022,Transcriptome_in vitro_hypoxia_siNCBP3_2_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055546,SAMEA7296981,simple,10116,Rattus norvegicus,SAMEA7296981,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_hypoxia_siNCBP3_2,2020-10-23,2020-09-09,SAMEA7296981,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_hypoxia_siNCBP3_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_hypoxia_siNCBP3_2,male,,24,severe hypoxia,in vitro,H9C2
ERR4579366,27160034,4100842547,75,1632,ERX4515023,Transcriptome_in vitro_MH_1_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055547,SAMEA7296982,simple,10116,Rattus norvegicus,SAMEA7296982,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_MH_1,2020-10-23,2020-09-09,SAMEA7296982,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_MH_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,mild hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_MH_1,male,,8,mild hypoxia,in vitro,H9C2
ERR4579367,28470798,4298695623,75,1711,ERX4515024,Transcriptome_in vitro_MH_2_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055548,SAMEA7296983,simple,10116,Rattus norvegicus,SAMEA7296983,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_MH_2,2020-10-23,2020-09-09,SAMEA7296983,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_MH_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,mild hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_MH_2,male,,8,mild hypoxia,in vitro,H9C2
ERR4579368,25284781,3817697035,75,1519,ERX4515025,Transcriptome_in vitro_NC_1_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055549,SAMEA7296984,simple,10116,Rattus norvegicus,SAMEA7296984,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_NC_1,2020-10-23,2020-09-09,SAMEA7296984,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_NC_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_NC_1,male,,0,normoxia,in vitro,H9C2
ERR4579369,25500156,3850209165,75,1532,ERX4515026,Transcriptome_in vitro_NC_2_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055550,SAMEA7296985,simple,10116,Rattus norvegicus,SAMEA7296985,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_NC_2,2020-10-23,2020-09-09,SAMEA7296985,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_NC_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_NC_2,male,,0,normoxia,in vitro,H9C2
ERR4579370,21065176,3180400472,75,1266,ERX4515027,Transcriptome_in vitro_normoxia_siNCBP3_1_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055551,SAMEA7296986,simple,10116,Rattus norvegicus,SAMEA7296986,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_normoxia_siNCBP3_1,2020-10-23,2020-09-09,SAMEA7296986,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_normoxia_siNCBP3_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_normoxia_siNCBP3_1,male,,0,normoxia,in vitro,H9C2
ERR4579371,23780030,3590271404,75,1429,ERX4515028,Transcriptome_in vitro_normoxia_siNCBP3_2_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055552,SAMEA7296987,simple,10116,Rattus norvegicus,SAMEA7296987,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_normoxia_siNCBP3_2,2020-10-23,2020-09-09,SAMEA7296987,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_normoxia_siNCBP3_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_normoxia_siNCBP3_2,male,,0,normoxia,in vitro,H9C2
ERR4579372,23097878,3487189620,75,1388,ERX4515029,Transcriptome_in vitro_SH_1_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055553,SAMEA7296988,simple,10116,Rattus norvegicus,SAMEA7296988,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_SH_1,2020-10-23,2020-09-09,SAMEA7296988,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_SH_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_SH_1,male,,24,severe hypoxia,in vitro,H9C2
ERR4579373,22813845,3444320839,75,1371,ERX4515030,Transcriptome_in vitro_SH_2_p,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055554,SAMEA7296989,simple,10116,Rattus norvegicus,SAMEA7296989,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Transcriptome_in vitro_SH_2,2020-10-23,2020-09-09,SAMEA7296989,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Transcriptome_in vitro_SH_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Transcriptome_in vitro_SH_2,male,,24,severe hypoxia,in vitro,H9C2
ERR4579374,22586833,3410006420,75,1357,ERX4515031,Translatome_in vitro_hypoxia_siNCBP3_1_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055555,SAMEA7296990,simple,10116,Rattus norvegicus,SAMEA7296990,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_hypoxia_siNCBP3_1,2020-10-23,2020-09-09,SAMEA7296990,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_hypoxia_siNCBP3_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_hypoxia_siNCBP3_1,male,,24,severe hypoxia,in vitro,H9C2
ERR4579375,23944260,3614958261,75,1439,ERX4515032,Translatome_in vitro_hypoxia_siNCBP3_2_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055556,SAMEA7296991,simple,10116,Rattus norvegicus,SAMEA7296991,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_hypoxia_siNCBP3_2,2020-10-23,2020-09-09,SAMEA7296991,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_hypoxia_siNCBP3_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,severe hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_hypoxia_siNCBP3_2,male,,24,severe hypoxia,in vitro,H9C2
ERR4579376,22978033,3469203350,75,1381,ERX4515033,Translatome_in vitro_MH_1_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055557,SAMEA7296992,simple,10116,Rattus norvegicus,SAMEA7296992,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_MH_1,2020-10-23,2020-09-09,SAMEA7296992,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_MH_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,mild hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_MH_1,male,,8,mild hypoxia,in vitro,H9C2
ERR4579377,23110612,3489211062,75,1389,ERX4515034,Translatome_in vitro_MH_2_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055558,SAMEA7296993,simple,10116,Rattus norvegicus,SAMEA7296993,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_MH_2,2020-10-23,2020-09-09,SAMEA7296993,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_MH_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,mild hypoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_MH_2,male,,8,mild hypoxia,in vitro,H9C2
ERR4579378,21931308,3311250550,75,1318,ERX4515035,Translatome_in vitro_NC_1_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055559,SAMEA7296994,simple,10116,Rattus norvegicus,SAMEA7296994,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_NC_1,2020-10-23,2020-09-09,SAMEA7296994,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_NC_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_NC_1,male,,0,normoxia,in vitro,H9C2
ERR4579379,24850966,3752002368,75,1493,ERX4515036,Translatome_in vitro_NC_2_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055560,SAMEA7296995,simple,10116,Rattus norvegicus,SAMEA7296995,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_NC_2,2020-10-23,2020-09-09,SAMEA7296995,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_NC_2,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_NC_2,male,,0,normoxia,in vitro,H9C2
ERR4579380,22628766,3416295781,75,1360,ERX4515037,Translatome_in vitro_normoxia_siNCBP3_1_p,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,ERP123908,PRJEB40288,1,"",ERS5055561,SAMEA7296996,simple,10116,Rattus norvegicus,SAMEA7296996,"Department of Cardiology, the Third Xiangya Hospital of Central South University",ERA2870665,10,2020,Makar,"",Translatome_in vitro_normoxia_siNCBP3_1,2020-10-23,2020-09-09,SAMEA7296996,"Department of Cardiology, the Third Xiangya Hospital of Central South University","Department of Cardiology, the Third Xiangya Hospital of Central South University",2020-10-23T04:04:07Z,2020-09-09T17:34:49Z,public,E-MTAB-9541:Translatome_in vitro_normoxia_siNCBP3_1,6 to 8,ArrayExpress,H9C2,cardiomyocyte,Norway rat,adult,normoxia,wild type genotype,in vitro,heart,E-MTAB-9541:Translatome_in vitro_normoxia_siNCBP3_1,male,,0,normoxia,in vitro,H9C2
