Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,antibody name,number of replicates,barcodes,shRNA,GEO Accession
SRR5515143,12483656,389731731,31,208,SRX2788508,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170072,SAMN06909554,simple,9606,Homo sapiens,GSM2602084,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 Control shRNA Ribo-seq rep 3,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,Control shRNA,GSM2602084
SRR5515129,21421702,1442207771,30,737,SRX2788509,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170073,SAMN06909552,simple,9606,Homo sapiens,GSM2602070,GEO,SRA560458,09,2017,Vu,MOLM13 poly(A) RNA,MOLM13 miCLIP rep 1,MOLM13 poly(A) RNA,Acute myeloid leukemia,Rabbit polyclonal anti-N6-methyladenosine (m6A) (Abcam #ab151230),3,NNNTTAGNN,,GSM2602070
SRR5515130,18149764,1144980129,28,598,SRX2788510,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170074,SAMN06909572,simple,9606,Homo sapiens,GSM2602071,GEO,SRA560458,09,2017,Vu,MOLM13 poly(A) RNA,MOLM13 miCLIP rep 2,MOLM13 poly(A) RNA,Acute myeloid leukemia,Rabbit polyclonal anti-N6-methyladenosine (m6A) (Abcam #ab151230),3,NNNGTAANN,,GSM2602071
SRR5515131,18957250,1230849401,29,635,SRX2788511,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170076,SAMN06909571,simple,9606,Homo sapiens,GSM2602072,GEO,SRA560458,09,2017,Vu,MOLM13 poly(A) RNA,MOLM13 miCLIP rep 3,MOLM13 poly(A) RNA,Acute myeloid leukemia,Rabbit polyclonal anti-N6-methyladenosine (m6A) (Abcam #ab151230),3,NNNTGGCNN,,GSM2602072
SRR5515132,3763533,188539397,50,89,SRX2788512,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170075,SAMN06909570,simple,9606,Homo sapiens,GSM2602073,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #9 RNAseq rep 1,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #9,GSM2602073
SRR5515133,6719889,336258419,50,159,SRX2788513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170077,SAMN06909569,simple,9606,Homo sapiens,GSM2602074,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #9 RNAseq rep 2,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #9,GSM2602074
SRR5515134,5294646,264930239,50,126,SRX2788514,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170078,SAMN06909568,simple,9606,Homo sapiens,GSM2602075,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 METTL3 shRNA #9 RNAseq rep 3,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,METTL3 shRNA #9,GSM2602075
SRR5515135,14932954,748492418,50,351,SRX2788515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170079,SAMN06909567,simple,9606,Homo sapiens,GSM2602076,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 Control shRNA RNAseq rep 1,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,Control shRNA,GSM2602076
SRR5515136,8783909,440066136,50,206,SRX2788516,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170080,SAMN06909565,simple,9606,Homo sapiens,GSM2602077,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 Control shRNA RNAseq rep 2,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,Control shRNA,GSM2602077
SRR5515137,5665378,283668290,50,134,SRX2788517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP106608,PRJNA385767,28920958,"",SRS2170081,SAMN06909564,simple,9606,Homo sapiens,GSM2602078,GEO,SRA560458,09,2017,Vu,MOLM13 ribosome-depleted RNA,MOLM13 Control shRNA RNAseq rep 3,MOLM13 ribosome-depleted RNA,Acute myeloid leukemia,NA,3,NA,Control shRNA,GSM2602078
