Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype
SRR22085484,63833320,2296475839,35,963,SRX18065582,GSM6696314,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571146,SAMN31510074,simple,4932,Saccharomyces cerevisiae,GSM6696314,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,Ribo_WT_Replicate_1,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22085483,53003948,1846518011,34,777,SRX18065583,GSM6696315,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571148,SAMN31510073,simple,4932,Saccharomyces cerevisiae,GSM6696315,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,Ribo_WT_Replicate_2,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22085482,87584212,2990964745,34,1258,SRX18065584,GSM6696316,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571147,SAMN31510072,simple,4932,Saccharomyces cerevisiae,GSM6696316,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,Ribo_dcp2D_Replicate_1,Whole cells,"W303 F2150 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2delta::HIS3)"
SRR22085481,122248143,12224814300,50,3541,SRX18065585,GSM6696337,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571149,SAMN31510051,simple,4932,Saccharomyces cerevisiae,GSM6696337,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,T_RNA_xrn1D_Replicate_2,Whole cells,"W303 F2282 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 xrn1delta::ADE2)"
SRR22085480,40540934,1436401767,35,611,SRX18065586,GSM6696317,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571150,SAMN31510071,simple,4932,Saccharomyces cerevisiae,GSM6696317,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,Ribo_dcp2D_Replicate_2,Whole cells,"W303 F2150 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2delta::HIS3)"
SRR22085479,53052890,1853050576,34,787,SRX18065587,GSM6696318,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571151,SAMN31510070,simple,4932,Saccharomyces cerevisiae,GSM6696318,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,Ribo_dcp2-EE_Replicate_1,Whole cells,"W303 AKV022 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2-E149Q E153Q)"
SRR22085478,18171540,623359862,34,272,SRX18065588,GSM6696319,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571152,SAMN31510069,simple,4932,Saccharomyces cerevisiae,GSM6696319,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,Ribo_dcp2-EE_Replicate_2,Whole cells,"W303 AKV022 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2-E149Q E153Q)"
SRR22085477,57029030,1729089912,30,788,SRX18065589,GSM6696320,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571153,SAMN31510068,simple,4932,Saccharomyces cerevisiae,GSM6696320,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,RNA_WT_Replicate_1,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22085476,64057947,1996282399,31,898,SRX18065590,GSM6696321,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571154,SAMN31510067,simple,4932,Saccharomyces cerevisiae,GSM6696321,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,RNA_WT_Replicate_2,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)"
SRR22085475,39497989,1225649386,31,559,SRX18065591,GSM6696322,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP405122,PRJNA895461,36711592,"",SRS15571155,SAMN31510066,simple,4932,Saccharomyces cerevisiae,GSM6696322,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1530172,02,2023,Vijjamarri,Whole cells,RNA_dcp2D_Replicate_1,Whole cells,"W303 F2150 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100 dcp2delta::HIS3)"
