Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,group,batch,Sex,GEO Accession
SRR12536469,24805260,7491188520,151,3186,SRX9026215,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277651,SAMN15927367,simple,10090,Mus musculus,GSM4750963,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,1,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,2,female,GSM4750963
SRR12536470,19986249,6035847198,151,2608,SRX9026216,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277652,SAMN15927415,simple,10090,Mus musculus,GSM4750964,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,4,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,5,female,GSM4750964
SRR12536471,21742564,6566254328,151,2799,SRX9026217,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277653,SAMN15927414,simple,10090,Mus musculus,GSM4750965,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,5,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,5,female,GSM4750965
SRR12536472,21776342,6576455284,151,2815,SRX9026218,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277654,SAMN15927413,simple,10090,Mus musculus,GSM4750966,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,8,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,1,female,GSM4750966
SRR12536473,26259378,7930332156,151,3407,SRX9026219,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277655,SAMN15927412,simple,10090,Mus musculus,GSM4750967,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,9,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,1,female,GSM4750967
SRR12536474,26290068,7939600536,151,3430,SRX9026220,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277656,SAMN15927411,simple,10090,Mus musculus,GSM4750968,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,10,CRH TRAPSeq,Crh-TRAP,Central Amygdala,TA,1,female,GSM4750968
SRR12536475,23229118,7015193636,151,3029,SRX9026221,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277657,SAMN15927410,simple,10090,Mus musculus,GSM4750969,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,12,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,5,female,GSM4750969
SRR12536476,23854914,7204184028,151,3103,SRX9026222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277658,SAMN15927408,simple,10090,Mus musculus,GSM4750970,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,13,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,5,female,GSM4750970
SRR12536477,24822918,7496521236,151,3253,SRX9026223,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277659,SAMN15927407,simple,10090,Mus musculus,GSM4750971,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,16,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,1,female,GSM4750971
SRR12536478,24921385,7526258270,151,3185,SRX9026224,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1000,SRP279108,PRJNA659794,33057013,"",SRS7277660,SAMN15927406,simple,10090,Mus musculus,GSM4750972,GEO,SRA1118235,09,2020,McCullough,CRH TRAPSeq,17,CRH TRAPSeq,Crh-TRAP,Central Amygdala,FC,1,female,GSM4750972
