Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,sample_name,biomaterial_provider,cell_line,genetic_modification,growth_condition,biological_replicate
DRR277015,19006545,572133867,30,222,DRX266599,40S eIF3D-V5 Sel-TCP-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179360,SAMD00283266,simple,9606,Homo sapiens,SAMD00283266,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF3D-V5 eIF4E-3_FLAG double knock-in HEK293T,eIF3D-V5 eIF4E-3_FLAG double knock-in HEK293T,ATCC,HEK293T,eIF3D-V5 eIF4E-3_FLAG double knock-in,Normal,
DRR277016,15374210,461880716,30,186,DRX266600,40S eIF3D-V5 Sel-TCP-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179360,SAMD00283266,simple,9606,Homo sapiens,SAMD00283266,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF3D-V5 eIF4E-3_FLAG double knock-in HEK293T,eIF3D-V5 eIF4E-3_FLAG double knock-in HEK293T,ATCC,HEK293T,eIF3D-V5 eIF4E-3_FLAG double knock-in,Normal,
DRR277017,17135762,557987305,32,210,DRX266601,40S eIF3B Sel-TCP-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277018,15448720,535321938,34,198,DRX266602,40S eIF3B Sel-TCP-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277019,21908452,2212753652,101,642,DRX266603,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179360,SAMD00283266,simple,9606,Homo sapiens,SAMD00283266,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF3D-V5 eIF4E-3_FLAG double knock-in HEK293T,eIF3D-V5 eIF4E-3_FLAG double knock-in HEK293T,ATCC,HEK293T,eIF3D-V5 eIF4E-3_FLAG double knock-in,Normal,
DRR277020,23621301,2385751401,101,692,DRX266604,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179360,SAMD00283266,simple,9606,Homo sapiens,SAMD00283266,KYUSH-MIB,DRA011626,04,2021,Makar,"",eIF3D-V5 eIF4E-3_FLAG double knock-in HEK293T,eIF3D-V5 eIF4E-3_FLAG double knock-in HEK293T,ATCC,HEK293T,eIF3D-V5 eIF4E-3_FLAG double knock-in,Normal,
DRR277021,22662051,2288867151,101,661,DRX266605,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277022,22461947,2268656647,101,657,DRX266606,RNA-seq,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277023,51445285,1269538088,24,536,DRX266607,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277024,52552922,1309694660,24,551,DRX266608,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
DRR277025,27733936,676156622,24,298,DRX266609,Ribo-seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,DRP007154,PRJDB11308,1,"",DRS179359,SAMD00283265,simple,9606,Homo sapiens,SAMD00283265,KYUSH-MIB,DRA011626,04,2021,Makar,"",WT HEK293T,WT HEK293T,ATCC,HEK293T,WT,Normal,
