Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,time,stress,treatment,geo_loc_name,collection_date
SRR20776132,21300564,6390169200,150,1831,SRX16795959,GSM6429569,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421744,SAMN30118408,simple,10090,Mus musculus,GSM6429569,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, Sham, Vehicle, #1 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,Sham,Vehicle,missing,missing
SRR20776131,21571604,6471481200,150,1856,SRX16795960,GSM6429570,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421743,SAMN30118407,simple,10090,Mus musculus,GSM6429570,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, Sham, Vehicle, #2 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,Sham,Vehicle,missing,missing
SRR20776130,27282049,8184614700,150,2381,SRX16795961,GSM6429571,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421745,SAMN30118406,simple,10090,Mus musculus,GSM6429571,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, Sham, Vehicle, #3 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,Sham,Vehicle,missing,missing
SRR20776129,24881994,7464598200,150,2158,SRX16795962,GSM6429572,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421746,SAMN30118405,simple,10090,Mus musculus,GSM6429572,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, Sham, Vehicle, #4 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,Sham,Vehicle,missing,missing
SRR20776128,23678673,7103601900,150,2055,SRX16795963,GSM6429573,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421747,SAMN30118404,simple,10090,Mus musculus,GSM6429573,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #1 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20776127,25774450,7732335000,150,2225,SRX16795964,GSM6429574,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421748,SAMN30118403,simple,10090,Mus musculus,GSM6429574,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #2 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20776126,27594464,8278339200,150,2405,SRX16795965,GSM6429575,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421749,SAMN30118402,simple,10090,Mus musculus,GSM6429575,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #3 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20776125,21165272,6349581600,150,1819,SRX16795966,GSM6429576,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421750,SAMN30118401,simple,10090,Mus musculus,GSM6429576,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #4 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20776124,24065225,7219567500,150,2105,SRX16795967,GSM6429577,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421752,SAMN30118400,simple,10090,Mus musculus,GSM6429577,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #5 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20776123,26327017,7898105100,150,2272,SRX16795968,GSM6429578,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421751,SAMN30118399,simple,10090,Mus musculus,GSM6429578,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #6 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20776122,26967031,8090109300,150,2317,SRX16795969,GSM6429579,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421753,SAMN30118398,simple,10090,Mus musculus,GSM6429579,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #1 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20776121,24571520,7371456000,150,2122,SRX16795970,GSM6429580,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421755,SAMN30118397,simple,10090,Mus musculus,GSM6429580,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #2 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20776120,24826741,7448022300,150,2141,SRX16795971,GSM6429581,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421754,SAMN30118396,simple,10090,Mus musculus,GSM6429581,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #3 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20776119,24630904,7389271200,150,2127,SRX16795972,GSM6429582,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421756,SAMN30118395,simple,10090,Mus musculus,GSM6429582,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #4 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20776118,28122869,8436860700,150,2417,SRX16795973,GSM6429583,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421757,SAMN30118394,simple,10090,Mus musculus,GSM6429583,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #5 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20776117,26909133,8072739900,150,2326,SRX16795974,GSM6429584,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389619,PRJNA865556,37125768,"",SRS14421758,SAMN30118393,simple,10090,Mus musculus,GSM6429584,"Dr. Adam Wende, Pathology, UAB",SRA1468305,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #6 (RNA-seq)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
