Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue/cell type,strain,genotype,gender,GEO Accession
SRR5863596,8436659,860539218,51,384,SRX3032115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380960,SAMN07411353,simple,10090,Mus musculus,GSM2716788,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN1,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716788
SRR5863597,8422301,859074702,51,384,SRX3032115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380960,SAMN07411353,simple,10090,Mus musculus,GSM2716788,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN1,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716789
SRR5863598,7801501,795753102,51,374,SRX3032115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380960,SAMN07411353,simple,10090,Mus musculus,GSM2716788,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN1,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716790
SRR5863599,8946980,912591960,51,417,SRX3032115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380960,SAMN07411353,simple,10090,Mus musculus,GSM2716788,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN1,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716791
SRR5863600,8026219,818674338,51,380,SRX3032115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380960,SAMN07411353,simple,10090,Mus musculus,GSM2716788,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN1,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716792
SRR5863601,8954684,913377768,51,418,SRX3032115,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380960,SAMN07411353,simple,10090,Mus musculus,GSM2716788,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN1,Hippocampus,Hippocampus,C57BL/6,WT,male,GSM2716793
SRR5863602,8686387,886011474,51,396,SRX3032116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380961,SAMN07411352,simple,10090,Mus musculus,GSM2716789,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN2,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716794
SRR5863603,8673370,884683740,51,395,SRX3032116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380961,SAMN07411352,simple,10090,Mus musculus,GSM2716789,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN2,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716795
SRR5863604,7950369,810937638,51,380,SRX3032116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380961,SAMN07411352,simple,10090,Mus musculus,GSM2716789,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN2,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716796
SRR5863605,9203449,938751798,51,429,SRX3032116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380961,SAMN07411352,simple,10090,Mus musculus,GSM2716789,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN2,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716797
SRR5863606,8195366,835927332,51,387,SRX3032116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380961,SAMN07411352,simple,10090,Mus musculus,GSM2716789,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN2,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716798
SRR5863607,9207088,939122976,51,430,SRX3032116,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380961,SAMN07411352,simple,10090,Mus musculus,GSM2716789,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN2,Hippocampus,Hippocampus,C57BL/6,Fmr1 KO,male,GSM2716799
SRR5863608,8296373,846230046,51,380,SRX3032117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380962,SAMN07411351,simple,10090,Mus musculus,GSM2716790,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN3,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716800
SRR5863609,8270196,843559992,51,378,SRX3032117,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113494,PRJNA395590,28772121,"",SRS2380962,SAMN07411351,simple,10090,Mus musculus,GSM2716790,GEO,SRA590793,08,2017,Thomson,Hippocampus,WT_IN3,CA1 pyramidal cells,CA1 pyramidal cells,C57BL/6,WT,male,GSM2716801
