Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,antibody,phase,GEO Accession
SRR3284443,19267535,963376750,50,441,SRX1655601,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355994,SAMN04574676,simple,10029,Cricetulus griseus,GSM2096519,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep1_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096519
SRR3284444,18937354,946867700,50,433,SRX1655601,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355994,SAMN04574676,simple,10029,Cricetulus griseus,GSM2096519,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep1_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096520
SRR3284445,20498949,1024947450,50,464,SRX1655602,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355993,SAMN04574677,simple,10029,Cricetulus griseus,GSM2096520,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep2_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096521
SRR3284446,20661144,1033057200,50,468,SRX1655602,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355993,SAMN04574677,simple,10029,Cricetulus griseus,GSM2096520,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep2_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096522
SRR3284447,19344182,967209100,50,445,SRX1655603,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355992,SAMN04574678,simple,10029,Cricetulus griseus,GSM2096521,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep3_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096523
SRR3284448,19478186,973909300,50,448,SRX1655603,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355992,SAMN04574678,simple,10029,Cricetulus griseus,GSM2096521,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep3_RNAseq,Chinese hamster ovary cells,CS13-1.0,IgG,Exponential phase,GSM2096524
SRR3284449,16458421,822921050,50,363,SRX1655604,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355991,SAMN04574679,simple,10029,Cricetulus griseus,GSM2096522,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep1_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096525
SRR3284450,16570003,828500150,50,366,SRX1655604,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355991,SAMN04574679,simple,10029,Cricetulus griseus,GSM2096522,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep1_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096526
SRR3284451,14975217,748760850,50,335,SRX1655605,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355990,SAMN04574680,simple,10029,Cricetulus griseus,GSM2096523,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep2_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096527
SRR3284452,15087936,754396800,50,337,SRX1655605,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP072205,PRJNA316065,28091612,"",SRS1355990,SAMN04574680,simple,10029,Cricetulus griseus,GSM2096523,GEO,SRA392885,12,2016,Kallehauge,Chinese hamster ovary cells,Day3_rep2_RiboSeq,Chinese hamster ovary cells,CS13-1.0,IgG,Stationary phase,GSM2096528
