Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,genetic background,cell line,extracted molecule,extract_protocol,GEO Accession
SRR3296795,24253357,524612716,21,291,SRX1663373,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362554,SAMN04580386,simple,4932,Saccharomyces cerevisiae,GSM2099049,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,wt_control1,Saccharomyces cerevisiae,p416GPDp-GFP-FLAG-HIS3,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099049
SRR3296796,27395024,638341156,23,349,SRX1663374,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362553,SAMN04580387,simple,4932,Saccharomyces cerevisiae,GSM2099050,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,wt_control2,Saccharomyces cerevisiae,p416GPDp-GFP-FLAG-HIS3,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099050
SRR3296797,45219392,1104150782,24,597,SRX1663375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362552,SAMN04580388,simple,4932,Saccharomyces cerevisiae,GSM2099051,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,wt_R12,Saccharomyces cerevisiae,p416GPDp-GFP-R12-FLAG-HIS3,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099051
SRR3296798,28004052,639719155,22,352,SRX1663376,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362550,SAMN04580389,simple,4932,Saccharomyces cerevisiae,GSM2099052,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,rqt1_control1,Saccharomyces cerevisiae,p416GPDp-GFP-FLAG-HIS3,"MATa ade2 his3 leu2 trp1 ura3 can1, hel2∆::natMX4",hel2-delta,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099052
SRR3296799,31092119,700634738,22,388,SRX1663377,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362551,SAMN04580390,simple,4932,Saccharomyces cerevisiae,GSM2099053,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,rqt1_control2,Saccharomyces cerevisiae,p416GPDp-GFP-FLAG-HIS3,"MATa ade2 his3 leu2 trp1 ura3 can1, hel2∆::natMX4",hel2-delta,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099053
SRR3296800,73830111,1859183979,25,835,SRX1663378,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362549,SAMN04580391,simple,4932,Saccharomyces cerevisiae,GSM2099054,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,rqt1_R12,Saccharomyces cerevisiae,p416GPDp-GFP-R12-FLAG-HIS3,"MATa ade2 his3 leu2 trp1 ura3 can1, hel2∆::natMX4",hel2-delta,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099054
SRR3296801,20482720,470695048,22,254,SRX1663379,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362548,SAMN04580392,simple,4932,Saccharomyces cerevisiae,GSM2099055,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,rqt2_control1,Saccharomyces cerevisiae,p416GPDp-GFP-FLAG-HIS3,"MATa ade2 his3 leu2 trp1 ura3 can1, rqt2∆::natMX4",rqt2-delta,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099055
SRR3296802,33234627,731567879,22,400,SRX1663380,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362547,SAMN04580393,simple,4932,Saccharomyces cerevisiae,GSM2099056,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,rqt2_control2,Saccharomyces cerevisiae,p416GPDp-GFP-FLAG-HIS3,"MATa ade2 his3 leu2 trp1 ura3 can1, rqt2∆::natMX4",rqt2-delta,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099056
SRR3296803,47169195,1008037525,21,555,SRX1663381,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362546,SAMN04580394,simple,4932,Saccharomyces cerevisiae,GSM2099057,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,rqt2_R12,Saccharomyces cerevisiae,p416GPDp-GFP-R12-FLAG-HIS3,"MATa ade2 his3 leu2 trp1 ura3 can1, rqt2∆::natMX4",rqt2-delta,total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099057
SRR3296804,22204693,510270075,22,276,SRX1663382,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP072363,PRJNA316463,28757607,"",SRS1362542,SAMN04580395,simple,4932,Saccharomyces cerevisiae,GSM2099058,GEO,SRA396941,07,2017,Matsuo,Saccharomyces cerevisiae,us10kr_control1,Saccharomyces cerevisiae,p416GPDp-GFP-FLAG-HIS3,"MATa ade2 his3 leu2 trp1 ura3 can1, rps20::natMX4, p415-rps20K6/8R","rps20-delta, p415-RpS20K6/8R",total RNA,"Rnase I footprinting, ribosome pelleting, RNA extraction",GSM2099058
