Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,primer set,GEO Accession
SRR1520311,46754278,1328025573,28,901,SRX657360,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662551,SAMN02927606,simple,4932,Saccharomyces cerevisiae,GSM1439584,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,unstressed_noCHX,cultured cell suspension,BY4741,Set #1,GSM1439584
SRR1520312,3811691,104087485,27,70,SRX657361,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662552,SAMN02927607,simple,4932,Saccharomyces cerevisiae,GSM1439585,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,unstressed_1/64x_CHX,cultured cell suspension,BY4741,Set #2,GSM1439585
SRR1520313,12773317,354186373,27,241,SRX657362,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662553,SAMN02927608,simple,4932,Saccharomyces cerevisiae,GSM1439586,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,unstressed_1/16x_CHX,cultured cell suspension,BY4741,Set #1,GSM1439586
SRR1520314,11953877,334892372,28,231,SRX657363,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662554,SAMN02927609,simple,4932,Saccharomyces cerevisiae,GSM1439587,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,unstressed_1/4x_CHX,cultured cell suspension,BY4741,Set #1,GSM1439587
SRR1520315,11951288,331331228,27,219,SRX657364,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662555,SAMN02927610,simple,4932,Saccharomyces cerevisiae,GSM1439588,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,unstressed_1x_CHX,cultured cell suspension,BY4741,Set #1,GSM1439588
SRR1520316,13414878,367825364,27,251,SRX657365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662556,SAMN02927611,simple,4932,Saccharomyces cerevisiae,GSM1439589,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,unstressed_8x_CHX,cultured cell suspension,BY4741,Set #1,GSM1439589
SRR1520317,21341160,592851711,27,456,SRX657366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662557,SAMN02927612,simple,4932,Saccharomyces cerevisiae,GSM1439590,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,unstressed_100x_CHX_rep1,cultured cell suspension,BY4741,Set #2,GSM1439590
SRR1520318,23902638,661176405,27,507,SRX657367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662558,SAMN02927613,simple,4932,Saccharomyces cerevisiae,GSM1439591,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,unstressed_100x_CHX_rep2,cultured cell suspension,BY4741,Set #2,GSM1439591
SRR1520319,16350786,455043995,27,281,SRX657368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662559,SAMN02927614,simple,4932,Saccharomyces cerevisiae,GSM1439592,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,oxidative_noCHX,cultured cell suspension,BY4741,Set #1,GSM1439592
SRR1520320,6895018,187666883,27,122,SRX657369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044649,PRJNA255669,25056308,"",SRS662560,SAMN02927615,simple,4932,Saccharomyces cerevisiae,GSM1439593,GEO,SRA176056,08,2014,Gerashchenko,cultured cell suspension,oxidative_1/64x_CHX,cultured cell suspension,BY4741,Set #2,GSM1439593
