Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,geo_loc_name,tissue,replicate,assay types,BioSampleModel
SRR23951095,22886699,6866009700,150,2048,SRX19759887,RNAseq-wt-1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125059,SAMN33874597,simple,3701,Arabidopsis,RNAseq-wt-1,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RNAseq-wt-1,RNAseq,Plant
SRR23951094,23866902,7160070600,150,2129,SRX19759888,RNAseq-wt-2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125060,SAMN33874598,simple,3701,Arabidopsis,RNAseq-wt-2,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RNAseq-wt-2,RNAseq,Plant
SRR23951093,66412194,19923658200,150,9133,SRX19759889,RiboSeq-fpb1-1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125061,SAMN33874607,simple,3701,Arabidopsis,RiboSeq-fpb1-1,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RiboSeq-fpb1-1,RiboSeq,Plant
SRR23951092,80579990,24173997000,150,11271,SRX19759890,RiboSeq-fpb1-2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125062,SAMN33874608,simple,3701,Arabidopsis,RiboSeq-fpb1-2,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RiboSeq-fpb1-2,RiboSeq,Plant
SRR23951091,62762384,18828715200,150,8582,SRX19759891,RiboSeq-pam68-1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125063,SAMN33874609,simple,3701,Arabidopsis,RiboSeq-pam68-1,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RiboSeq-pam68-1,RiboSeq,Plant
SRR23951090,59739942,17921982600,150,8189,SRX19759892,RiboSeq-pam68-2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125064,SAMN33874610,simple,3701,Arabidopsis,RiboSeq-pam68-2,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RiboSeq-pam68-2,RiboSeq,Plant
SRR23951089,63939014,19181704200,150,8790,SRX19759893,RiboSeq-lpa1-1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125065,SAMN33874611,simple,3701,Arabidopsis,RiboSeq-lpa1-1,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RiboSeq-lpa1-1,RiboSeq,Plant
SRR23951088,75494223,22648266900,150,10339,SRX19759894,RiboSeq-lpa1-2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125066,SAMN33874612,simple,3701,Arabidopsis,RiboSeq-lpa1-2,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RiboSeq-lpa1-2,RiboSeq,Plant
SRR23951087,51829965,15548989500,150,4796,SRX19759895,RiboSeq-WT-3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125067,SAMN33874613,simple,3701,Arabidopsis,RiboSeq-WT-3,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RiboSeq-WT-3,RiboSeq,Plant
SRR23951086,50185676,15055702800,150,4677,SRX19759896,RiboSeq-fpb1-3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,COMPLETE_GENOMICS,Complete Genomics,SRP429001,PRJNA948060,1,"",SRS17125068,SAMN33874614,simple,3701,Arabidopsis,RiboSeq-fpb1-3,Shanghai Normal University,SRA1609942,04,2023,Makar,"","",Columbia,4-week-old,not collected,leaf,RiboSeq-fpb1-3,RiboSeq,Plant
