Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,experiment type,genotype,rip antibody,GEO Accession
SRR9019683,8343048,425495448,51,289,SRX5797779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728923,SAMN11583009,simple,9606,Homo sapiens,GSM3753501,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq wt (RP_wt), run 1",Human embryonic kidney,HEK293T,Ribo-Seq,wild type,,GSM3753501
SRR9019684,8435344,430202544,51,291,SRX5797780,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728924,SAMN11583008,simple,9606,Homo sapiens,GSM3753502,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq wt (RP_wt), run 2",Human embryonic kidney,HEK293T,Ribo-Seq,wild type,,GSM3753502
SRR9019685,52411879,6551484875,125,3628,SRX5797781,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728925,SAMN11583004,simple,9606,Homo sapiens,GSM3753503,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq wt (RP_wt), run 3",Human embryonic kidney,HEK293T,Ribo-Seq,wild type,,GSM3753503
SRR9019686,51100748,2606138148,51,1738,SRX5797782,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728926,SAMN11583002,simple,9606,Homo sapiens,GSM3753504,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq wt (RP_tot_wt), run 1",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,wild type,,GSM3753504
SRR9019687,51831733,2643418383,51,1757,SRX5797783,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728927,SAMN11583001,simple,9606,Homo sapiens,GSM3753505,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq wt (RP_tot_wt), run 2",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,wild type,,GSM3753505
SRR9019688,17339802,1213786140,70,465,SRX5797784,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728928,SAMN11583000,simple,9606,Homo sapiens,GSM3753506,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq wt+HA (RP_wt_HA), run 1",Human embryonic kidney,HEK293T,Ribo-Seq,wild type+HA,,GSM3753507
SRR9019689,21627638,1103009538,51,734,SRX5797785,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728929,SAMN11582999,simple,9606,Homo sapiens,GSM3753507,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq wt+HA (RP_wt_HA), run 2",Human embryonic kidney,HEK293T,Ribo-Seq,wild type+HA,,GSM3753509
SRR9019690,27270107,1908907490,70,731,SRX5797786,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728930,SAMN11582998,simple,9606,Homo sapiens,GSM3753508,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq wt+HA (RP_tot_wt_HA), run 1",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,wild type+HA,,GSM3753511
SRR9019691,11661121,594717171,51,393,SRX5797787,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP195632,PRJNA541324,31944153,"",SRS4728931,SAMN11582997,simple,9606,Homo sapiens,GSM3753509,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Size-matched RNA-Seq wt+HA (RP_tot_wt_HA), run 2",Human embryonic kidney,HEK293T,Size-matched RNA-Seq,wild type+HA,,GSM3753513
SRR9019692,25594483,1791613810,70,688,SRX5797788,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP195632,PRJNA541324,31944153,"",SRS4728932,SAMN11582996,simple,9606,Homo sapiens,GSM3753510,GEO,SRA883373,01,2020,Lyabin,Human embryonic kidney,"Ribo-Seq wt+HA-YB-1 (RP_wt_YB1), run 1",Human embryonic kidney,HEK293T,Ribo-Seq,wild type+HA-YB-1,,GSM3753514
