Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genetic background,genotype,antibody,cell type,treatment,GEO Accession
SRR15070630,27155879,1059079281,39,390,SRX11380691,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425562,SAMN20121766,simple,10090,Mus musculus,GSM5430372,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of NRDE2 in wt mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,"wt, 3A-tagged Nrde2","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430372
SRR15070631,28712760,1091084880,38,387,SRX11380692,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425563,SAMN20121765,simple,10090,Mus musculus,GSM5430373,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of NRDE2 in wt mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,"wt, 3A-tagged Nrde2","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430373
SRR15070632,31192488,1216507032,39,443,SRX11380693,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425564,SAMN20121764,simple,10090,Mus musculus,GSM5430374,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of NRDE2d200 in mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,"N-terminal 200 amino acid deletion of Nrde2, 3A-tagged Nrde2","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430374
SRR15070633,29129480,1106920240,38,401,SRX11380694,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425565,SAMN20121763,simple,10090,Mus musculus,GSM5430375,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of NRDE2d200 in mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,"N-terminal 200 amino acid deletion of Nrde2, 3A-tagged Nrde2","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430375
SRR15070635,29006814,1073252118,37,384,SRX11380695,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425566,SAMN20121762,simple,10090,Mus musculus,GSM5430376,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of NRDE2D174R in mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,"Nrde2 D174R mutation, 3A-tagged Nrde2","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430376
SRR15070636,25103186,903714696,36,323,SRX11380696,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425567,SAMN20121761,simple,10090,Mus musculus,GSM5430377,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of NRDE2D174R in mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,"Nrde2 D174R mutation, 3A-tagged Nrde2","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430377
SRR15070637,32960263,1219529731,37,434,SRX11380697,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425568,SAMN20121760,simple,10090,Mus musculus,GSM5430378,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of MTREX in wt mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,"wt, 3A-tagged Mtrex","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430378
SRR15070638,31378554,1129627944,36,408,SRX11380698,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425569,SAMN20121787,simple,10090,Mus musculus,GSM5430379,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of MTREX in wt mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,"wt, 3A-tagged Mtrex","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430379
SRR15070639,29040463,1074497131,37,393,SRX11380699,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425570,SAMN20121786,simple,10090,Mus musculus,GSM5430380,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of CCDC174 in wt mES cells, replicate 1",embryonic stem (ES) cells,hybrid 129-C57BL/6,"wt, 3A-tagged Ccdc174","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430380
SRR15070640,28586555,1029115980,36,378,SRX11380700,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP327516,PRJNA744888,37137667,"",SRS9425571,SAMN20121785,simple,10090,Mus musculus,GSM5430381,GEO,SRA1256467,05,2023,Flemr,embryonic stem (ES) cells,"BCLIPseq of CCDC174 in wt mES cells, replicate 2",embryonic stem (ES) cells,hybrid 129-C57BL/6,"wt, 3A-tagged Ccdc174","anti FLAG (Sigma F1804), M280 Streptavidin Dynabeads (ThermoFisher 11206D)",,,GSM5430381
