Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,breed,broker name,cell line,cell type,common name,organism part,sample name,Experimental Factor: infect,Experimental Factor: compound,Experimental Factor: dose
ERR2528907,14307741,1087388316,76,399,ERX2547744,Sample 10_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410782,SAMEA4590062,simple,9796,Equus caballus,SAMEA4590062,ERA1318702,07,2018,Makar,"",Sample 10,2018-05-15,2018-04-17,SAMEA4590062,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 10,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 10,Berne virus,Harringtonine,2
ERR2528908,32539697,2473016956,76,849,ERX2547745,Sample 1_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410783,SAMEA4590063,simple,9796,Equus caballus,SAMEA4590063,ERA1318702,07,2018,Makar,"",Sample 1,2018-05-15,2018-04-17,SAMEA4590063,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 1,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 1,Berne virus,none,
ERR2528909,32365237,2459757997,76,862,ERX2547746,Sample 2_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410784,SAMEA4590064,simple,9796,Equus caballus,SAMEA4590064,ERA1318702,07,2018,Makar,"",Sample 2,2018-05-15,2018-04-17,SAMEA4590064,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 2,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 2,Berne virus,none,
ERR2528910,27720458,2106754808,76,843,ERX2547747,Sample 3_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410785,SAMEA4590065,simple,9796,Equus caballus,SAMEA4590065,ERA1318702,07,2018,Makar,"",Sample 3,2018-05-15,2018-04-17,SAMEA4590065,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 3,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 3,none,none,
ERR2528911,27618945,2099039820,76,835,ERX2547748,Sample 4_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410786,SAMEA4590066,simple,9796,Equus caballus,SAMEA4590066,ERA1318702,07,2018,Makar,"",Sample 4,2018-05-15,2018-04-17,SAMEA4590066,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 4,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 4,none,none,
ERR2528912,29429175,2236617172,76,773,ERX2547749,Sample 5_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410787,SAMEA4590067,simple,9796,Equus caballus,SAMEA4590067,ERA1318702,07,2018,Makar,"",Sample 5,2018-05-15,2018-04-17,SAMEA4590067,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 5,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 5,none,none,
ERR2528913,53891222,4095732642,76,1413,ERX2547750,Sample 6_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410788,SAMEA4590068,simple,9796,Equus caballus,SAMEA4590068,ERA1318702,07,2018,Makar,"",Sample 6,2018-05-15,2018-04-17,SAMEA4590068,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 6,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 6,none,none,
ERR2528914,25078726,1905983073,76,677,ERX2547751,Sample 7_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410789,SAMEA4590069,simple,9796,Equus caballus,SAMEA4590069,ERA1318702,07,2018,Makar,"",Sample 7,2018-05-15,2018-04-17,SAMEA4590069,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 7,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 7,Berne virus,none,
ERR2528915,33016656,2509265722,76,890,ERX2547752,Sample 8_s,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410790,SAMEA4590070,simple,9796,Equus caballus,SAMEA4590070,ERA1318702,07,2018,Makar,"",Sample 8,2018-05-15,2018-04-17,SAMEA4590070,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:14Z,public,E-MTAB-6656:Sample 8,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 8,Berne virus,none,
ERR2528916,13436449,1021170124,76,381,ERX2547753,Sample 9_s,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,ERP108253,PRJEB26279,1,"",ERS2410791,SAMEA4590071,simple,9796,Equus caballus,SAMEA4590071,ERA1318702,07,2018,Makar,"",Sample 9,2018-05-15,2018-04-17,SAMEA4590071,University of Cambridge,University of Cambridge,2018-05-15T17:02:58Z,2018-04-17T17:18:15Z,public,E-MTAB-6656:Sample 9,quarterhorse,ArrayExpress,E. Derm (NBL-6),fibroblast of dermis,horse,skin,E-MTAB-6656:Sample 9,Berne virus,cycloheximide,100
