Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell type,treatment
SRR21524742,23482880,7044864000,150,2131,SRX17527116,GSM6571635,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076528,SAMN30797545,simple,10090,Mus musculus,GSM6571635,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, saline, DANSN-S1",substantia nigra,substantia nigra,Dopaminic neuron,saline
SRR21524741,23807776,7142332800,150,2186,SRX17527117,GSM6571636,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076529,SAMN30797544,simple,10090,Mus musculus,GSM6571636,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, saline, DANSN-S2",substantia nigra,substantia nigra,Dopaminic neuron,saline
SRR21524740,23703568,7111070400,150,2160,SRX17527118,GSM6571637,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076530,SAMN30797543,simple,10090,Mus musculus,GSM6571637,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, saline, DANSN-S3",substantia nigra,substantia nigra,Dopaminic neuron,saline
SRR21524739,22972216,6891664800,150,2044,SRX17527119,GSM6571638,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076531,SAMN30797542,simple,10090,Mus musculus,GSM6571638,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, saline, DANSN-S4",substantia nigra,substantia nigra,Dopaminic neuron,saline
SRR21524738,23256219,6976865700,150,2147,SRX17527120,GSM6571639,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076532,SAMN30797541,simple,10090,Mus musculus,GSM6571639,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, MPTP, DANSN-M1",substantia nigra,substantia nigra,Dopaminic neuron,MPTP
SRR21524737,23928261,7178478300,150,2184,SRX17527121,GSM6571640,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076533,SAMN30797540,simple,10090,Mus musculus,GSM6571640,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, MPTP, DANSN-M2",substantia nigra,substantia nigra,Dopaminic neuron,MPTP
SRR21524736,22819135,6845740500,150,2084,SRX17527122,GSM6571641,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076534,SAMN30797539,simple,10090,Mus musculus,GSM6571641,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, MPTP, DANSN-M3",substantia nigra,substantia nigra,Dopaminic neuron,MPTP
SRR21524735,22850598,6855179400,150,2052,SRX17527123,GSM6571642,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076535,SAMN30797538,simple,10090,Mus musculus,GSM6571642,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, MPTP, DANSN-M4",substantia nigra,substantia nigra,Dopaminic neuron,MPTP
SRR21524734,21722084,6516625200,150,1915,SRX17527124,GSM6571643,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076536,SAMN30797537,simple,10090,Mus musculus,GSM6571643,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Dopaminic neuron, MPTP, DANSN-M5",substantia nigra,substantia nigra,Dopaminic neuron,MPTP
SRR21524733,21741719,6522515700,150,1979,SRX17527125,GSM6571644,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP396614,PRJNA879184,1,"",SRS15076537,SAMN30797536,simple,10090,Mus musculus,GSM6571644,"LMT LAB, Sun Yat-sen University (North Campus)",SRA1495649,10,2022,Makar,substantia nigra,"SN, Astrocyte, saline, ASSN-S1",substantia nigra,substantia nigra,Astrocyte,saline
