Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,strategy,GEO Accession
SRR12879057,17065648,3414938605,100,2189,SRX7685807,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112310,SAMN14049764,simple,9606,Homo sapiens,GSM4299125,GEO,SRA1038955,10,2020,Weber,HEK293T,Wild-type replicate 1 for RNA-seq,HEK293T,HEK293T,Wild-type,RNA-Seq,GSM4299125
SRR12879058,21516928,4301155203,100,2758,SRX7685808,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112311,SAMN14049763,simple,9606,Homo sapiens,GSM4299126,GEO,SRA1038955,10,2020,Weber,HEK293T,Wild-type replicate 2 for RNA-seq,HEK293T,HEK293T,Wild-type,RNA-Seq,GSM4299126
SRR12879059,36247698,3626965823,100,2111,SRX7685809,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112312,SAMN14049762,simple,9606,Homo sapiens,GSM4299127,GEO,SRA1038955,10,2020,Weber,HEK293T,4EHP-null replicate 1 for RNA-seq,HEK293T,HEK293T,4EHP-null,RNA-Seq,GSM4299127
SRR12879060,35443014,3552429980,100,2086,SRX7685810,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112313,SAMN14049761,simple,9606,Homo sapiens,GSM4299128,GEO,SRA1038955,10,2020,Weber,HEK293T,4EHP-null replicate 2 for RNA-seq,HEK293T,HEK293T,4EHP-null,RNA-Seq,GSM4299128
SRR12879061,17638887,3528523231,100,2264,SRX7685811,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112314,SAMN14049759,simple,9606,Homo sapiens,GSM4299129,GEO,SRA1038955,10,2020,Weber,HEK293T,GIGYF1/2-null replicate 1 for RNA-seq,HEK293T,HEK293T,GIGYF1/2-null,RNA-Seq,GSM4299129
SRR12879062,19548710,3913236342,100,2515,SRX7685812,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112315,SAMN14049757,simple,9606,Homo sapiens,GSM4299130,GEO,SRA1038955,10,2020,Weber,HEK293T,GIGYF1/2-null replicate 2 for RNA-seq,HEK293T,HEK293T,GIGYF1/2-null,RNA-Seq,GSM4299130
SRR12879063,28283177,1009864800,35,705,SRX7685813,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112316,SAMN14049756,simple,9606,Homo sapiens,GSM4299131,GEO,SRA1038955,10,2020,Weber,HEK293T,Wild-type replicate 1 for Ribo-seq,HEK293T,HEK293T,Wild-type,Ribo-Seq,GSM4299131
SRR12879064,25331944,925190851,36,635,SRX7685814,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112317,SAMN14049755,simple,9606,Homo sapiens,GSM4299132,GEO,SRA1038955,10,2020,Weber,HEK293T,Wild-type replicate 2 for Ribo-seq,HEK293T,HEK293T,Wild-type,Ribo-Seq,GSM4299132
SRR12879065,30375940,1084632684,35,762,SRX7685815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112318,SAMN14049754,simple,9606,Homo sapiens,GSM4299133,GEO,SRA1038955,10,2020,Weber,HEK293T,4EHP-null replicate 1 for Ribo-seq,HEK293T,HEK293T,4EHP-null,Ribo-Seq,GSM4299133
SRR12879066,31375917,1123778168,35,784,SRX7685816,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112319,SAMN14049753,simple,9606,Homo sapiens,GSM4299134,GEO,SRA1038955,10,2020,Weber,HEK293T,4EHP-null replicate 2 for Ribo-seq,HEK293T,HEK293T,4EHP-null,Ribo-Seq,GSM4299134
SRR12879067,24435464,891556355,36,623,SRX7685817,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112320,SAMN14049752,simple,9606,Homo sapiens,GSM4299135,GEO,SRA1038955,10,2020,Weber,HEK293T,GIGYF1/2-null replicate 1 for Ribo-seq,HEK293T,HEK293T,GIGYF1/2-null,Ribo-Seq,GSM4299135
SRR12879068,28849247,1046036463,36,728,SRX7685818,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP247494,PRJNA605114,33053355,"",SRS6112321,SAMN14049751,simple,9606,Homo sapiens,GSM4299136,GEO,SRA1038955,10,2020,Weber,HEK293T,GIGYF1/2-null replicate 2 for Ribo-seq,HEK293T,HEK293T,GIGYF1/2-null,Ribo-Seq,GSM4299136
