Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,ploidy,culture condition,timepoint,experiment type,molecule subtype,GEO Accession
SRR9897233,23299847,1164992350,50,388,SRX6649007,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210844,SAMN12478339,simple,4932,Saccharomyces cerevisiae,GSM4006517,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_65 fL,06C_RP_RPL22B,Ribosome_Profile_65 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",65 fL,Ribosome Profiling,Protected RNA,GSM4006517
SRR9897234,43975662,2198783100,50,723,SRX6649008,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210845,SAMN12478338,simple,4932,Saccharomyces cerevisiae,GSM4006518,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_70 fL,07A_RP_RPL22B,Ribosome_Profile_70 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",70 fL,Ribosome Profiling,Protected RNA,GSM4006518
SRR9897235,40658892,2032944600,50,667,SRX6649009,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210846,SAMN12478374,simple,4932,Saccharomyces cerevisiae,GSM4006519,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_70 fL,07B_RP_RPL22B,Ribosome_Profile_70 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",70 fL,Ribosome Profiling,Protected RNA,GSM4006519
SRR9897236,36405648,1820282400,50,600,SRX6649010,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210847,SAMN12478373,simple,4932,Saccharomyces cerevisiae,GSM4006520,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_70 fL,07C_RP_RPL22B,Ribosome_Profile_70 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",70 fL,Ribosome Profiling,Protected RNA,GSM4006520
SRR9897237,28509520,1425476000,50,462,SRX6649011,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210848,SAMN12478372,simple,4932,Saccharomyces cerevisiae,GSM4006521,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_75 fL,08A_RP_RPL22B,Ribosome_Profile_75 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",75 fL,Ribosome Profiling,Protected RNA,GSM4006521
SRR9897238,39820122,1991006100,50,649,SRX6649012,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210849,SAMN12478371,simple,4932,Saccharomyces cerevisiae,GSM4006522,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_75 fL,08B_RP_RPL22B,Ribosome_Profile_75 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",75 fL,Ribosome Profiling,Protected RNA,GSM4006522
SRR9897239,34584115,1729205750,50,559,SRX6649013,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210850,SAMN12478370,simple,4932,Saccharomyces cerevisiae,GSM4006523,GEO,SRA931998,04,2020,Maitra,Ribosome_Profile_75 fL,08C_RP_RPL22B,Ribosome_Profile_75 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",75 fL,Ribosome Profiling,Protected RNA,GSM4006523
SRR9897240,26256570,1312828500,50,456,SRX6649014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210851,SAMN12478369,simple,4932,Saccharomyces cerevisiae,GSM4006524,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_40 fL,01A_TP_RPL22B,Transcriptional_Profile_40 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",40 fL,Transcriptional Profiling,PolyA RNA,GSM4006524
SRR9897241,9201387,460069350,50,167,SRX6649015,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210852,SAMN12478368,simple,4932,Saccharomyces cerevisiae,GSM4006525,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_40 fL,01B_TP_RPL22B,Transcriptional_Profile_40 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",40 fL,Transcriptional Profiling,PolyA RNA,GSM4006525
SRR9897242,18671748,933587400,50,370,SRX6649016,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP217268,PRJNA558435,32432546,"",SRS5210853,SAMN12478367,simple,4932,Saccharomyces cerevisiae,GSM4006526,GEO,SRA931998,04,2020,Maitra,Transcriptional_Profile_40 fL,01C_TP_RPL22B,Transcriptional_Profile_40 fL,"rpl22b{delta}::KanMX/rpl22b{delta}::KanMX, BY4743 otherwise",diploid,"Growth at 30°C in YPD (1% w/v yeast extract, 2% w/v peptone, 2% w/v dextrose)",40 fL,Transcriptional Profiling,PolyA RNA,GSM4006526
