Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,breed,isolation_source,collection_date,geo_loc_name,tissue,temp,information,BioSampleModel
SRR7132295,43401129,3255084675,75,1073,SRX4053266,F_FP_2,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270285,SAMN09091229,simple,7227,Drosophila melanogaster,F_FP_2,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-07,USA,ovary,25C,Fmr1 RNAi #1 Ribosome Footprints replicate #2,Invertebrate
SRR7132294,106961271,8022095325,75,2738,SRX4053267,F_FP_1,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144935,PRJNA466150,30115809,"",SRS3270284,SAMN09091228,simple,7227,Drosophila melanogaster,F_FP_1,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-06,USA,ovary,25C,Fmr1 RNAi #1 Ribosome Footprints replicate #1,Invertebrate
SRR7132293,57310413,2865520650,50,1588,SRX4053268,F_FP_4,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270286,SAMN09091231,simple,7227,Drosophila melanogaster,F_FP_4,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-02,USA,ovary,25C,Fmr1 RNAi #2 Ribosome Footprints replicate #1,Invertebrate
SRR7132292,69602339,5220175425,75,1681,SRX4053269,F_FP_3,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270287,SAMN09091230,simple,7227,Drosophila melanogaster,F_FP_3,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-07,USA,ovary,25C,Fmr1 RNAi #1 Ribosome Footprints replicate #3,Invertebrate
SRR7132291,89912857,6743464275,75,2411,SRX4053270,C_FP_2,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270288,SAMN09091225,simple,7227,Drosophila melanogaster,C_FP_2,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-06,USA,ovary,25C,Control (mCherry RNAi) Ribosome Footprints replicate #1,Invertebrate
SRR7132290,64927827,3246391350,50,1766,SRX4053271,C_FP_1,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP144935,PRJNA466150,30115809,"",SRS3270313,SAMN09091224,simple,7227,Drosophila melanogaster,C_FP_1,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-02,USA,ovary,25C,Control (GFP) Ribosome Footprints,Invertebrate
SRR7132289,44947356,3371051700,75,1121,SRX4053272,C_FP_4,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270289,SAMN09091227,simple,7227,Drosophila melanogaster,C_FP_4,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-07,USA,ovary,25C,Control (mCherry RNAi) Ribosome Footprints replicate #3,Invertebrate
SRR7132288,78056300,5854222500,75,1979,SRX4053273,C_FP_3,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270290,SAMN09091226,simple,7227,Drosophila melanogaster,C_FP_3,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-07,USA,ovary,25C,Control (mCherry RNAi) Ribosome Footprints replicate #2,Invertebrate
SRR7132287,49283336,3696250200,75,1310,SRX4053274,F_FP_6,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270291,SAMN09091233,simple,7227,Drosophila melanogaster,F_FP_6,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-07,USA,ovary,25C,Fmr1 RNAi #2 Ribosome Footprints replicate #3,Invertebrate
SRR7132286,96147759,7211081925,75,2552,SRX4053275,F_FP_5,OTHER,MNase,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270292,SAMN09091232,simple,7227,Drosophila melanogaster,F_FP_5,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2016-06,USA,ovary,25C,Fmr1 RNAi #2 Ribosome Footprints replicate #2,Invertebrate
SRR7132285,46541634,3490622550,75,1246,SRX4053276,St14_a,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP144935,PRJNA466150,30115809,"",SRS3270293,SAMN09091244,simple,7227,Drosophila melanogaster,St14_a,Carnegie Institution for Science,SRA700696,07,2018,Greenblatt,"","",not applicable,not applicable,2018-03,USA,stage 14 oocyte,25C,Defolliculated stage 14 oocyte replicate #1,Invertebrate
