Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,background strain,cell type,treatment,cell line,GEO Accession
SRR9641437,29785501,1250991042,42,823,SRX6403281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061340,SAMN12211635,simple,10090,Mus musculus,GSM3927402,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_2iL_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,2i/LIF culture,E14Tg2a,GSM3927402
SRR9641438,32606566,1369475772,42,900,SRX6403282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061342,SAMN12211634,simple,10090,Mus musculus,GSM3927403,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_2iL_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,2i/LIF culture,E14Tg2a,GSM3927403
SRR9641439,34398739,1444747038,42,949,SRX6403283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061341,SAMN12211633,simple,10090,Mus musculus,GSM3927404,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_2iL_d1_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 1day,E14Tg2a,GSM3927404
SRR9641440,71454124,3001073208,42,1891,SRX6403284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061343,SAMN12211632,simple,10090,Mus musculus,GSM3927405,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_2iL_d1_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 1day,E14Tg2a,GSM3927405
SRR9641441,30805836,1293845112,42,830,SRX6403285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061344,SAMN12211631,simple,10090,Mus musculus,GSM3927406,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_2iL_d3_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 3days,E14Tg2a,GSM3927406
SRR9641442,32495262,1364801004,42,886,SRX6403286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061345,SAMN12211630,simple,10090,Mus musculus,GSM3927407,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_2iL_d3_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 3days,E14Tg2a,GSM3927407
SRR9641443,51327928,2155772976,42,1320,SRX6403287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061346,SAMN12211629,simple,10090,Mus musculus,GSM3927408,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_2iL_d7_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 7days,E14Tg2a,GSM3927408
SRR9641444,54691855,2297057910,42,1432,SRX6403288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061347,SAMN12211628,simple,10090,Mus musculus,GSM3927409,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_2iL_d7_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF to 2i/LIF transfer for 7days,E14Tg2a,GSM3927409
SRR9641445,28304912,1188806304,42,770,SRX6403289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061348,SAMN12211627,simple,10090,Mus musculus,GSM3927410,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_SL_Rep1,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF culture,E14Tg2a,GSM3927410
SRR9641446,32577240,1368244080,42,885,SRX6403290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP212922,PRJNA552553,32238817,"",SRS5061349,SAMN12211626,simple,10090,Mus musculus,GSM3927411,GEO,SRA916700,03,2020,Atlasi,E14Tg2a,RNA_SL_Rep2,E14Tg2a,E14,Mouse Embryonic Stem Cells,serum/LIF culture,E14Tg2a,GSM3927411
