Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,line,age,tissue,GEO Accession
SRR3406185,15250198,762509900,50,523,SRX1716242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405168,SAMN04875727,simple,8090,Oryzias latipes,GSM2128414,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP- rep1,optic tectum,Wdr12:GFP,1 month,optic tectum,GSM2128414
SRR3406186,19530377,976518850,50,662,SRX1716242,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405168,SAMN04875727,simple,8090,Oryzias latipes,GSM2128414,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP- rep1,optic tectum,Wdr12:GFP,1 month,optic tectum,GSM2128415
SRR3406187,12521652,626082600,50,444,SRX1716243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405167,SAMN04875728,simple,8090,Oryzias latipes,GSM2128415,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP- rep2,optic tectum,Wdr12:GFP,1 month,optic tectum,GSM2128416
SRR3406188,16465396,823269800,50,581,SRX1716243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405167,SAMN04875728,simple,8090,Oryzias latipes,GSM2128415,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP- rep2,optic tectum,Wdr12:GFP,1 month,optic tectum,GSM2128417
SRR3406189,15681838,784091900,50,537,SRX1716244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405166,SAMN04875729,simple,8090,Oryzias latipes,GSM2128416,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP+ rep1,optic tectum,Wdr12:GFP,1 month,optic tectum,GSM2128418
SRR3406190,21478320,1073916000,50,730,SRX1716244,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405166,SAMN04875729,simple,8090,Oryzias latipes,GSM2128416,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP+ rep1,optic tectum,ebf3:GFP,1 month,optic tectum,GSM2128419
SRR3406191,13063425,653171250,50,455,SRX1716245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405165,SAMN04875730,simple,8090,Oryzias latipes,GSM2128417,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP+ rep2,optic tectum,ebf3:GFP,1 month,optic tectum,GSM2128420
SRR3406192,17115990,855799500,50,589,SRX1716245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405165,SAMN04875730,simple,8090,Oryzias latipes,GSM2128417,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP+ rep2,optic tectum,ebf3:GFP,1 month,optic tectum,GSM2128421
SRR3406193,19946562,997328100,50,679,SRX1716246,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405164,SAMN04875731,simple,8090,Oryzias latipes,GSM2128418,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP+ rep3,optic tectum,Wdr12:GFP,1 month,optic tectum,GSM2128414
SRR3406194,26219675,1310983750,50,879,SRX1716246,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1000,SRP073627,PRJNA319056,28181357,"",SRS1405164,SAMN04875731,simple,8090,Oryzias latipes,GSM2128418,GEO,SRA417321,04,2019,Dambroise,optic tectum,wdr12: GFP+ rep3,optic tectum,Wdr12:GFP,1 month,optic tectum,GSM2128415
