Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,gender,age,timepoint,tissue,insert type,molecule subtype,GEO Accession
SRR1930188,32859094,3318768494,101,1926,SRX969077,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884343,SAMN03447998,simple,10090,Mus musculus,GSM1644076,GEO,SRA248812,10,2015,Janich,"RP_ZT0_1; ZT0, ribosome footprint","RP_ZT0_1; ZT0, ribosome footprint, rep1","RP_ZT0_1; ZT0, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT0,liver,ribosome footprint,ribosome protected RNA,GSM1644076
SRR1930189,37763856,3814149456,101,2264,SRX969078,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884344,SAMN03447997,simple,10090,Mus musculus,GSM1644077,GEO,SRA248812,10,2015,Janich,"RP_ZT0_2; ZT0, ribosome footprint","RP_ZT0_2; ZT0, ribosome footprint, rep2","RP_ZT0_2; ZT0, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT0,liver,ribosome footprint,ribosome protected RNA,GSM1644077
SRR1930190,55650185,5620668685,101,3257,SRX969079,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884345,SAMN03447999,simple,10090,Mus musculus,GSM1644078,GEO,SRA248812,10,2015,Janich,"RP_ZT2_1; ZT2, ribosome footprint","RP_ZT2_1; ZT2, ribosome footprint, rep1","RP_ZT2_1; ZT2, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT2,liver,ribosome footprint,ribosome protected RNA,GSM1644078
SRR1930191,31240419,3155282319,101,1836,SRX969080,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884341,SAMN03448000,simple,10090,Mus musculus,GSM1644079,GEO,SRA248812,10,2015,Janich,"RP_ZT2_2; ZT2, ribosome footprint","RP_ZT2_2; ZT2, ribosome footprint, rep2","RP_ZT2_2; ZT2, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT2,liver,ribosome footprint,ribosome protected RNA,GSM1644079
SRR1930192,36717313,3708448613,101,2139,SRX969081,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884342,SAMN03448002,simple,10090,Mus musculus,GSM1644080,GEO,SRA248812,10,2015,Janich,"RP_ZT4_1; ZT4, ribosome footprint","RP_ZT4_1; ZT4, ribosome footprint, rep1","RP_ZT4_1; ZT4, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT4,liver,ribosome footprint,ribosome protected RNA,GSM1644080
SRR1930193,65933295,6659262795,101,3952,SRX969082,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884340,SAMN03448001,simple,10090,Mus musculus,GSM1644081,GEO,SRA248812,10,2015,Janich,"RP_ZT4_2; ZT4, ribosome footprint","RP_ZT4_2; ZT4, ribosome footprint, rep2","RP_ZT4_2; ZT4, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT4,liver,ribosome footprint,ribosome protected RNA,GSM1644081
SRR1930194,44272766,4471549366,101,2270,SRX969083,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884337,SAMN03448027,simple,10090,Mus musculus,GSM1644082,GEO,SRA248812,10,2015,Janich,"RP_ZT6_1; ZT6, ribosome footprint","RP_ZT6_1; ZT6, ribosome footprint, rep1","RP_ZT6_1; ZT6, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT6,liver,ribosome footprint,ribosome protected RNA,GSM1644082
SRR1930195,40399279,4080327179,101,2046,SRX969084,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884336,SAMN03448021,simple,10090,Mus musculus,GSM1644083,GEO,SRA248812,10,2015,Janich,"RP_ZT6_2; ZT6, ribosome footprint","RP_ZT6_2; ZT6, ribosome footprint, rep2","RP_ZT6_2; ZT6, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT6,liver,ribosome footprint,ribosome protected RNA,GSM1644083
SRR1930196,36720238,3708744038,101,2128,SRX969085,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884335,SAMN03448039,simple,10090,Mus musculus,GSM1644084,GEO,SRA248812,10,2015,Janich,"RP_ZT8_1; ZT8, ribosome footprint","RP_ZT8_1; ZT8, ribosome footprint, rep1","RP_ZT8_1; ZT8, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT8,liver,ribosome footprint,ribosome protected RNA,GSM1644084
SRR1930197,39308948,3970203748,101,2372,SRX969086,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP056576,PRJNA279465,26486724,"",SRS884339,SAMN03448017,simple,10090,Mus musculus,GSM1644085,GEO,SRA248812,10,2015,Janich,"RP_ZT8_2; ZT8, ribosome footprint","RP_ZT8_2; ZT8, ribosome footprint, rep2","RP_ZT8_2; ZT8, ribosome footprint",C57BL/6JRj,male,11-12 weeks,ZT8,liver,ribosome footprint,ribosome protected RNA,GSM1644085
